accuracy,loss,val_accuracy,val_loss,learning_rate
0.8733140230178833,0.32095766067504883,0.9267887473106384,0.231164813041687,0.0005000000237487257
0.9167643785476685,0.23260198533535004,0.9314271807670593,0.1958630532026291,0.0005000000237487257
0.9273078441619873,0.20830130577087402,0.9334348440170288,0.18356023728847504,0.0005000000237487257
0.9313761591911316,0.1972433477640152,0.9363425374031067,0.18014371395111084,0.0005000000237487257
0.9334102869033813,0.1917816698551178,0.9365502595901489,0.17732994258403778,0.0005000000237487257
0.9346686601638794,0.18723629415035248,0.937727153301239,0.1745583564043045,0.0005000000237487257
0.9360064268112183,0.1847212314605713,0.9380733370780945,0.1735924929380417,0.0005000000237487257
0.9362446665763855,0.18238964676856995,0.9380733370780945,0.17269760370254517,0.0005000000237487257
0.9365501403808594,0.18123985826969147,0.9386963844299316,0.17197465896606445,0.0005000000237487257
0.9374052882194519,0.17941538989543915,0.9389386773109436,0.17182175815105438,0.0005000000237487257
0.9371060132980347,0.17880967259407043,0.9391810297966003,0.17058752477169037,0.0005000000237487257
0.9378145933151245,0.17773817479610443,0.9395617842674255,0.1702338457107544,0.0005000000237487257
0.9381017088890076,0.17654187977313995,0.939769446849823,0.16973696649074554,0.0005000000237487257
0.9380283951759338,0.17640984058380127,0.9399771690368652,0.16876070201396942,0.0005000000237487257
0.9382299780845642,0.17523133754730225,0.9401156306266785,0.1690576672554016,0.0005000000237487257
0.9384437799453735,0.17489072680473328,0.9403232932090759,0.16803668439388275,0.0005000000237487257
0.9385048747062683,0.17441445589065552,0.9401502013206482,0.167818084359169,0.0005000000237487257
0.9387736320495605,0.17378492653369904,0.9401848316192627,0.16751143336296082,0.0005000000237487257
0.9388713836669922,0.1731957048177719,0.9405310153961182,0.16740106046199799,0.0005000000237487257
0.938932478427887,0.17344065010547638,0.9405655860900879,0.16735988855361938,0.0005000000237487257
0.9390607476234436,0.17294350266456604,0.9405655860900879,0.16712525486946106,0.0005000000237487257
0.9391218423843384,0.1720222532749176,0.9407040476799011,0.16741445660591125,0.0005000000237487257
0.9392439723014832,0.1719716489315033,0.9404963850975037,0.16670657694339752,0.0005000000237487257
0.9394150376319885,0.17153401672840118,0.9407733082771301,0.16703616082668304,0.0005000000237487257
0.9393845200538635,0.1715444028377533,0.9405310153961182,0.16657812893390656,0.0005000000237487257
0.9394455552101135,0.17131417989730835,0.9406348466873169,0.16628332436084747,0.0005000000237487257
0.9395066499710083,0.17092959582805634,0.9406348466873169,0.1663713902235031,0.0005000000237487257
0.9395372271537781,0.1708063930273056,0.9407733082771301,0.1660955846309662,0.0005000000237487257
0.9394699931144714,0.1703910231590271,0.9407386779785156,0.16632719337940216,0.0005000000237487257
0.9396410584449768,0.17053358256816864,0.9408079385757446,0.16711920499801636,0.0005000000237487257
0.9398182034492493,0.16971518099308014,0.9406002163887024,0.1668504774570465,0.0002500000118743628
0.9397326707839966,0.16935580968856812,0.9407733082771301,0.16688570380210876,0.0002500000118743628
0.9400014877319336,0.16893912851810455,0.9407386779785156,0.16630567610263824,0.0001250000059371814
