run_id,candidate_id,seed,epoch,training_loss,validation_loss,validation_roc_auc,validation_pr_auc,learning_rate,improved_best_checkpoint,epochs_without_improvement,epoch_seconds,stage,best_epoch_after_epoch
FT_BALANCED_seed_7,FT_BALANCED,7,1,0.542016820764991,0.4220082974046354,0.934306034221298,0.904108564294061,0.0005,True,0,19.116604049999296,,
FT_BALANCED_seed_7,FT_BALANCED,7,2,0.4073541658032513,0.3783298204506626,0.9401412113386144,0.9123071520758272,0.0005,True,0,19.07201420500041,,
FT_BALANCED_seed_7,FT_BALANCED,7,3,0.377063202172552,0.3735025649855596,0.938434485330145,0.911488389274165,0.0005,False,1,19.04714514100033,,
FT_BALANCED_seed_7,FT_BALANCED,7,4,0.3651938106918974,0.360932130576976,0.9403167117735431,0.9130430975217964,0.0005,True,0,19.11035077500037,,
FT_BALANCED_seed_7,FT_BALANCED,7,5,0.3587832955841183,0.3629751127478593,0.9424659059673406,0.915213689507585,0.0005,True,0,19.12108159699983,,
FT_BALANCED_seed_7,FT_BALANCED,7,6,0.356747929301638,0.359891095666506,0.94231909308694,0.9143387360246056,0.0005,False,1,19.04918081699998,,
FT_BALANCED_seed_7,FT_BALANCED,7,7,0.3532363737273598,0.3568999856454434,0.9441995225740368,0.916941008841741,0.0005,True,0,19.05713164700046,,
FT_BALANCED_seed_7,FT_BALANCED,7,8,0.3503665169517829,0.3567900302814369,0.9445863212943532,0.9174604215591334,0.0005,True,0,19.055301248999967,,
FT_BALANCED_seed_7,FT_BALANCED,7,9,0.3493936192195884,0.3528940492590368,0.9445287153203455,0.9175963751502172,0.0005,True,0,19.081016244999773,,
FT_BALANCED_seed_7,FT_BALANCED,7,10,0.349184749425232,0.3529516332102559,0.9445583159974428,0.9174157581878368,0.0005,False,1,19.20386487900032,,
FT_BALANCED_seed_7,FT_BALANCED,7,11,0.3459605901549841,0.3517461989961591,0.94533089694314,0.9181477580231138,0.0005,True,0,19.11370424899997,,
FT_BALANCED_seed_7,FT_BALANCED,7,12,0.3454563122854347,0.350283916713036,0.94516111989156,0.9177557280995304,0.0005,False,1,19.058663073999924,,
FT_BALANCED_seed_7,FT_BALANCED,7,13,0.3448457735208236,0.3523399365275952,0.945201078479763,0.9184363808925804,0.0005,True,0,19.06387397399976,,
FT_BALANCED_seed_7,FT_BALANCED,7,14,0.3429922862931493,0.3509554035308828,0.9452190532113942,0.918153214895679,0.0005,False,1,19.05635820600037,,
FT_BALANCED_seed_7,FT_BALANCED,7,15,0.3432840089526133,0.3494254261054403,0.9456736676497656,0.9186679129661512,0.0005,True,0,19.12334454000029,,
FT_BALANCED_seed_7,FT_BALANCED,7,16,0.3423746364531249,0.3515474716509855,0.945466724786746,0.9185489573498568,0.0005,False,1,19.10094589399978,,
FT_BALANCED_seed_7,FT_BALANCED,7,17,0.3423536551719557,0.3524099364469116,0.9455803206801008,0.9182881682362348,0.0005,False,2,19.051264462999825,,
FT_BALANCED_seed_7,FT_BALANCED,7,18,0.3417088494995448,0.3492633123488884,0.9460145587021966,0.9192642529592384,0.0005,True,0,19.055200660999617,,
FT_BALANCED_seed_7,FT_BALANCED,7,19,0.3401581872084921,0.3473846910020957,0.9457999473324684,0.9188657777014524,0.0005,False,1,19.052063914000428,,
FT_BALANCED_seed_7,FT_BALANCED,7,20,0.3414681080274132,0.3481108803422665,0.9460972221378016,0.9192586683330408,0.0005,False,2,19.09690501299974,,
FT_BALANCED_seed_7,FT_BALANCED,7,21,0.3405835619554529,0.3486096049254646,0.946375216273942,0.9193450442861272,0.00025,True,0,19.07610402200044,,
FT_BALANCED_seed_7,FT_BALANCED,7,22,0.338290118942875,0.3463475099615964,0.9467385391298656,0.9198361218019062,0.00025,True,0,19.140400880000016,,
FT_BALANCED_seed_7,FT_BALANCED,7,23,0.3378134740740586,0.3452089501503233,0.947068217726296,0.9202584815633226,0.00025,True,0,19.053929013000012,,
FT_BALANCED_seed_7,FT_BALANCED,7,24,0.3366886445460354,0.3465437122525258,0.946996677157308,0.9202261339370832,0.00025,False,1,19.05283906400018,,
FT_BALANCED_seed_7,FT_BALANCED,7,25,0.3363259228118666,0.3476808876417517,0.9462516415014912,0.9195418987901698,0.00025,False,2,19.104785890999665,,
FT_BALANCED_seed_7,FT_BALANCED,7,26,0.3367510176394074,0.3453375738954487,0.9472624647398582,0.9204738081464487,0.00025,True,0,19.077547920000143,,
FT_BALANCED_seed_7,FT_BALANCED,7,27,0.3358110143686101,0.3472517491347947,0.9460925617669528,0.9193226454432945,0.00025,False,1,19.12682200900053,,
FT_BALANCED_seed_7,FT_BALANCED,7,28,0.3359163759315935,0.343096909573265,0.946934975914721,0.9202005326411824,0.00025,False,2,19.06626219700047,,
FT_BALANCED_seed_7,FT_BALANCED,7,29,0.335854322776323,0.3457238368240045,0.9466812467187028,0.9198180086165416,0.000125,False,3,19.06898264099982,,
FT_BALANCED_seed_7,FT_BALANCED,7,30,0.3346693772628654,0.3439571098046525,0.9472669252574653,0.9204052789997555,0.000125,False,4,19.121955266999976,,
FT_BALANCED_seed_7,FT_BALANCED,7,31,0.3338243762517215,0.3454979148789506,0.9473447543120714,0.920602273094243,0.000125,True,0,19.078144504999727,,
FT_BALANCED_seed_7,FT_BALANCED,7,32,0.3335862054245821,0.3433381715097499,0.9479320902544406,0.9210752883368822,0.000125,True,0,19.09146730599969,,
FT_BALANCED_seed_7,FT_BALANCED,7,33,0.3331909355939782,0.3431113940328497,0.947734266557004,0.920857527955798,0.000125,False,1,19.13153967800008,,
FT_BALANCED_seed_7,FT_BALANCED,7,34,0.3325231379629447,0.3418898617833739,0.9489822690755404,0.9221513035759382,0.000125,True,0,19.095575192999604,,
FT_BALANCED_seed_7,FT_BALANCED,7,35,0.3322009103615665,0.3438088793845635,0.9469534330507284,0.9200709350363052,0.000125,False,1,19.13710911599992,,
FT_BALANCED_seed_7,FT_BALANCED,7,36,0.3319731848432531,0.339719211815748,0.9500920282828448,0.9232166208388396,0.000125,True,0,19.07194132699988,,
FT_BALANCED_seed_7,FT_BALANCED,7,37,0.3317160926771862,0.3410772288516725,0.9497079758217272,0.9228788964942268,0.000125,False,1,19.06387907499993,,
FT_BALANCED_seed_7,FT_BALANCED,7,38,0.3300016559541465,0.3431246900292232,0.9480945175307748,0.9214627280486684,0.000125,False,2,19.131520411000565,,
FT_BALANCED_seed_7,FT_BALANCED,7,39,0.3294233323972315,0.3355457157073822,0.9520813123174282,0.9254522623732352,0.000125,True,0,19.0705400479992,,
FT_BALANCED_seed_7,FT_BALANCED,7,40,0.3276419499931522,0.3330514789572855,0.9530266543303464,0.9268671770151776,0.000125,True,0,19.06825980600024,,
FT_BALANCED_seed_7,FT_BALANCED,7,41,0.3263396463660441,0.3304737689891453,0.9541008413835252,0.927934847253914,0.000125,True,0,19.50587608500064,15.4B,41.0
FT_BALANCED_seed_7,FT_BALANCED,7,42,0.3250742214475088,0.3308270264746287,0.9537326531348932,0.9279044415083292,0.000125,False,1,19.560491404001368,15.4B,41.0
FT_BALANCED_seed_7,FT_BALANCED,7,43,0.3246434798726851,0.3322021812117838,0.9537340176501286,0.927282173150626,0.000125,False,2,19.13778803799869,15.4B,41.0
FT_BALANCED_seed_7,FT_BALANCED,7,44,0.3225685867060193,0.3303713217245724,0.953663167953122,0.9279566737323112,6.25e-05,True,0,19.139362583000548,15.4B,44.0
FT_BALANCED_seed_7,FT_BALANCED,7,45,0.3206000227231675,0.3288800810946803,0.954350742356244,0.9286538567903602,6.25e-05,True,0,19.143531161000283,15.4B,45.0
FT_BALANCED_seed_7,FT_BALANCED,7,46,0.3204292650482828,0.3281332520137647,0.9541109081291328,0.92841132999031,6.25e-05,False,1,19.13179325399869,15.4B,45.0
FT_BALANCED_seed_7,FT_BALANCED,7,47,0.3190829461181577,0.3364081778141282,0.9526382343867515,0.926439401566543,6.25e-05,False,2,19.297506208000414,15.4B,45.0
FT_BALANCED_seed_7,FT_BALANCED,7,48,0.3188243298871485,0.3309114354485736,0.9534770890793726,0.9278346451490456,3.125e-05,False,3,19.143315118000828,15.4B,45.0
FT_BALANCED_seed_7,FT_BALANCED,7,49,0.3178881005612731,0.3315249815766367,0.953022362654271,0.9271436730913928,3.125e-05,False,4,19.136109929000668,15.4B,45.0
FT_BALANCED_seed_7,FT_BALANCED,7,50,0.3174289666694131,0.3273003357734708,0.9547162015744052,0.9291636892316072,3.125e-05,True,0,19.14681488899987,15.4B,50.0
FT_BALANCED_seed_7,FT_BALANCED,7,51,0.3171115857085235,0.3313237324981278,0.9532823975646352,0.9273591941627946,3.125e-05,False,1,19.140301981999077,15.4B,50.0
FT_BALANCED_seed_7,FT_BALANCED,7,52,0.3175439595422448,0.3317780527127093,0.9530357218097458,0.9270110749722332,3.125e-05,False,2,19.198305528001583,15.4B,50.0
FT_BALANCED_seed_7,FT_BALANCED,7,53,0.3174903499677519,0.3265905750220024,0.9546383449538344,0.9290732082051244,1.5625e-05,False,3,19.267094073000408,15.4B,50.0
FT_BALANCED_seed_7,FT_BALANCED,7,54,0.3163928424074527,0.3323343457650426,0.953276593206266,0.927376418851125,1.5625e-05,False,4,19.162024518998805,15.4B,50.0
FT_BALANCED_seed_7,FT_BALANCED,7,55,0.3165887396585108,0.3303772744421003,0.9539508532486056,0.9282081529068924,1.5625e-05,False,5,19.16492524000023,15.4B,50.0
FT_BALANCED_seed_7,FT_BALANCED,7,56,0.3164818071559783,0.3310477728759878,0.953481242925626,0.9276082596464432,1e-05,False,6,19.150713707998875,15.4B,50.0
