run_id,candidate_id,seed,threshold,accuracy,precision,recall,f1,f2,fpr,fnr,true_negative,false_positive,false_negative,true_positive
FT_BALANCED_seed_7,FT_BALANCED,7,0.6299999999999998,0.9285582132945686,0.9476633419253614,0.7908716797605686,0.8621972979862349,0.8179373585343678,0.017205172604354713,0.20912832023943134,26676,467,2236,8456
FT_BALANCED_seed_7,FT_BALANCED,7,0.6349999999999998,0.9287432271706092,0.9493144526859969,0.7900299289188178,0.8623787646758551,0.8174621608020748,0.016615702022620932,0.20997007108118218,26692,451,2245,8447
FT_BALANCED_seed_7,FT_BALANCED,7,0.6399999999999998,0.9295625743359324,0.954272778720996,0.7885334829779275,0.8635223024530138,0.8169098695812259,0.014884132188777955,0.2114665170220726,26739,404,2261,8431
FT_BALANCED_seed_7,FT_BALANCED,7,0.6449999999999998,0.930011893749174,0.957149352125483,0.7875982042648709,0.8641354540790147,0.8165263933599658,0.0138894005821022,0.21240179573512907,26766,377,2271,8421
FT_BALANCED_seed_7,FT_BALANCED,7,0.6499999999999997,0.930249768732655,0.9593839132915003,0.7864758698092031,0.8643675797913347,0.8158849669144045,0.013115720443576612,0.21352413019079686,26787,356,2283,8409
FT_BALANCED_seed_7,FT_BALANCED,7,0.6549999999999997,0.9304876437161359,0.9612128146453089,0.785727646838758,0.8646562371346233,0.8155043876679351,0.012489407950484472,0.21427235316124205,26804,339,2291,8401
FT_BALANCED_seed_7,FT_BALANCED,7,0.6599999999999997,0.9309898242368178,0.963838824474802,0.7852600074822297,0.865433180436015,0.8154781561413391,0.0116052020778838,0.2147399925177703,26828,315,2296,8396
FT_BALANCED_seed_7,FT_BALANCED,7,0.6649999999999997,0.9311219770054182,0.9656761114950472,0.7841376730265619,0.8654898317332508,0.8147716229348881,0.010978889584791658,0.21586232697343807,26845,298,2308,8384
FT_BALANCED_seed_7,FT_BALANCED,7,0.6699999999999997,0.9309105325756575,0.9669364161849711,0.7822671156004489,0.8648536862785647,0.8133338519584581,0.010536786648491324,0.21773288439955107,26857,286,2328,8364
FT_BALANCED_seed_7,FT_BALANCED,7,0.6749999999999997,0.9313598519888991,0.970803768756543,0.7805836139169473,0.8653636787806522,0.8124209091794024,0.009247319750948679,0.21941638608305275,26892,251,2346,8346
