Model,Standard Threshold,Standard F1,Standard Recall,Standard FPR,Standard FNR,Standard FP,Standard FN,Best F1 Threshold,Best Validation F1,Recall at Best F1,FPR at Best F1,Unconstrained F2 Threshold,Best Validation F2,Recall at Best F2,FPR at Best F2,Constrained Threshold,Constrained F2,Constrained F1,Constrained Recall,Constrained Precision,Constrained FPR,Constrained FNR,Constrained FP,Constrained FN,Constrained FN Reduction,Constrained Additional FP
LightGBM Tuned,0.5,0.9267502813074622,0.8726032353093183,0.007083333333333333,0.1273967646906817,204,2465,0.5,0.9267502813074622,0.8726032353093183,0.007083333333333333,0.16,0.9132842250452269,0.9444932554653988,0.15208333333333332,0.26,0.9080189904320635,0.9149481838166021,0.9034575430254793,0.9267348778031066,0.04798611111111111,0.09654245697452064,1382,1868,597,1178
XGBoost Tuned,0.5,0.9269482744442312,0.8738436094888625,0.0077777777777777776,0.12615639051113753,224,2441,0.51,0.9270781893004115,0.8732234223990903,0.007118055555555555,0.16,0.913670288332633,0.9439764328905886,0.1490625,0.27,0.9078441558441559,0.9149019710493941,0.9031991317380743,0.9269120611010926,0.04784722222222222,0.09680086826192569,1378,1873,568,1154
CatBoost Tuned,0.5,0.9259116871704746,0.8713111788722931,0.007222222222222222,0.12868882112770685,208,2490,0.52,0.9259748116372436,0.870174169207711,0.00625,0.18,0.9111288788130275,0.9305390459455269,0.11822916666666666,0.27,0.9049194656011986,0.9140064633088989,0.8989611866246318,0.9295639162035058,0.04576388888888889,0.10103881337536824,1318,1955,535,1110
MLP Tuned,0.5,0.9171421414456289,0.8515168742570676,0.003611111111111111,0.14848312574293246,104,2873,0.43,0.9173388218278912,0.8522921081192827,0.003958333333333334,0.17,0.8894761835938306,0.8905886609127087,0.07770833333333334,0.24,0.8868467902398157,0.9046817829767914,0.8753423949558117,0.936056151210346,0.04017361111111111,0.12465760504418832,1157,2412,461,1053
1D-CNN Tuned,0.5,0.9140952645465907,0.8504832291074474,0.006944444444444444,0.14951677089255258,200,2893,0.65,0.9144784523610414,0.847744069460954,0.0042361111111111115,0.15,0.8860300591446298,0.8841800609850639,0.07079861111111112,0.21,0.8850371640339965,0.9003988300983781,0.8750839836684067,0.9272219484146542,0.04614583333333333,0.12491601633159337,1329,2417,476,1129
