feature_index,feature,attention_rollout,xgboost_treeshap,lightgbm_treeshap,mlp_ig,cnn_ig,attention_rank,xgboost_treeshap_rank,lightgbm_treeshap_rank,mlp_ig_rank,cnn_ig_rank
0,Dst Port,0.023802901909463475,0.1408983947322317,0.1240885879619868,0.035010920226679225,0.03138174267545512,3,3,3,10,11
1,Protocol,0.013944258260158843,0.00024204831095053976,0.0,0.005423482973676334,0.012725823832028834,26,66,69,41,28
2,Flow Duration,0.015182618683475146,0.010322852614059507,0.006372494020525421,0.01448760765840838,0.021669885403350905,16,20,27,22,15
3,Tot Fwd Pkts,0.010815474978991133,0.0019279502279197244,0.0008142674634145027,1.1135344021719047e-05,1.0547305130305153e-05,70,49,61,66,65
4,Tot Bwd Pkts,0.01263908280247194,0.008323054688825953,0.003733729230886712,0.0004979799249420003,0.0012126229195419701,44,25,37,56,56
5,TotLen Fwd Pkts,0.01290870482639054,0.005606032190407274,0.0018467441066045058,6.507645658599091e-05,5.168527140971831e-05,37,33,52,64,61
6,TotLen Bwd Pkts,0.011435927201935635,0.006057827773515993,0.007745472944858525,0.00016045000932850747,0.00026513352787470204,69,32,19,61,60
7,Fwd Pkt Len Max,0.018360121098708656,0.05184455406168765,0.06993671185833313,0.07723500384501664,0.04600314940579362,7,4,5,2,5
8,Fwd Pkt Len Min,0.012097027791729038,0.003336596375254671,0.002384731249143108,0.002315430839698972,0.004770289592632399,55,45,49,49,43
9,Fwd Pkt Len Mean,0.018200159413576156,0.010403139611057818,0.007365780979970323,0.010961847889623868,0.012762483394232773,8,19,22,29,27
10,Fwd Pkt Len Std,0.017391703181960854,0.03225167879420648,0.07283743729640403,0.03811493069654287,0.03996664758456676,10,7,4,6,8
11,Bwd Pkt Len Max,0.013777702525980443,0.02402764510167843,0.011108674773896236,0.03454156313765073,0.041705163628055736,27,8,15,11,7
12,Bwd Pkt Len Min,0.015297435718977147,0.0037931861581841485,0.0015732969301730049,0.010262904462947253,0.011172179209124186,13,43,53,30,32
13,Bwd Pkt Len Mean,0.015203399227330246,0.03428881871804393,0.025265317979874878,0.00706261587214168,0.02115709823310143,15,5,7,38,16
14,Bwd Pkt Len Std,0.01876391624119616,0.006763681947126222,0.0030233314292858094,0.06186694895546475,0.04527769799655573,6,29,44,3,6
15,Flow Byts/s,0.012383242568592938,0.007335246225757148,0.0050323405342092165,0.0008520226793709397,0.0009904521982407179,47,28,33,55,57
16,Flow Pkts/s,0.014594842255031345,0.011000864588710675,0.0047103723211384145,0.011258799139900256,0.005091758164562691,20,15,35,27,42
17,Flow IAT Mean,0.01273346404354254,0.011990153551724126,0.007517270733775824,0.009068422194065263,0.02018441306321358,40,13,20,32,17
18,Flow IAT Std,0.014349035229097945,0.00761633371524813,0.003911547080390113,0.008190166266029359,0.010144881502772568,23,27,36,34,34
19,Flow IAT Max,0.013693722321616744,0.008769470672135798,0.010483312627576333,0.017058041844346034,0.011764630966588167,28,22,16,19,30
20,Flow IAT Min,0.012219537800535238,0.0230988631364028,0.013887734836530346,0.012229615416816428,0.01616900005987325,49,9,11,26,23
21,Fwd IAT Tot,0.011477378927637337,0.010678287600770858,0.006643336449131522,0.007090927085385392,0.013101222946572918,68,18,24,37,26
22,Fwd IAT Mean,0.012428732082607138,0.008564654679793253,0.005864646407219319,0.004718609720147958,0.011699533509816682,46,24,29,42,31
23,Fwd IAT Std,0.01270702426858614,0.0047573088221384945,0.002796711735532009,0.013865063415431781,0.009854055456485109,41,37,45,23,36
24,Fwd IAT Max,0.012503937265264537,0.008648522676657682,0.005508777202194217,0.017879875196513646,0.019340310589594116,45,23,31,18,19
25,Fwd IAT Min,0.011882360435386636,0.02125642920528588,0.019641247209083362,0.0038969996297327667,0.016643712092040113,61,10,9,44,21
26,Bwd IAT Tot,0.013548265051351142,0.0032328086791349815,0.0024152314314989077,0.0073660195151200045,0.009669896138888641,30,46,48,36,37
27,Bwd IAT Mean,0.012104458203371539,0.003936067552842242,0.002510239367719708,0.005815448644499969,0.010031713721604659,54,41,47,40,35
28,Bwd IAT Std,0.012127991377324938,0.0038906529545401575,0.0023558663193958074,0.009048156975151276,0.0021224305852830727,53,42,50,33,52
29,Bwd IAT Max,0.01267465556897324,0.008181236694128102,0.0025496124342516083,0.003370927046079821,0.003937521215264865,43,26,46,46,46
30,Bwd IAT Min,0.01286434270600154,0.006109763171574283,0.005067541664189016,0.00027930290875953316,0.00746472576378152,38,31,32,60,38
31,Fwd PSH Flags,0.01270491709305344,0.001130176957746074,0.0006585874207620021,0.0025870030386200976,0.006413869109508707,42,59,63,48,40
32,Fwd URG Flags,0.011755383345127136,4.475805532663058e-05,5.99108391820256e-06,0.008141153645137279,0.0,62,69,68,35,67
33,Fwd Header Len,0.011973693416925136,0.015570552417863755,0.011748269698222038,1.0154607831502241e-05,1.852673724184994e-05,58,12,14,67,63
34,Bwd Header Len,0.013291184650869441,0.005199199805617516,0.003706559421847012,0.0009001442167183895,0.0013285018783728009,34,34,38,54,55
35,Fwd Pkts/s,0.01882292228420816,0.009379020649346552,0.013343538243683443,0.018318101740181166,0.004073547204242737,4,21,13,16,45
36,Bwd Pkts/s,0.015229126831555346,0.011207550580983305,0.00630370813650022,0.033434791491398524,0.010729777253971715,14,14,28,12,33
37,Pkt Len Min,0.013542369711059741,0.0015691911413326506,0.0010161001117433032,0.0021386871429094445,0.002399929697742054,31,53,57,50,51
38,Pkt Len Max,0.014667276456170145,0.003485693269680385,0.007429496178206124,0.03520642678978774,0.0268761675374676,19,44,21,9,13
39,Pkt Len Mean,0.013637317430541541,0.00444079383397204,0.003601047596235212,0.02779697575793995,0.016440186606913987,29,40,39,14,22
40,Pkt Len Std,0.014017425122580744,0.0063240362635632544,0.0035278732656855113,0.018211231253445537,0.02305760061812858,25,30,40,17,14
41,Pkt Len Var,0.011564911530994837,0.0014229086468017143,0.006378681512413521,0.015876290414719746,0.003565360911857672,66,55,26,20,47
42,FIN Flag Cnt,0.011669383196686537,0.0003308059876321565,8.827229315704256e-05,0.0,0.0,64,65,67,70,68
43,SYN Flag Cnt,0.013156247264257542,0.00019926615255003632,0.0002602076700545008,0.002623151168668665,0.0072757894949684945,35,67,65,47,39
44,RST Flag Cnt,0.014414465785522645,0.0324484767868488,0.017465014523751956,0.02438033825764063,0.05135302947334564,22,6,10,15,2
45,PSH Flag Cnt,0.014755865722113645,0.004997404813162025,0.0034829117417537114,0.0363125741189571,0.018758515106936612,18,36,41,8,20
46,ACK Flag Cnt,0.018794678346794658,0.0032089698800262423,0.0020488507783453067,0.01557135869838229,0.030782263016304007,5,47,51,21,12
47,URG Flag Cnt,0.01343971421024484,0.0010899211592511175,0.0010584036597429034,0.00011790826649335192,0.0,33,60,56,62,69
48,CWE Flag Count,0.012090318705427637,0.0,0.0,0.005989952137632427,0.0,56,70,70,39,70
49,ECE Flag Cnt,0.014894394768786547,0.010842264594640253,0.022418418541958772,0.0378614630304762,0.05038965202539332,17,17,8,7,3
50,Down/Up Ratio,0.017555285676095655,0.0007344427725413879,0.00021446134673520068,0.012928250967484843,0.01564371736345001,9,63,66,25,25
51,Pkt Size Avg,0.014502849502753145,0.01091814559180329,0.009107421747690029,0.01110803595017527,0.036151861240742184,21,16,18,28,10
52,Fwd Seg Size Avg,0.01698884554224635,0.0013479707496034173,0.00930077956679673,0.03867116752057415,0.01566876773235169,11,57,17,5,24
53,Bwd Seg Size Avg,0.014075255859786544,0.0014823200445805002,0.013723579739845443,0.009746579673374127,0.020108035450266903,24,54,12,31,18
54,Subflow Fwd Pkts,0.012177769128299038,0.0001928643127893819,0.0010054800657417033,9.474451458925281e-06,4.7830305014335294e-06,52,68,58,68,66
55,Subflow Fwd Byts,0.011497171953786836,0.0011842789557233626,0.0033095721326970107,2.631280999076062e-05,3.908945610781808e-05,67,58,43,65,62
56,Subflow Bwd Pkts,0.012039747434150639,0.000813348539591338,0.006398023459930821,0.0002990613946471195,0.0008105590208074329,57,62,25,59,58
57,Subflow Bwd Byts,0.011696900580255737,0.0008491514282527755,0.006687305071126622,0.00010499261431860948,0.0002773935357751986,63,61,23,63,59
58,Init Fwd Win Byts,0.02885676627658839,0.1871866230016537,0.21115813528644678,0.05834053416274301,0.04952966669677034,2,1,1,4,4
59,Init Bwd Win Byts,0.016879666099147553,0.01715784935851948,0.025558560698133285,0.0322422367926736,0.03879687629921468,12,11,6,13,9
60,Fwd Act Data Pkts,0.01281525659882714,0.004539528830280634,0.004978654116554916,2.8199532956084176e-06,1.5301725679077137e-05,39,39,34,69,64
