comparison_id,comparison_label,shared_feature_count,spearman,cosine_similarity,top10_jaccard,top10_intersection_count,top20_jaccard,top20_intersection_count
ATTENTION_VS_XGBOOST_TREESHAP,XGBoost TreeSHAP,70,0.4562505467588137,0.5851326125585813,0.3333333333333333,5,0.42857142857142855,12
ATTENTION_VS_LIGHTGBM_TREESHAP,LightGBM TreeSHAP,70,0.3982713522272269,0.5680610446124249,0.3333333333333333,5,0.3333333333333333,10
ATTENTION_VS_MLP_IG,MLP Integrated Gradients,70,0.7156504242848394,0.7449643090331907,0.42857142857142855,6,0.48148148148148145,13
ATTENTION_VS_CNN_IG,CNN Integrated Gradients,70,0.6956080516560847,0.7794458515499862,0.3333333333333333,5,0.48148148148148145,13
