accuracy,loss,val_accuracy,val_loss,learning_rate
0.8280066251754761,0.4267640709877014,0.8789851069450378,0.3005892336368561,0.0003000000142492354
0.8779993057250977,0.3227332532405853,0.8790889382362366,0.2979081869125366,0.0003000000142492354
0.8889764547348022,0.28914180397987366,0.912319540977478,0.2728694975376129,0.0003000000142492354
0.898634135723114,0.26896214485168457,0.8961542248725891,0.2676153779029846,0.0003000000142492354
0.9073693752288818,0.25309228897094727,0.9072657227516174,0.25149986147880554,0.0003000000142492354
0.9152067303657532,0.2383747100830078,0.9118349552154541,0.23130610585212708,0.0003000000142492354
0.9191955924034119,0.2290380299091339,0.9236041307449341,0.21047569811344147,0.0003000000142492354
0.9218223094940186,0.22238002717494965,0.9256810545921326,0.20956304669380188,0.0003000000142492354
0.9240702986717224,0.21704146265983582,0.9302156567573547,0.19985048472881317,0.0003000000142492354
0.9255852103233337,0.21232202649116516,0.9322233200073242,0.19013020396232605,0.0003000000142492354
0.927796483039856,0.20842429995536804,0.9331579208374023,0.19416114687919617,0.0003000000142492354
0.9303193688392639,0.20361363887786865,0.9370694756507874,0.1824735850095749,0.0003000000142492354
0.9311745762825012,0.20056308805942535,0.9369656443595886,0.18399150669574738,0.0003000000142492354
0.9328055381774902,0.1976514607667923,0.937415599822998,0.18448221683502197,0.0003000000142492354
0.9333980679512024,0.19576597213745117,0.9345771670341492,0.19096457958221436,0.0001500000071246177
0.9336180090904236,0.19443611800670624,0.9371733069419861,0.18043935298919678,0.0001500000071246177
0.9339417219161987,0.19337151944637299,0.9364117980003357,0.18192800879478455,0.0001500000071246177
0.9344243407249451,0.19243644177913666,0.9370002150535583,0.17942506074905396,0.0001500000071246177
0.9341310858726501,0.19209033250808716,0.9368617534637451,0.17986828088760376,0.0001500000071246177
0.9348152875900269,0.19055558741092682,0.9381425380706787,0.1769787073135376,0.0001500000071246177
0.9346381425857544,0.19109924137592316,0.9355117678642273,0.18394461274147034,0.0001500000071246177
0.9348275065422058,0.1894015520811081,0.9379348754882812,0.17631085216999054,0.0001500000071246177
0.935151219367981,0.1885877102613449,0.9380040764808655,0.175424262881279,0.0001500000071246177
0.9351573586463928,0.188572958111763,0.9386963844299316,0.17486098408699036,0.0001500000071246177
0.935120701789856,0.18786008656024933,0.9358925819396973,0.1852356642484665,0.0001500000071246177
0.9355544447898865,0.18754173815250397,0.938350260257721,0.1735481470823288,0.0001500000071246177
0.9356460571289062,0.18761257827281952,0.9376579523086548,0.17640507221221924,0.0001500000071246177
0.9357010126113892,0.18665263056755066,0.9370002150535583,0.17704637348651886,0.0001500000071246177
0.9359453916549683,0.1859670728445053,0.9387310147285461,0.17374621331691742,7.500000356230885e-05
0.9363729953765869,0.18438449501991272,0.9384540915489197,0.17461197078227997,7.500000356230885e-05
0.9366050958633423,0.18500308692455292,0.9385579228401184,0.1741015613079071,3.7500001781154424e-05
