split,authorized_hashes,unmatched_hashes,unmatched_rate,unique_temporal_bin_hashes,unique_temporal_bin_rate,multiple_temporal_bin_hashes,multiple_temporal_bin_rate
train,154686,0,0.0,131381,0.8493399531955057,23305,0.15066004680449427
validation,37835,0,0.0,32970,0.8714153561517114,4865,0.12858464384828863
