model,context,holdout_pr_auc,holdout_roc_auc,holdout_brier,holdout_logloss,threshold,precision,recall,f1,mcc,fpr,fnr
SingleScaleTemporalTransformer,60 x 1-second,0.7599570946733909,0.845298213409374,0.2553046598652256,1.1842744833092804,0.01,0.6637587425735129,0.6418442295105811,0.6526175687666371,0.48785456228263546,0.15827108924209707,0.35815577048941893
MTemporal-IDS,60x1s + 20x15s + 20x60s,0.8013780402555105,0.8502016529074419,0.2682234832340909,1.3517612042618803,0.01,0.8252505199470599,0.6348265580685041,0.7176209461958979,0.6155456836274932,0.06543594463520833,0.36517344193149587
