execution_order,condition_id,target_id,target_role,comparison_group,hardware_mode,thread_count,batch_size,warmup_runs,timed_runs_planned,timed_runs_observed,status,p50_batch_latency_ms,p95_batch_latency_ms,p99_batch_latency_ms,median_throughput_flows_per_second
25,CPUCOND_070,ENS_LGBM_XGB_EQUAL,OPERATIONAL_REFERENCE,GROUP_A_DUPSAFE70,CPU_2_PHYSICAL_CORE,2,8192,5,20,20,PASS,249.294107,281.26176499999997,,32860.78648034978
26,CPUCOND_076,FT_BALANCED_SINGLE_RESOURCE_REFERENCE,RESOURCE_DECOMPOSITION_REFERENCE,GROUP_A_DUPSAFE70,CPU_2_PHYSICAL_CORE,2,1,50,200,200,PASS,1.68274,2.0750304999999996,2.618249599999996,594.2689986925175
27,CPUCOND_012,STAGE16_LIGHTGBM_TUNED,PRIMARY_ARCHITECTURE,GROUP_A_DUPSAFE70,CPU_1_PHYSICAL_CORE,1,64,30,150,150,PASS,4.411989999999999,6.525756949999999,7.502195899999999,14505.928848475549
28,CPUCOND_055,STAGE21_MASKED_VIT_V1,PRIMARY_ARCHITECTURE,GROUP_B_PACKET_IMAGE,CPU_1_PHYSICAL_CORE,1,8192,5,20,0,TIMEOUT_RESOURCE_LIMIT,,,,
29,CPUCOND_051,STAGE21_MASKED_VIT_V1,PRIMARY_ARCHITECTURE,GROUP_B_PACKET_IMAGE,CPU_1_PHYSICAL_CORE,1,1,50,200,200,PASS,1.9178600000000001,2.1051984999999998,2.5322494999999994,521.4145194484133
30,CPUCOND_024,STAGE16_CATBOOST_TUNED,PRIMARY_ARCHITECTURE,GROUP_A_DUPSAFE70,CPU_1_PHYSICAL_CORE,1,1024,10,50,50,PASS,1.983915,3.10194,,516160.65400229965
31,CPUCOND_080,FT_BALANCED_SINGLE_RESOURCE_REFERENCE,RESOURCE_DECOMPOSITION_REFERENCE,GROUP_A_DUPSAFE70,CPU_2_PHYSICAL_CORE,2,8192,5,20,20,PASS,7624.7970225,7958.5981043,,1074.3892976429515
32,CPUCOND_035,FT_BALANCED_5_CHECKPOINT_SOFT_VOTING,PRIMARY_ARCHITECTURE,GROUP_A_DUPSAFE70,CPU_1_PHYSICAL_CORE,1,8192,5,20,0,TIMEOUT_RESOURCE_LIMIT,,,,
33,CPUCOND_022,STAGE16_CATBOOST_TUNED,PRIMARY_ARCHITECTURE,GROUP_A_DUPSAFE70,CPU_1_PHYSICAL_CORE,1,64,30,150,150,PASS,0.33243449999999997,0.4033615,0.4290150999999999,192519.19373056412
34,CPUCOND_056,STAGE21_MASKED_VIT_V1,PRIMARY_ARCHITECTURE,GROUP_B_PACKET_IMAGE,CPU_2_PHYSICAL_CORE,2,1,50,200,200,PASS,1.86188,2.1142205,2.2687550099999987,537.091543757092
35,CPUCOND_002,STAGE16_XGBOOST_TUNED,PRIMARY_ARCHITECTURE,GROUP_A_DUPSAFE70,CPU_1_PHYSICAL_CORE,1,64,30,150,150,PASS,0.9235949999999999,1.0600849999999995,1.4667548199999951,69294.4418298883
36,CPUCOND_033,FT_BALANCED_5_CHECKPOINT_SOFT_VOTING,PRIMARY_ARCHITECTURE,GROUP_A_DUPSAFE70,CPU_1_PHYSICAL_CORE,1,256,20,100,100,PASS,1725.547919,1799.1141565,1817.941622,148.3588442472987
37,CPUCOND_039,FT_BALANCED_5_CHECKPOINT_SOFT_VOTING,PRIMARY_ARCHITECTURE,GROUP_A_DUPSAFE70,CPU_2_PHYSICAL_CORE,2,1024,10,50,50,PASS,4705.968333,8359.608535749992,,217.597014893922
38,CPUCOND_007,STAGE16_XGBOOST_TUNED,PRIMARY_ARCHITECTURE,GROUP_A_DUPSAFE70,CPU_2_PHYSICAL_CORE,2,64,30,150,150,PASS,0.859065,1.0513815,1.663978899999996,74499.60131325109
39,CPUCOND_046,STAGE20_MASKED_CNN_V1,PRIMARY_ARCHITECTURE,GROUP_B_PACKET_IMAGE,CPU_2_PHYSICAL_CORE,2,1,50,200,200,PASS,8.7756045,10.996530499999999,11.99431539999999,113.95265342023463
