execution_order,condition_id,target_id,target_role,comparison_group,hardware_mode,thread_count,batch_size,n,mean_batch_latency_ms,std_batch_latency_ms,coefficient_of_variation,p50_batch_latency_ms,p95_batch_latency_ms,p99_batch_latency_ms_if_n_gte_100,maximum_batch_latency_ms_descriptive_only,p50_ci95_low_ms,p50_ci95_high_ms,p95_ci95_low_ms,p95_ci95_high_ms,p99_ci95_low_ms_if_n_gte_100,p99_ci95_high_ms_if_n_gte_100,median_amortized_latency_ms_per_flow,median_throughput_flows_per_second,median_throughput_ci95_low,median_throughput_ci95_high
15,CPUCOND_001,STAGE16_XGBOOST_TUNED,PRIMARY_ARCHITECTURE,GROUP_A_DUPSAFE70,CPU_1_PHYSICAL_CORE,1,1,200,0.46650395000000006,0.11658567765781593,0.24991359163800417,0.439665,0.5937109499999996,0.7363955099999945,1.5844,0.43585,0.44464,0.5153765499999999,0.69675,0.69461106,1.5844,0.439665,2274.459048084583,2248.353081367898,2295.4474892010776
16,CPUCOND_037,FT_BALANCED_5_CHECKPOINT_SOFT_VOTING,PRIMARY_ARCHITECTURE,GROUP_A_DUPSAFE70,CPU_2_PHYSICAL_CORE,2,64,150,249.19966451333332,20.192783429480166,0.08103054018517654,247.79952350000002,281.6069055,312.90637100999993,317.503771,245.1426985,250.364283,274.3796024999999,305.65209049999993,283.88148751,317.503771,3.8718675546875003,258.2733728090253,255.46930144591926,261.2026769607795
18,CPUCOND_010,STAGE16_XGBOOST_TUNED,PRIMARY_ARCHITECTURE,GROUP_A_DUPSAFE70,CPU_2_PHYSICAL_CORE,2,8192,20,29.573344650000006,2.0880107642912256,0.07060448484954254,28.863163999999998,34.198093549999996,,34.49363,28.216759500000002,29.732709,30.30583,34.49363,,,0.0035233354492187497,283824.1872577691,275524.76125074766,290324.2329175049
20,CPUCOND_016,STAGE16_LIGHTGBM_TUNED,PRIMARY_ARCHITECTURE,GROUP_A_DUPSAFE70,CPU_2_PHYSICAL_CORE,2,1,200,0.687985075,0.26682215917638313,0.38783131912619345,0.5950605,1.4252409999999998,1.814183499999999,2.23401,0.590291,0.6012505125,0.9819464499999994,1.5686749999999985,1.5036739999999988,2.23401,0.5950605,1680.5014060246212,1663.0375577346556,1694.4558243058268
21,CPUCOND_075,FT_BALANCED_SINGLE_RESOURCE_REFERENCE,RESOURCE_DECOMPOSITION_REFERENCE,GROUP_A_DUPSAFE70,CPU_1_PHYSICAL_CORE,1,8192,20,13971.063868599998,651.8485280319609,0.046657043025691985,13796.077025,15094.64789695,,15232.628404,13606.988392,14334.7984055,14434.1329596,15232.628404,,,1.6840914337158204,593.8117595342778,571.4912015994692,602.048091258945
22,CPUCOND_077,FT_BALANCED_SINGLE_RESOURCE_REFERENCE,RESOURCE_DECOMPOSITION_REFERENCE,GROUP_A_DUPSAFE70,CPU_2_PHYSICAL_CORE,2,64,150,41.61473302666666,4.748709386863747,0.11411125439206304,40.114219500000004,51.16376449999999,53.66909881,55.665789,39.3622,41.22329076249998,48.992479,52.78784855,52.00404109999999,55.665789,0.6267846796875001,1595.4453027581606,1552.6793557988594,1627.672052565669
24,CPUCOND_029,STAGE16_CATBOOST_TUNED,PRIMARY_ARCHITECTURE,GROUP_A_DUPSAFE70,CPU_2_PHYSICAL_CORE,2,1024,50,2.3038051999999998,0.6253248715330589,0.2714313135212382,2.272715,3.3533479999999996,,3.90127,2.00991,2.47739,3.13348,3.7124589999999986,,,0.0022194482421875,450568.493168962,418922.6971559561,509475.6195966569
25,CPUCOND_070,ENS_LGBM_XGB_EQUAL,OPERATIONAL_REFERENCE,GROUP_A_DUPSAFE70,CPU_2_PHYSICAL_CORE,2,8192,20,252.85109644999997,14.151892425077818,0.05596927450095627,249.294107,281.26176499999997,,287.202856,244.076252,253.964921,255.261367,287.202856,,,0.030431409545898437,32860.78648034978,32256.5294866491,33564.22135092746
26,CPUCOND_076,FT_BALANCED_SINGLE_RESOURCE_REFERENCE,RESOURCE_DECOMPOSITION_REFERENCE,GROUP_A_DUPSAFE70,CPU_2_PHYSICAL_CORE,2,1,200,1.70023662,0.2815107749784731,0.16557152790796442,1.68274,2.0750304999999996,2.618249599999996,3.140661,1.63971,1.7151100000000001,1.98195,2.50608,2.1927744854999918,3.140661,1.68274,594.2689986925175,583.9706022388971,609.8643588986132
27,CPUCOND_012,STAGE16_LIGHTGBM_TUNED,PRIMARY_ARCHITECTURE,GROUP_A_DUPSAFE70,CPU_1_PHYSICAL_CORE,1,64,150,4.715113446666668,0.8513603538882614,0.1805598875866131,4.411989999999999,6.525756949999999,7.502195899999999,8.96888,4.2853863625,4.52848,5.94456,6.997934549999997,6.631032499999999,8.96888,0.06893734374999999,14505.928848475549,14132.7774440872,14934.496966308941
