Model,Integration steps,Completeness pass rate,Median absolute error,Maximum absolute error,P95 normalized error,Maximum normalized error,Mean signed cosine to 128 steps,Mean top-10 Jaccard to 128 steps,Minimum top-10 Jaccard to 128 steps
CNN,16,0.1666666666666666,0.1084207061122102,0.4682893235679337,0.051189686386511,0.0524310608245739,0.9996415295646336,0.9848484848484848,0.8181818181818182
CNN,32,0.25,0.0534028394231946,0.1932900672298299,0.0206898959057503,0.0216413289000448,0.9999153378486648,0.9848484848484848,0.8181818181818182
CNN,64,0.8333333333333334,0.0131948555093401,0.0552449085994357,0.0059761515362978,0.0061853837302033,0.9999938394114398,1.0,1.0
CNN,128,1.0,0.0041492502901441,0.0271113344999047,0.0028593598605957,0.0033549092770213,1.0,1.0,1.0
MLP,16,0.8333333333333334,0.0197146634303746,0.0871790564894938,0.0173562557980845,0.0242433537264697,0.9999628657490258,1.0,1.0
MLP,32,1.0,0.0076264565511958,0.0220708019656399,0.0043600064729793,0.0045116433422151,0.9999942548265256,1.0,1.0
MLP,64,1.0,0.0036982880050639,0.0085264714001125,0.0024199168016412,0.0029146714947541,0.9999987913837876,1.0,1.0
MLP,128,1.0,0.0009390805351132,0.0063652974492249,0.0015211524066197,0.0016682248347293,1.0,1.0,1.0
