Model,Comparison baseline,Cases,Mean signed cosine,Minimum signed cosine,Mean absolute cosine,Mean top-10 Jaccard,Mean top-10 sign agreement,Strong agreement cases,Moderate agreement cases,Weak agreement cases
cnn,benign_median,12,0.7506137719540958,0.4754277380114033,0.8057707855726699,0.4228255404725993,0.7083333333333334,2,5,5
cnn,zero_scaled,12,0.739146690951035,0.5379372843768181,0.8192905231336501,0.48179598179598176,0.8250000000000001,5,5,2
mlp,benign_median,12,0.5919130297327136,0.2429689424618737,0.6458763378157673,0.471470658970659,0.6916666666666668,4,1,7
mlp,zero_scaled,12,0.7423710550169571,0.4582341895112181,0.7759240801590547,0.5290526466997055,0.975,6,5,1
