pair_block_execution_index,batch_size,pair_rep,within_pair_order,V2_status,V3_status,pair_complete,V2_median_throughput_flows_per_second,V3_median_throughput_flows_per_second,throughput_ratio_clean_over_original,V2_p50_latency_ms,V3_p50_latency_ms,p50_latency_ratio_clean_over_original,V2_p95_latency_ms,V3_p95_latency_ms,p95_latency_ratio_clean_over_original,V2_p99_latency_ms,V3_p99_latency_ms,p99_latency_ratio_clean_over_original,V2_fingerprint,V3_fingerprint,fingerprint_equal
14,1024,4,V3_CLEAN -> V2_ORIGINAL,PASS,PASS,True,17597.89791539759,17088.317730731447,0.9710431219049023,58.188835,59.939229999999995,1.0300812862123807,61.41377845,66.34352055000001,1.0802709461039521,,,,ab1d10fe91a6b5146175f5e2f0e7e2edca93b1f15d2f0101df737c0a2bc5d016,ab1d10fe91a6b5146175f5e2f0e7e2edca93b1f15d2f0101df737c0a2bc5d016,True
15,64,1,V2_ORIGINAL -> V3_CLEAN,PASS,PASS,True,21238.891131998233,18817.580567474295,0.8859963757299917,3.0133400000000004,3.401075,1.1286728347946131,3.297204,3.6391205499999995,1.1036989370387758,3.5640064999999996,3.874818999999998,1.0872087354498365,8a7ed90cf0dd3b79db92534de8b07715357a7448444a834570c6f2f22d728189,8a7ed90cf0dd3b79db92534de8b07715357a7448444a834570c6f2f22d728189,True
16,64,2,V2_ORIGINAL -> V3_CLEAN,PASS,PASS,True,21489.031325325108,18972.716401615748,0.8829023567598484,2.9782650000000004,3.373265,1.1326275532902543,3.2433205,3.9553840499999975,1.2195476981075406,3.8850788099999995,5.423891199999999,1.3960826704568188,8a7ed90cf0dd3b79db92534de8b07715357a7448444a834570c6f2f22d728189,8a7ed90cf0dd3b79db92534de8b07715357a7448444a834570c6f2f22d728189,True
17,1,2,V2_ORIGINAL -> V3_CLEAN,PASS,PASS,True,28546.962075161224,29788.50163836759,1.043491127354901,0.035030000000000006,0.03357,0.9583214387667712,0.04890799999999999,0.04733649999999999,0.9678682424143289,0.06022119999999998,0.059625489999999975,0.9901079686223455,90764e0bf898fbde326ebc6d2a69b4bac7fd9d70564a13adb653ca71a16bc2d1,90764e0bf898fbde326ebc6d2a69b4bac7fd9d70564a13adb653ca71a16bc2d1,True
18,8192,1,V3_CLEAN -> V2_ORIGINAL,PASS,PASS,True,14959.853942143494,15016.009318952096,1.0037537383069233,547.599408,545.551298,0.9962598389076417,561.1472496,557.77914735,0.9939978281059012,,,,cd2fbccd7bb41cf0daa96af5ae02af4ebf8023934799889763e2295c9402ee77,cd2fbccd7bb41cf0daa96af5ae02af4ebf8023934799889763e2295c9402ee77,True
19,1024,1,V2_ORIGINAL -> V3_CLEAN,PASS,PASS,True,17487.569134003017,16183.96267802178,0.9254552507560075,58.555903,63.2734435,1.0805647297421064,62.3435115,67.9061456,1.0892255499595977,,,,ab1d10fe91a6b5146175f5e2f0e7e2edca93b1f15d2f0101df737c0a2bc5d016,ab1d10fe91a6b5146175f5e2f0e7e2edca93b1f15d2f0101df737c0a2bc5d016,True
20,256,3,V3_CLEAN -> V2_ORIGINAL,PASS,PASS,True,19536.670578466943,19020.6088791504,0.9735849720532557,13.1035665,13.460657000000001,1.0272513975489042,13.940196499999999,14.85610355,1.065702592499324,14.377121200000005,15.628963390000001,1.087071825616939,226475fdfe3dc4ba34b12c37ea2dd0eef419a7b4c79b58032cfe5003997545e8,226475fdfe3dc4ba34b12c37ea2dd0eef419a7b4c79b58032cfe5003997545e8,True
21,8192,2,V3_CLEAN -> V2_ORIGINAL,PASS,PASS,True,14642.83786700427,15084.745412622666,1.030179091623638,559.454624,543.0652725,0.970704770687533,567.57595605,557.22727675,0.9817668821420471,,,,cd2fbccd7bb41cf0daa96af5ae02af4ebf8023934799889763e2295c9402ee77,cd2fbccd7bb41cf0daa96af5ae02af4ebf8023934799889763e2295c9402ee77,True
22,8192,4,V2_ORIGINAL -> V3_CLEAN,PASS,PASS,True,15202.905548692117,15133.846615572915,0.995457517452962,538.844447,541.3032525,1.004563108172849,568.76344965,545.9170647000001,0.9598314818505674,,,,cd2fbccd7bb41cf0daa96af5ae02af4ebf8023934799889763e2295c9402ee77,cd2fbccd7bb41cf0daa96af5ae02af4ebf8023934799889763e2295c9402ee77,True
23,256,1,V3_CLEAN -> V2_ORIGINAL,PASS,PASS,True,20020.04868508193,17807.531200478632,0.8894849098817642,12.7871915,14.375947,1.1242458517963072,13.5431565,17.872299549999997,1.3196553956974504,13.984919300000003,20.59400670000001,1.472586738487651,226475fdfe3dc4ba34b12c37ea2dd0eef419a7b4c79b58032cfe5003997545e8,226475fdfe3dc4ba34b12c37ea2dd0eef419a7b4c79b58032cfe5003997545e8,True
24,64,3,V2_ORIGINAL -> V3_CLEAN,PASS,PASS,True,21682.56564718323,19605.560279249446,0.9042085055001964,2.9516805,3.2648205,1.1060887179354268,3.194218,3.5735449999999997,1.11875426160644,3.8378784899999983,3.724559009999998,0.9704734059988438,8a7ed90cf0dd3b79db92534de8b07715357a7448444a834570c6f2f22d728189,8a7ed90cf0dd3b79db92534de8b07715357a7448444a834570c6f2f22d728189,True
25,8192,5,V3_CLEAN -> V2_ORIGINAL,PASS,PASS,True,14966.634329909692,15109.100919402545,1.0095189463677978,547.351433,542.189777,0.9905697588627671,563.6179025499999,549.84530815,0.9755639515038682,,,,cd2fbccd7bb41cf0daa96af5ae02af4ebf8023934799889763e2295c9402ee77,cd2fbccd7bb41cf0daa96af5ae02af4ebf8023934799889763e2295c9402ee77,True
