worker_execution_index,pair_block_execution_index,batch_size,pair_rep,variant,worker_sha256,historical_config_sha256,execution_config_sha256,environment_gate_passed,worker_status,worker_return_code,failure_class,result_sha256,n,p50_latency_ms,p95_latency_ms,p99_latency_ms,median_throughput_flows_per_second,representation_fingerprint_sha256
12,6,8192,3,V3_CLEAN,c065e70fc16a628e482961f0db669d95affb841edd39153abf28dc99e868ad02,c3d0df3b7bd34b9a674fcd97d4828e782fbb4ee03c03b5101059aad3399eb0cc,f4a3a6850d2db266edae72a3ca46b8b515bf649ca6821e54771b728125f9d9f4,True,PASS,0,,387bdf1486864ddb4457fce06f94d1aeb6bc5b6721807af6240268632269fd19,20,540.5372055,552.2459985,,15155.300150156218,cd2fbccd7bb41cf0daa96af5ae02af4ebf8023934799889763e2295c9402ee77
13,7,1,4,V3_CLEAN,c065e70fc16a628e482961f0db669d95affb841edd39153abf28dc99e868ad02,3c6a29790dfc05c95c35c0f2f877e38b367e448c99274139ab9fbbc8277a77ba,620fcf100f93f70982950d56736c9b4e4680cf391596b93d22d207e2ebf66230,True,PASS,0,,002216287fac231d869c850665692911aac8866535fcff91b25d778424961c59,200,0.034961000000000006,0.042589999999999975,0.06013360999999997,28603.303161090604,90764e0bf898fbde326ebc6d2a69b4bac7fd9d70564a13adb653ca71a16bc2d1
14,7,1,4,V2_ORIGINAL,ebc19f2ea82b8cbc1b26c9cf6797550293eb16d16ae41e649cbd8d154d9ccd23,3c6a29790dfc05c95c35c0f2f877e38b367e448c99274139ab9fbbc8277a77ba,e37c8be19d44f21d2972b787f680fbc921e6de450f4bb0c0339c56041ccb591f,True,PASS,0,,528195d885c32b8f89dcc5fc7e787b3c440834e08cbc15083b3fbf381ba7821e,200,0.03662,0.054196999999999974,0.06744268999999996,27307.484286451785,90764e0bf898fbde326ebc6d2a69b4bac7fd9d70564a13adb653ca71a16bc2d1
15,8,256,2,V2_ORIGINAL,ebc19f2ea82b8cbc1b26c9cf6797550293eb16d16ae41e649cbd8d154d9ccd23,9f491d9f24bde2aab272ba480bc93853da3dbace99d8e0b9f9e52a788ab92859,7d933a5b91d63a93e3e600e0ccdbff193a33102b1f04bf88ecab16db71f9a3e3,True,PASS,0,,295e7c4f9baab2eca162928a2b2a075cbcd7adf82b298f09519c921f12a43828,100,12.869635,13.835202,14.5285387,19891.79149970244,226475fdfe3dc4ba34b12c37ea2dd0eef419a7b4c79b58032cfe5003997545e8
16,8,256,2,V3_CLEAN,c065e70fc16a628e482961f0db669d95affb841edd39153abf28dc99e868ad02,9f491d9f24bde2aab272ba480bc93853da3dbace99d8e0b9f9e52a788ab92859,d707d1ce6c22cbc0ebde9ff39885f80d78c3ad8334023dd177e83234ca1cbe7f,True,PASS,0,,41df9cd4fd9de12692bfa01ad4e0b70a5b545af0b49cf271f4ba02351aa139e8,100,13.269835,14.77772,15.214024000000007,19297.727336775053,226475fdfe3dc4ba34b12c37ea2dd0eef419a7b4c79b58032cfe5003997545e8
17,9,1024,3,V2_ORIGINAL,ebc19f2ea82b8cbc1b26c9cf6797550293eb16d16ae41e649cbd8d154d9ccd23,998416bce02c9d5090d7af22aa607a05ee85224a9ea447f89131fae427667bc0,5f280de22872ed608c2990c2918960d6a6ef249d1cb8eb3acad6c9148e80ec26,True,PASS,0,,3292a439f729db84c6970ee53f787685e048311a8bf46b1ed4556dad7775ce27,50,58.997455,61.580882949999996,,17357.034804840176,ab1d10fe91a6b5146175f5e2f0e7e2edca93b1f15d2f0101df737c0a2bc5d016
18,9,1024,3,V3_CLEAN,c065e70fc16a628e482961f0db669d95affb841edd39153abf28dc99e868ad02,998416bce02c9d5090d7af22aa607a05ee85224a9ea447f89131fae427667bc0,d874c6f3c0e65a6fc86198e0be1fd42c34de42ab4cf1013e229c4f8148af9d69,True,PASS,0,,afc0fbf4d07062542b34fe66c538faf7207a2506514d6ab013edfe7da73472a5,50,59.168544999999995,66.16451500000001,,17308.432021546265,ab1d10fe91a6b5146175f5e2f0e7e2edca93b1f15d2f0101df737c0a2bc5d016
19,10,64,5,V3_CLEAN,c065e70fc16a628e482961f0db669d95affb841edd39153abf28dc99e868ad02,581ee8171e93acfe982b0c67fe5168e88dc49505b366700792aab27381d9655b,29b1fe21a0a6e3d3ea005178003f100e9a967ff797e23edfc91f4a9638c6553d,True,PASS,0,,b3b54141df53a92196bc77092c4ad6b4c96f95e1844480c5c90d7f9175093658,150,3.4853750000000003,5.562916499999999,6.290331599999998,18362.44375438139,8a7ed90cf0dd3b79db92534de8b07715357a7448444a834570c6f2f22d728189
20,10,64,5,V2_ORIGINAL,ebc19f2ea82b8cbc1b26c9cf6797550293eb16d16ae41e649cbd8d154d9ccd23,581ee8171e93acfe982b0c67fe5168e88dc49505b366700792aab27381d9655b,27aa3df7b4a9b2026498ca3bfe73ce6895e9c6d9697138b8a7d0b5d7751cb92e,True,PASS,0,,8972463c7f0e9e155589331edc12be465988bd2f4247c51fb86a4b379e21df9d,150,3.0910450000000003,3.3805289999999997,3.805960899999999,20704.976282018673,8a7ed90cf0dd3b79db92534de8b07715357a7448444a834570c6f2f22d728189
21,11,1,3,V2_ORIGINAL,ebc19f2ea82b8cbc1b26c9cf6797550293eb16d16ae41e649cbd8d154d9ccd23,3c6a29790dfc05c95c35c0f2f877e38b367e448c99274139ab9fbbc8277a77ba,52998a6e54adc591bb74f916c31bc4e806be31bf6dde751ebaf338b8c9763a57,True,PASS,0,,42f5b7b7198defded1f298a03e19c5c7f484997c94e32f538e141efab9053815,200,0.03652,0.04922949999999996,0.058126709999999984,27382.256297918946,90764e0bf898fbde326ebc6d2a69b4bac7fd9d70564a13adb653ca71a16bc2d1
22,11,1,3,V3_CLEAN,c065e70fc16a628e482961f0db669d95affb841edd39153abf28dc99e868ad02,3c6a29790dfc05c95c35c0f2f877e38b367e448c99274139ab9fbbc8277a77ba,771dc08bdf18b99fd8c805b210d7f3c9bf11f675fc0f8a79d734341f4cc20ade,True,PASS,0,,263989a20d7272750dd6dfcb380279fbda6316f3796f1de44e05d34c3329011c,200,0.034599000000000005,0.05165694999999998,0.06624099999999998,28902.59116804628,90764e0bf898fbde326ebc6d2a69b4bac7fd9d70564a13adb653ca71a16bc2d1
23,12,1,1,V3_CLEAN,c065e70fc16a628e482961f0db669d95affb841edd39153abf28dc99e868ad02,3c6a29790dfc05c95c35c0f2f877e38b367e448c99274139ab9fbbc8277a77ba,adcfe4b0ef8a8312df79818bcbd7919de4ad0b5be6100cd8b225f41a47cd2d60,True,PASS,0,,6479460ea50dbb15e516c5e990a6227cf75827454699b9eedb60920cdda9f87c,200,0.034871,0.04861494999999999,0.08699041,28677.133691350704,90764e0bf898fbde326ebc6d2a69b4bac7fd9d70564a13adb653ca71a16bc2d1
24,12,1,1,V2_ORIGINAL,ebc19f2ea82b8cbc1b26c9cf6797550293eb16d16ae41e649cbd8d154d9ccd23,3c6a29790dfc05c95c35c0f2f877e38b367e448c99274139ab9fbbc8277a77ba,12e08a97a17008467223e63ba38262168b08a3ed5b54fe637c664bc3aa0e8fba,True,PASS,0,,43a346cc0f36a07ad187e949ba660d1745ca89fe2681b6c1464e20aff3d0a22a,200,0.03565,0.05265394999999999,0.05980679999999999,28050.499711980774,90764e0bf898fbde326ebc6d2a69b4bac7fd9d70564a13adb653ca71a16bc2d1
25,13,64,4,V3_CLEAN,c065e70fc16a628e482961f0db669d95affb841edd39153abf28dc99e868ad02,581ee8171e93acfe982b0c67fe5168e88dc49505b366700792aab27381d9655b,81722a449cc33aca502179691abf30a256bb84b4e53323166d8e14ae765953e5,True,PASS,0,,544746b0fd2a40ec13f4486dd22b98b335861825934a95b1643020fe0da4f6ee,150,3.228435,3.5835405,3.8171501899999987,19855.353697421808,8a7ed90cf0dd3b79db92534de8b07715357a7448444a834570c6f2f22d728189
26,13,64,4,V2_ORIGINAL,ebc19f2ea82b8cbc1b26c9cf6797550293eb16d16ae41e649cbd8d154d9ccd23,581ee8171e93acfe982b0c67fe5168e88dc49505b366700792aab27381d9655b,0e5b780f1ae7e3bc17cf5b27488446d9bfbeb17da4e835b81b3c1818652324f1,True,PASS,0,,b9108c031a5512afb8438807232d562b2f878907911549d4bf292ec963ffb939,150,2.9726795,3.2103759999999992,3.5184123,21529.407146529367,8a7ed90cf0dd3b79db92534de8b07715357a7448444a834570c6f2f22d728189
27,14,1024,4,V3_CLEAN,c065e70fc16a628e482961f0db669d95affb841edd39153abf28dc99e868ad02,998416bce02c9d5090d7af22aa607a05ee85224a9ea447f89131fae427667bc0,1e3407082a8b2bac6c9aacc8e1c476047c0f969ae5bf634dbc7fdf436ec752c4,True,PASS,0,,579f4758dd4a9af26004d925c54ad7b89cecb84e0238c8b60235d53cef8521a0,50,59.939229999999995,66.34352055000001,,17088.317730731447,ab1d10fe91a6b5146175f5e2f0e7e2edca93b1f15d2f0101df737c0a2bc5d016
28,14,1024,4,V2_ORIGINAL,ebc19f2ea82b8cbc1b26c9cf6797550293eb16d16ae41e649cbd8d154d9ccd23,998416bce02c9d5090d7af22aa607a05ee85224a9ea447f89131fae427667bc0,2d472782a7080f6b5cddcf8c9cf18d928e67a3f62083e8263dbdd4f03f5c53b6,True,PASS,0,,db6094a584d81deb295b9a40d20b1ce612d7dde9d471aa9d3bcdbbfd37e23d00,50,58.188835,61.41377845,,17597.89791539759,ab1d10fe91a6b5146175f5e2f0e7e2edca93b1f15d2f0101df737c0a2bc5d016
29,15,64,1,V2_ORIGINAL,ebc19f2ea82b8cbc1b26c9cf6797550293eb16d16ae41e649cbd8d154d9ccd23,581ee8171e93acfe982b0c67fe5168e88dc49505b366700792aab27381d9655b,cee58f364b76ce638cf0dfce624ba06915feaab8857f04d68545ba0cab1aecb1,True,PASS,0,,731dd7ed564a3b8cca686aa053a5aeb636c5a5ff7c60fae896a8f0af0f137f9d,150,3.0133400000000004,3.297204,3.5640064999999996,21238.891131998233,8a7ed90cf0dd3b79db92534de8b07715357a7448444a834570c6f2f22d728189
30,15,64,1,V3_CLEAN,c065e70fc16a628e482961f0db669d95affb841edd39153abf28dc99e868ad02,581ee8171e93acfe982b0c67fe5168e88dc49505b366700792aab27381d9655b,8ae71b0b463e51d499552a98bdd5de00a3214a5cbac6c0316b6d2e7b11a8e408,True,PASS,0,,1f99fa899cf97f786950b1236ac23ae8646aae14bd1815f6fbdf94e34876c512,150,3.401075,3.6391205499999995,3.874818999999998,18817.580567474295,8a7ed90cf0dd3b79db92534de8b07715357a7448444a834570c6f2f22d728189
31,16,64,2,V2_ORIGINAL,ebc19f2ea82b8cbc1b26c9cf6797550293eb16d16ae41e649cbd8d154d9ccd23,581ee8171e93acfe982b0c67fe5168e88dc49505b366700792aab27381d9655b,ec1ddc3a09aaff4b0901aa2c4defc17edda4943eb4692248bcd5cfde74d49a1c,True,PASS,0,,fbddf4587886fa7ff8c0a98aa36606fc704f95028001d4667fdc8fdb4bd6f476,150,2.9782650000000004,3.2433205,3.8850788099999995,21489.031325325108,8a7ed90cf0dd3b79db92534de8b07715357a7448444a834570c6f2f22d728189
