batch_size,frozen_pair_count,complete_pair_count,incomplete_pair_count,throughput_ratio_pair_values,throughput_ratio_median,throughput_ratio_min,throughput_ratio_max,p50_ratio_pair_values,p50_ratio_median,p50_ratio_min,p50_ratio_max,p95_ratio_pair_values,p95_ratio_median,p95_ratio_min,p95_ratio_max,p99_ratio_pair_values,p99_ratio_median,p99_ratio_min,p99_ratio_max,bootstrap,hypothesis_test,materiality_threshold
1,5,5,0,"[1.0445519924635573, 1.0474528836507184, 1.0555226294570503, 1.0223394943335817, 1.043491127354901]",1.0445519924635573,1.0223394943335817,1.0555226294570503,"[0.957348072421006, 0.9546968869470237, 0.9473986856516979, 0.978148667601683, 0.9583214387667712]",0.957348072421006,0.9473986856516979,0.978148667601683,"[0.8975440269157792, 0.7858368544384374, 1.0493088493687732, 0.9232916049033358, 0.9678682424143289]",0.9232916049033358,0.7858368544384374,1.0493088493687732,"[1.034319339863654, 0.8916253192154703, 1.1395965813306825, 1.4545237330872076, 0.9901079686223455]",1.034319339863654,0.8916253192154703,1.4545237330872076,False,False,
64,5,5,0,"[0.8868613759450831, 0.922243402351308, 0.8859963757299917, 0.8829023567598484, 0.9042085055001964]",0.8868613759450831,0.8829023567598484,0.922243402351308,"[1.127571743536571, 1.0860353428615497, 1.1286728347946131, 1.1326275532902543, 1.1060887179354268]",1.127571743536571,1.0860353428615497,1.1326275532902543,"[1.6455757368151551, 1.1162370077523631, 1.1036989370387758, 1.2195476981075406, 1.11875426160644]",1.11875426160644,1.1036989370387758,1.6455757368151551,"[1.6527578094667235, 1.084907016156122, 1.0872087354498365, 1.3960826704568188, 0.9704734059988438]",1.0872087354498365,0.9704734059988438,1.6527578094667235,False,False,
256,5,5,0,"[0.9087583881235699, 0.9335575049266839, 0.9701352106502688, 0.9735849720532557, 0.8894849098817642]",0.9335575049266839,0.8894849098817642,0.9735849720532557,"[1.1006309095029387, 1.0714975882782978, 1.0310964530074085, 1.0272513975489042, 1.1242458517963072]",1.0714975882782978,1.0272513975489042,1.1242458517963072,"[1.075868992558468, 1.036723389878761, 1.0681246287549686, 1.065702592499324, 1.3196553956974504]",1.0681246287549686,1.036723389878761,1.3196553956974504,"[1.0517697656083693, 1.0378930383020237, 1.0471819853430964, 1.087071825616939, 1.472586738487651]",1.0517697656083693,1.0378930383020237,1.472586738487651,False,False,
1024,5,5,0,"[0.9440904221304967, 1.0159964032367366, 0.9971998222138521, 0.9710431219049023, 0.9254552507560075]",0.9710431219049023,0.9254552507560075,1.0159964032367366,"[1.0601801559367983, 0.984569801239033, 1.0028999555997795, 1.0300812862123807, 1.0805647297421064]",1.0300812862123807,0.984569801239033,1.0805647297421064,"[1.114747399146251, 1.0434007622552657, 1.0744327107768437, 1.0802709461039521, 1.0892255499595977]",1.0802709461039521,1.0434007622552657,1.114747399146251,,,,,False,False,
8192,5,5,0,"[1.0043477474272686, 1.0037537383069233, 1.030179091623638, 0.995457517452962, 1.0095189463677978]",1.0043477474272686,0.995457517452962,1.030179091623638,"[0.9956714840052905, 0.9962598389076417, 0.970704770687533, 1.004563108172849, 0.9905697588627671]",0.9956714840052905,0.970704770687533,1.004563108172849,"[0.9471776003602419, 0.9939978281059012, 0.9817668821420471, 0.9598314818505674, 0.9755639515038682]",0.9755639515038682,0.9471776003602419,0.9939978281059012,,,,,False,False,
