arm,parent_stage,family,learner,support_n,support_status,inferential_family_claim_authorized,metric,n_seeds,n_defined,mean,median,sample_standard_deviation_ddof_1,minimum,maximum,range,IQR_Q75_minus_Q25_linear
28A_CHRONOLOGY_LOAO,STAGE27_CHRONOLOGY_LOAO,DDOS,XGBOOST,128027,INFERENTIAL_ELIGIBLE_SUPPORT,True,STANDARD_RECALL,5,5,0.6252477992923368,0.625297788747686,0.0012947721858962,0.6238215376444032,0.6266412553601974,0.0028197177157942,0.0023354448670982
28A_CHRONOLOGY_LOAO,STAGE27_CHRONOLOGY_LOAO,DDOS,XGBOOST,128027,INFERENTIAL_ELIGIBLE_SUPPORT,True,BALANCED_RECALL,5,5,0.6438657470689776,0.6426691244815547,0.0152727586495715,0.6289532676701008,0.6619697407578089,0.033016473087708,0.0275488764088824
28A_CHRONOLOGY_LOAO,STAGE27_CHRONOLOGY_LOAO,DDOS,XGBOOST,128027,INFERENTIAL_ELIGIBLE_SUPPORT,True,SECURITY_RECALL,5,5,0.6711037515524069,0.6686714521155693,0.0128953762012676,0.6619697407578089,0.693291258875081,0.0313215181172721,0.0073656338116179
28A_CHRONOLOGY_LOAO,STAGE27_CHRONOLOGY_LOAO,DDOS,LIGHTGBM,128027,INFERENTIAL_ELIGIBLE_SUPPORT,True,ROC_AUC,5,5,0.998568061864356,0.9985818073127531,0.0001752358734129,0.9983325600627416,0.998780335742996,0.0004477756802544,0.0002101202093706
28A_CHRONOLOGY_LOAO,STAGE27_CHRONOLOGY_LOAO,DDOS,LIGHTGBM,128027,INFERENTIAL_ELIGIBLE_SUPPORT,True,PR_AUC,5,5,0.9938813527981488,0.9939610126616192,0.0005422399569108,0.9929783902367586,0.9944416347480456,0.0014632445112869,0.0001086626158045
28A_CHRONOLOGY_LOAO,STAGE27_CHRONOLOGY_LOAO,DDOS,LIGHTGBM,128027,INFERENTIAL_ELIGIBLE_SUPPORT,True,PR_CHANCE_ANCHOR,5,5,0.2360601752745925,0.2360601752745925,0.0,0.2360601752745925,0.2360601752745925,0.0,0.0
28A_CHRONOLOGY_LOAO,STAGE27_CHRONOLOGY_LOAO,DDOS,LIGHTGBM,128027,INFERENTIAL_ELIGIBLE_SUPPORT,True,PR_EXCESS,5,5,0.7578211775235563,0.7579008373870266,0.0005422399569108,0.756918214962166,0.758381459473453,0.0014632445112869,0.0001086626158045
28A_CHRONOLOGY_LOAO,STAGE27_CHRONOLOGY_LOAO,DDOS,LIGHTGBM,128027,INFERENTIAL_ELIGIBLE_SUPPORT,True,PR_LIFT,5,5,4.210288125229234,4.2106255809791415,0.002297041236541,4.20646298801437,4.21266159610057,0.0061986080862004,0.000460317441
28A_CHRONOLOGY_LOAO,STAGE27_CHRONOLOGY_LOAO,DDOS,LIGHTGBM,128027,INFERENTIAL_ELIGIBLE_SUPPORT,True,STANDARD_RECALL,5,5,0.1660993384208018,0.1661524522171104,0.0003326451207024,0.1657150444828044,0.1665429948370265,0.0008279503542221,0.0004217860295094
28A_CHRONOLOGY_LOAO,STAGE27_CHRONOLOGY_LOAO,DDOS,LIGHTGBM,128027,INFERENTIAL_ELIGIBLE_SUPPORT,True,BALANCED_RECALL,5,5,0.2058675123216196,0.1671444304716973,0.0534067866939378,0.1665820490990181,0.2661704171776266,0.0995883680786084,0.0956360767650573
28A_CHRONOLOGY_LOAO,STAGE27_CHRONOLOGY_LOAO,DDOS,LIGHTGBM,128027,INFERENTIAL_ELIGIBLE_SUPPORT,True,SECURITY_RECALL,5,5,0.6871113124575284,0.643403344606997,0.1055363152563677,0.5691768142657408,0.8177806243995407,0.2486038101337998,0.1495231474610824
28A_CHRONOLOGY_LOAO,STAGE27_CHRONOLOGY_LOAO,INFILTRATION,XGBOOST,36,DESCRIPTIVE_ONLY_SUPPORT_LT_50,False,ROC_AUC,5,5,0.781678861468222,0.7773277098099431,0.0175445246776994,0.7686499517851652,0.811515117126532,0.0428651653413668,0.0122291321232431
28A_CHRONOLOGY_LOAO,STAGE27_CHRONOLOGY_LOAO,INFILTRATION,XGBOOST,36,DESCRIPTIVE_ONLY_SUPPORT_LT_50,False,PR_AUC,5,5,0.0001943670486617,0.0001897038633349,1.996115512920453e-05,0.0001774865774133,0.0002276490585092,5.016248109590798e-05,1.486664731163812e-05
