metric,contrast,n_seeds,n_defined,mean,median,sample_standard_deviation_ddof_1,minimum,maximum,range,IQR_Q75_minus_Q25_linear,random_lt_chronological_supporting_seeds,frozen_seed_count,stability_rate
PR_AUC,RANDOM_MINUS_CHRONOLOGICAL,5,5,-0.37883151193011233,-0.3836323746439249,0.030829794284467825,-0.4140495112049234,-0.3289603144495877,0.08508919675533572,0.002399379631894516,5,5,1.0
ROC_AUC,RANDOM_MINUS_CHRONOLOGICAL,5,5,-0.3032849628144068,-0.3069354538244919,0.009000966607148763,-0.3133092311798299,-0.2934314575947635,0.01987777358506637,0.014550945110191227,5,5,1.0
