family,learner,support_status,heldout_support,nearest_seen_family,nearest_seen_distance,similarity_score,benign_distance,unseen_roc_auc,unseen_pr_auc,unseen_prevalence,unseen_pr_excess
BOT,XGBOOST,INFERENTIAL_ELIGIBLE_SUPPORT,1966,AUTH_BRUTE_FORCE,0.4296997852059631,0.6994475416081423,1.0513355872581185,0.32238681852330214,0.0032557314024596277,0.004722691982473672,-0.0014669605800140444
BOT,LIGHTGBM,INFERENTIAL_ELIGIBLE_SUPPORT,1966,AUTH_BRUTE_FORCE,0.4296997852059631,0.6994475416081423,1.0513355872581185,0.5590614406711931,0.004879010248700389,0.004722691982473672,0.0001563182662267168
DDOS,XGBOOST,INFERENTIAL_ELIGIBLE_SUPPORT,128027,DOS,1.6080513740288278,0.38342802981493207,3.478910262941095,0.9981965450426153,0.9924676314551888,0.23606017527459255,0.7564074561805962
DDOS,LIGHTGBM,INFERENTIAL_ELIGIBLE_SUPPORT,128027,DOS,1.6080513740288278,0.38342802981493207,3.478910262941095,0.9985818073127533,0.9939610126616192,0.23606017527459255,0.7579008373870266
INFILTRATION,XGBOOST,DESCRIPTIVE_ONLY_SUPPORT_LT_50,36,AUTH_BRUTE_FORCE,62.962761929999644,0.01563409661850425,62.94211383193508,0.7815653303713563,0.00018106454836966566,7.881117717628309e-05,0.00010225337119338258
INFILTRATION,LIGHTGBM,DESCRIPTIVE_ONLY_SUPPORT_LT_50,36,AUTH_BRUTE_FORCE,62.962761929999644,0.01563409661850425,62.94211383193508,0.7536628192104249,0.00015591221379998593,7.881117717628309e-05,7.710103662370284e-05
PORT_SCAN,XGBOOST,INFERENTIAL_ELIGIBLE_SUPPORT,158930,AUTH_BRUTE_FORCE,0.5370217063197129,0.6506088989428962,1.223807463090658,0.5505911851149154,0.3622206606370481,0.2772428181672284,0.08497784246981971
PORT_SCAN,LIGHTGBM,INFERENTIAL_ELIGIBLE_SUPPORT,158930,AUTH_BRUTE_FORCE,0.5370217063197129,0.6506088989428962,1.223807463090658,0.7558855961851745,0.4191064980155717,0.2772428181672284,0.1418636798483433
WEB_ATTACK,XGBOOST,INFERENTIAL_ELIGIBLE_SUPPORT,2180,AUTH_BRUTE_FORCE,1.173885572269472,0.46000581298123694,1.528111100564871,0.9693327932280036,0.7205965776366883,0.004750159064959515,0.7158464185717287
WEB_ATTACK,LIGHTGBM,INFERENTIAL_ELIGIBLE_SUPPORT,2180,AUTH_BRUTE_FORCE,1.173885572269472,0.46000581298123694,1.528111100564871,0.990056168035138,0.7604998658179247,0.004750159064959515,0.7557497067529652
