model_display,models_disagree,cases,decision_agreement_rate,mean_local_r2,median_local_r2,mean_fidelity_gap,median_fidelity_gap,mean_top10_jaccard,mean_absolute_attribution_cosine,qualified_explanations
LightGBM,False,24,0.375,0.3367871437809559,0.3502896939376305,0.36474695717600275,0.3144583088456686,0.29863804496157437,0.6894575925364839,0
LightGBM,True,8,1.0,0.34634237929357403,0.37433172332182324,0.11358072032119873,0.11829501514490354,0.3264696904402787,0.5507287895978713,2
XGBoost,False,27,0.4074074074074074,0.22883800977905716,0.23013700238476575,0.3312995429093484,0.24918778928525281,0.2759515962130341,0.5891895298963535,0
XGBoost,True,5,1.0,0.1873421537581414,0.17927292272610462,0.10755165041145912,0.126987355272419,0.24084967320261436,0.4889483561984454,0
