disagreement_case_id,y_true,attack_category,mean_top5_jaccard,mean_top10_jaccard,mean_top15_jaccard,mean_absolute_attribution_cosine,mean_signed_attribution_cosine,mean_sign_agreement_lime_selected
DISAGREE_01,0,Benign,0.38888888888888884,0.38095238095238093,0.3068181818181818,0.4838254072057731,0.2395384904499838,0.38181818181818183
DISAGREE_02,0,Benign,0.25,0.2549019607843137,0.27717391304347827,0.5774995360634398,-0.06927091210343714,0.528604118993135
DISAGREE_03,0,Benign,0.1111111111111111,0.25,0.36363636363636365,0.6784448737837354,0.4239618553382992,0.5163398692810457
DISAGREE_04,0,Benign,0.42857142857142855,0.38095238095238093,0.3339920948616601,0.8752091022829859,0.13436532272543705,0.2863636363636364
DISAGREE_05,0,Benign,0.125,0.2549019607843137,0.3068181818181818,0.30332456254589485,-0.16132074394764048,0.3944444444444445
DISAGREE_06,0,Benign,0.25,0.4358974358974359,0.4318181818181818,0.6971682487157713,-0.15119716482436837,0.3133971291866029
DISAGREE_07,1,Infilteration,0.25,0.25,0.40217391304347827,0.6682675846156719,0.3535441620499011,0.38618925831202044
DISAGREE_08,1,Infilteration,0.18055555555555555,0.38095238095238093,0.3339920948616601,0.4789216442528801,-0.1173371169518864,0.425
DISAGREE_09,1,Brute Force -Web,0.25,0.2549019607843137,0.30434782608695654,0.5671343420759322,-0.06247516510179075,0.42954545454545456
DISAGREE_10,1,Infilteration,0.42857142857142855,0.42857142857142855,0.3339920948616601,0.9020769877083268,0.1801624729516842,0.294047619047619
DISAGREE_11,1,Infilteration,0.3392857142857143,0.3333333333333333,0.42857142857142855,0.7082152376487094,0.27315950471358325,0.5434782608695652
DISAGREE_12,1,Infilteration,0.2698412698412698,0.38095238095238093,0.30434782608695654,0.41097921193847947,0.31141785007077427,0.5681818181818181
