model,model_display,feature_index,feature_name,explanation_selection_count,unique_cases_selected,mean_weight,mean_absolute_weight,positive_count,negative_count,mean_rank,explanation_selection_frequency
lightgbm,LightGBM,66,Init Fwd Win Byts,60,12,-0.1103145171496155,0.1103145171496155,0,60,1.3,1.0
lightgbm,LightGBM,37,Fwd Pkts/s,59,12,0.023743938137509062,0.023743938137509062,59,0,5.186440677966102,0.9833333333333333
lightgbm,LightGBM,51,ECE Flag Cnt,52,12,0.025847933646863476,0.0258497238443802,51,1,5.269230769230769,0.8666666666666667
lightgbm,LightGBM,7,Fwd Pkt Len Max,49,10,-0.051885052903887875,0.051885052903887875,0,49,4.530612244897959,0.8166666666666667
lightgbm,LightGBM,0,Dst Port,49,11,0.0028990130220544674,0.026441982170681215,34,15,5.204081632653061,0.8166666666666667
lightgbm,LightGBM,46,RST Flag Cnt,46,11,0.02108055802490921,0.02108055802490921,46,0,6.260869565217392,0.7666666666666667
lightgbm,LightGBM,53,Pkt Size Avg,42,11,0.0072186520697210925,0.008501078610686778,33,9,10.80952380952381,0.7
lightgbm,LightGBM,69,Fwd Seg Size Min,36,8,0.04849941730555914,0.04849941730555914,36,0,6.166666666666667,0.6
lightgbm,LightGBM,19,Flow IAT Max,36,10,-0.023564190839536092,0.023696760439407646,1,35,5.916666666666667,0.6
lightgbm,LightGBM,13,Bwd Pkt Len Mean,34,9,0.009161488572327396,0.009364192184247697,30,4,11.088235294117647,0.5666666666666667
lightgbm,LightGBM,42,Pkt Len Std,31,9,0.006848421335244485,0.006848421335244485,31,0,11.129032258064516,0.5166666666666667
lightgbm,LightGBM,40,Pkt Len Max,27,7,0.00678270467628308,0.012018595607612804,15,12,8.666666666666666,0.45
lightgbm,LightGBM,10,Fwd Pkt Len Std,24,6,-0.011923305474813718,0.011923305474813718,0,24,8.5,0.4
lightgbm,LightGBM,55,Bwd Seg Size Avg,24,8,0.007605397359523276,0.008519374680470053,21,3,10.916666666666666,0.4
lightgbm,LightGBM,76,Idle Max,20,7,-0.0076126820883941435,0.01272148237984599,6,14,8.05,0.3333333333333333
lightgbm,LightGBM,43,Pkt Len Var,20,6,0.00501056236624481,0.00501056236624481,20,0,10.4,0.3333333333333333
lightgbm,LightGBM,11,Bwd Pkt Len Max,20,6,-0.0005578186195617781,0.0044982649049155835,10,10,12.1,0.3333333333333333
lightgbm,LightGBM,39,Pkt Len Min,18,5,0.00526121634314456,0.005423090656774579,16,2,13.11111111111111,0.3
lightgbm,LightGBM,2,Flow Duration,16,6,-0.009870784366918387,0.009978792880570865,1,15,10.6875,0.26666666666666666
lightgbm,LightGBM,24,Fwd IAT Max,15,3,-0.015494895261331586,0.015494895261331586,0,15,6.666666666666667,0.25
lightgbm,LightGBM,23,Fwd IAT Std,15,3,0.004586109684742592,0.004946790149865815,14,1,11.666666666666666,0.25
lightgbm,LightGBM,67,Init Bwd Win Byts,13,3,-0.0022769833075396676,0.006021912117886176,5,8,9.692307692307692,0.21666666666666667
lightgbm,LightGBM,48,ACK Flag Cnt,12,4,-0.007520280252189977,0.007520280252189977,0,12,12.083333333333334,0.2
lightgbm,LightGBM,14,Bwd Pkt Len Std,12,5,0.0018650622062225794,0.00421790727777216,9,3,11.833333333333334,0.2
lightgbm,LightGBM,41,Pkt Len Mean,12,7,0.00229813938298522,0.00364912713314519,10,2,13.0,0.2
lightgbm,LightGBM,21,Fwd IAT Tot,12,5,9.723662073870049e-06,0.003606235873169567,6,6,11.333333333333334,0.2
lightgbm,LightGBM,26,Bwd IAT Tot,11,3,-0.012122646393095042,0.01422042741255059,1,10,5.2727272727272725,0.18333333333333332
lightgbm,LightGBM,74,Idle Mean,11,3,-0.006480811810420786,0.006480811810420786,0,11,9.909090909090908,0.18333333333333332
lightgbm,LightGBM,47,PSH Flag Cnt,11,5,0.002380514498828239,0.004549631044659521,7,4,12.454545454545455,0.18333333333333332
