case_id,selected_for_model,model_display,selected_outcome,models_disagree,explanation_seed,rank,feature_index,feature_name,raw_feature_value,weight,absolute_weight,direction
LIGHTGBM_FN_03,lightgbm,LightGBM,FN,False,137702,11,24,Fwd IAT Max,16000000.0,-0.014164100250539479,0.014164100250539479,supports_benign
LIGHTGBM_FN_03,lightgbm,LightGBM,FN,False,137702,12,21,Fwd IAT Tot,95100000.0,-0.0036973587347993286,0.0036973587347993286,supports_benign
LIGHTGBM_FN_03,lightgbm,LightGBM,FN,False,137702,13,73,Active Min,74100000.0,-0.002232264728535108,0.002232264728535108,supports_benign
LIGHTGBM_FN_03,lightgbm,LightGBM,FN,False,137702,14,72,Active Max,74100000.0,-0.0016251024486557864,0.0016251024486557864,supports_benign
LIGHTGBM_FN_03,lightgbm,LightGBM,FN,False,137702,15,70,Active Mean,74100000.0,0.0014741236315885672,0.0014741236315885672,supports_attack
LIGHTGBM_FN_04,lightgbm,LightGBM,FN,False,137703,1,66,Init Fwd Win Byts,-1.0,-0.10152781986720424,0.10152781986720424,supports_benign
LIGHTGBM_FN_04,lightgbm,LightGBM,FN,False,137703,2,51,ECE Flag Cnt,0.0,0.040737226339285615,0.040737226339285615,supports_attack
LIGHTGBM_FN_04,lightgbm,LightGBM,FN,False,137703,3,46,RST Flag Cnt,0.0,0.03894037027196198,0.03894037027196198,supports_attack
LIGHTGBM_FN_04,lightgbm,LightGBM,FN,False,137703,4,19,Flow IAT Max,452.0,-0.031243685569156982,0.031243685569156982,supports_benign
LIGHTGBM_FN_04,lightgbm,LightGBM,FN,False,137703,5,37,Fwd Pkts/s,2212.389381,0.02277625357682249,0.02277625357682249,supports_attack
LIGHTGBM_FN_04,lightgbm,LightGBM,FN,False,137703,6,7,Fwd Pkt Len Max,36.0,-0.02175074397258237,0.02175074397258237,supports_benign
LIGHTGBM_FN_04,lightgbm,LightGBM,FN,False,137703,7,13,Bwd Pkt Len Mean,52.0,0.021273162969396294,0.021273162969396294,supports_attack
LIGHTGBM_FN_04,lightgbm,LightGBM,FN,False,137703,8,55,Bwd Seg Size Avg,52.0,0.01621728750142601,0.01621728750142601,supports_attack
LIGHTGBM_FN_04,lightgbm,LightGBM,FN,False,137703,9,2,Flow Duration,452.0,-0.015320412454963038,0.015320412454963038,supports_benign
LIGHTGBM_FN_04,lightgbm,LightGBM,FN,False,137703,10,11,Bwd Pkt Len Max,52.0,-0.009727805146701636,0.009727805146701636,supports_benign
LIGHTGBM_FN_04,lightgbm,LightGBM,FN,False,137703,11,39,Pkt Len Min,36.0,0.009180265326818475,0.009180265326818475,supports_attack
LIGHTGBM_FN_04,lightgbm,LightGBM,FN,False,137703,12,0,Dst Port,53.0,0.009146033954818503,0.009146033954818503,supports_attack
LIGHTGBM_FN_04,lightgbm,LightGBM,FN,False,137703,13,8,Fwd Pkt Len Min,36.0,-0.008706885416150457,0.008706885416150457,supports_benign
LIGHTGBM_FN_04,lightgbm,LightGBM,FN,False,137703,14,69,Fwd Seg Size Min,8.0,0.007686535872686293,0.007686535872686293,supports_attack
LIGHTGBM_FN_04,lightgbm,LightGBM,FN,False,137703,15,48,ACK Flag Cnt,0.0,-0.007106579802378168,0.007106579802378168,supports_benign
LIGHTGBM_FN_05,lightgbm,LightGBM,FN,False,137704,1,66,Init Fwd Win Byts,8192.0,-0.14127791973591444,0.14127791973591444,supports_benign
LIGHTGBM_FN_05,lightgbm,LightGBM,FN,False,137704,2,51,ECE Flag Cnt,0.0,0.040623392682752064,0.040623392682752064,supports_attack
LIGHTGBM_FN_05,lightgbm,LightGBM,FN,False,137704,3,46,RST Flag Cnt,0.0,0.0278943332370875,0.0278943332370875,supports_attack
LIGHTGBM_FN_05,lightgbm,LightGBM,FN,False,137704,4,19,Flow IAT Max,174127.0,-0.02736518342746568,0.02736518342746568,supports_benign
LIGHTGBM_FN_05,lightgbm,LightGBM,FN,False,137704,5,7,Fwd Pkt Len Max,140.0,-0.027001689475787464,0.027001689475787464,supports_benign
LIGHTGBM_FN_05,lightgbm,LightGBM,FN,False,137704,6,69,Fwd Seg Size Min,20.0,0.02395827718618012,0.02395827718618012,supports_attack
LIGHTGBM_FN_05,lightgbm,LightGBM,FN,False,137704,7,13,Bwd Pkt Len Mean,43.0,0.021559103048919885,0.021559103048919885,supports_attack
LIGHTGBM_FN_05,lightgbm,LightGBM,FN,False,137704,8,37,Fwd Pkts/s,9.581829785,0.019303596406769537,0.019303596406769537,supports_attack
LIGHTGBM_FN_05,lightgbm,LightGBM,FN,False,137704,9,25,Fwd IAT Min,76.0,-0.01562570503386162,0.01562570503386162,supports_benign
LIGHTGBM_FN_05,lightgbm,LightGBM,FN,False,137704,10,55,Bwd Seg Size Avg,43.0,0.013390172686900995,0.013390172686900995,supports_attack
LIGHTGBM_FN_05,lightgbm,LightGBM,FN,False,137704,11,53,Pkt Size Avg,60.55555556,0.012889549045214452,0.012889549045214452,supports_attack
LIGHTGBM_FN_05,lightgbm,LightGBM,FN,False,137704,12,48,ACK Flag Cnt,0.0,-0.010855069834940835,0.010855069834940835,supports_benign
LIGHTGBM_FN_05,lightgbm,LightGBM,FN,False,137704,13,38,Bwd Pkts/s,7.665463828,-0.009517288530343535,0.009517288530343535,supports_benign
LIGHTGBM_FN_05,lightgbm,LightGBM,FN,False,137704,14,42,Pkt Len Std,64.19804428,0.00842168416278858,0.00842168416278858,supports_attack
LIGHTGBM_FN_05,lightgbm,LightGBM,FN,False,137704,15,40,Pkt Len Max,140.0,-0.006622076234625842,0.006622076234625842,supports_benign
LIGHTGBM_FN_06,lightgbm,LightGBM,FN,False,137705,1,66,Init Fwd Win Byts,-1.0,-0.09564017297165088,0.09564017297165088,supports_benign
LIGHTGBM_FN_06,lightgbm,LightGBM,FN,False,137705,2,51,ECE Flag Cnt,0.0,0.04643013313214106,0.04643013313214106,supports_attack
LIGHTGBM_FN_06,lightgbm,LightGBM,FN,False,137705,3,46,RST Flag Cnt,0.0,0.04091763203355983,0.04091763203355983,supports_attack
LIGHTGBM_FN_06,lightgbm,LightGBM,FN,False,137705,4,19,Flow IAT Max,1083.0,-0.031437589069178644,0.031437589069178644,supports_benign
LIGHTGBM_FN_06,lightgbm,LightGBM,FN,False,137705,5,7,Fwd Pkt Len Max,37.0,-0.02585070124843305,0.02585070124843305,supports_benign
LIGHTGBM_FN_06,lightgbm,LightGBM,FN,False,137705,6,37,Fwd Pkts/s,923.3610342,0.019848829764897196,0.019848829764897196,supports_attack
LIGHTGBM_FN_06,lightgbm,LightGBM,FN,False,137705,7,0,Dst Port,53.0,0.018457864033883716,0.018457864033883716,supports_attack
LIGHTGBM_FN_06,lightgbm,LightGBM,FN,False,137705,8,2,Flow Duration,1083.0,-0.01340282728836232,0.01340282728836232,supports_benign
LIGHTGBM_FN_06,lightgbm,LightGBM,FN,False,137705,9,48,ACK Flag Cnt,0.0,-0.011365429355730943,0.011365429355730943,supports_benign
LIGHTGBM_FN_06,lightgbm,LightGBM,FN,False,137705,10,8,Fwd Pkt Len Min,37.0,-0.010487603215305508,0.010487603215305508,supports_benign
LIGHTGBM_FN_06,lightgbm,LightGBM,FN,False,137705,11,42,Pkt Len Std,48.49742261,0.010225397802041621,0.010225397802041621,supports_attack
LIGHTGBM_FN_06,lightgbm,LightGBM,FN,False,137705,12,39,Pkt Len Min,37.0,0.009065164874809632,0.009065164874809632,supports_attack
LIGHTGBM_FN_06,lightgbm,LightGBM,FN,False,137705,13,69,Fwd Seg Size Min,8.0,0.005136545522220956,0.005136545522220956,supports_attack
LIGHTGBM_FN_06,lightgbm,LightGBM,FN,False,137705,14,12,Bwd Pkt Len Min,121.0,0.004430785248030177,0.004430785248030177,supports_attack
LIGHTGBM_FN_06,lightgbm,LightGBM,FN,False,137705,15,1,Protocol,17.0,0.0036761928286565457,0.0036761928286565457,supports_attack
LIGHTGBM_FN_07,lightgbm,LightGBM,FN,False,137706,1,66,Init Fwd Win Byts,-1.0,-0.10039496190415825,0.10039496190415825,supports_benign
LIGHTGBM_FN_07,lightgbm,LightGBM,FN,False,137706,2,51,ECE Flag Cnt,0.0,0.04464590478746999,0.04464590478746999,supports_attack
