config_order,config_id,config_description,discretize_continuous,discretizer,sample_around_instance,num_samples,kernel_width,explanations,decision_agreement_rate,mean_local_r2,median_local_r2,minimum_local_r2,q25_local_r2,mean_fidelity_gap,median_fidelity_gap,p90_fidelity_gap,maximum_fidelity_gap,mean_elapsed_seconds,rank_decision_agreement,rank_median_r2,rank_median_gap,rank_p90_gap,rank_sum,global_selection_rank
6,continuous_wide_10k,Continuous features with a wider local kernel,False,,True,10000,8.831760866327848,24,0.875,0.26927379419581593,0.2801647400783644,0.0917218085654311,0.17419179492172948,0.16781177065788552,0.14172843058160417,0.35723273882236084,0.46717344269129213,0.18103705683337998,1.0,1.0,1.0,1.0,4.0,1
4,continuous_local_10k,Continuous features with instance-centred sampling,False,,True,10000,6.623820649745886,24,0.875,0.2689192726486198,0.27895980289930455,0.09171216699226226,0.17363707274768242,0.16789149897793887,0.14181677070332938,0.35744363480693786,0.4671735919403293,0.1843188227499013,1.0,2.0,2.0,2.0,7.0,2
5,continuous_narrow_10k,Continuous features with a narrower local kernel,False,,True,10000,4.415880433163924,24,0.875,0.2682372151256533,0.27564948404773626,0.09162880662268769,0.17560544912783974,0.1680288374491796,0.14200983964953065,0.35792113469970926,0.46703266011295874,0.18415764308326743,1.0,3.0,3.0,3.0,10.0,3
2,quartile_local_10k,Quartile discretization with instance-centred sampling,True,quartile,True,10000,6.623820649745886,24,0.625,0.21851628910855683,0.2126244481186903,0.15698037109352225,0.1750470116736822,0.18562876455560065,0.1614449602338363,0.3825571061507589,0.6059629048213129,0.33340666645830197,5.0,4.0,4.0,4.0,17.0,4
1,baseline_quartile_5k,Stage 13.5 baseline configuration,True,quartile,False,5000,6.623820649745886,24,0.7083333333333334,0.2198186442594252,0.20405008019827914,0.14846464830601525,0.18371083547866712,0.18942354733441824,0.16660253732748678,0.4478002157159071,0.5603302790080054,0.15334929487494264,4.0,5.0,5.0,6.0,20.0,5
3,decile_local_10k,Decile discretization with instance-centred sampling,True,decile,True,10000,6.623820649745886,24,0.5833333333333334,0.15549340692526958,0.14500590439061944,0.09354092312160689,0.13932139942793947,0.20549411698299544,0.20016609132303767,0.40457172888697596,0.4908643640959791,0.3465519755832626,6.0,6.0,6.0,5.0,23.0,6
