disagreement_case_id,model,model_display,original_row_index,y_true,attack_category,rank,feature_index,feature_name,raw_feature_value,shap_value_raw_score,absolute_shap_value,direction
DISAGREE_01,xgboost,XGBoost,110862,0,Benign,43,55,Bwd Seg Size Avg,790.1428571429,0.009829286485910416,0.009829286485910416,supports_attack
DISAGREE_01,xgboost,XGBoost,110862,0,Benign,44,5,TotLen Fwd Pkts,351.0,0.009552745148539543,0.009552745148539543,supports_attack
DISAGREE_01,xgboost,XGBoost,110862,0,Benign,45,52,Down/Up Ratio,0.0,0.00923938862979412,0.00923938862979412,supports_attack
DISAGREE_01,xgboost,XGBoost,110862,0,Benign,46,36,Bwd Header Len,152.0,0.008518949151039124,0.008518949151039124,supports_attack
DISAGREE_01,xgboost,XGBoost,110862,0,Benign,47,26,Bwd IAT Tot,41253.0,-0.008388178423047066,0.008388178423047066,supports_benign
DISAGREE_01,xgboost,XGBoost,110862,0,Benign,48,68,Fwd Act Data Pkts,3.0,0.00803572777658701,0.00803572777658701,supports_attack
DISAGREE_01,xgboost,XGBoost,110862,0,Benign,49,8,Fwd Pkt Len Min,0.0,0.008014721795916557,0.008014721795916557,supports_attack
DISAGREE_01,xgboost,XGBoost,110862,0,Benign,50,29,Bwd IAT Max,22337.0,-0.008006079122424126,0.008006079122424126,supports_benign
DISAGREE_01,xgboost,XGBoost,110862,0,Benign,51,43,Pkt Len Var,319835.625,0.0067398990504443645,0.0067398990504443645,supports_attack
DISAGREE_01,xgboost,XGBoost,110862,0,Benign,52,65,Subflow Bwd Byts,5531.0,0.006012385245412588,0.006012385245412588,supports_attack
DISAGREE_01,xgboost,XGBoost,110862,0,Benign,53,2,Flow Duration,5980600.0,-0.005664931144565344,0.005664931144565344,supports_benign
DISAGREE_01,xgboost,XGBoost,110862,0,Benign,54,30,Bwd IAT Min,1.0,-0.0047506289556622505,0.0047506289556622505,supports_benign
DISAGREE_01,xgboost,XGBoost,110862,0,Benign,55,28,Bwd IAT Std,10205.0134688789,0.0034327004104852676,0.0034327004104852676,supports_attack
DISAGREE_01,xgboost,XGBoost,110862,0,Benign,56,48,ACK Flag Cnt,0.0,0.003426057519391179,0.003426057519391179,supports_attack
DISAGREE_01,xgboost,XGBoost,110862,0,Benign,57,54,Fwd Seg Size Avg,39.0,0.00287811947055161,0.00287811947055161,supports_attack
DISAGREE_01,xgboost,XGBoost,110862,0,Benign,58,49,URG Flag Cnt,0.0,0.0022282127756625414,0.0022282127756625414,supports_attack
DISAGREE_01,xgboost,XGBoost,110862,0,Benign,59,45,SYN Flag Cnt,0.0,-0.0021965117193758488,0.0021965117193758488,supports_benign
DISAGREE_01,xgboost,XGBoost,110862,0,Benign,60,41,Pkt Len Mean,346.0,-0.0018391413614153862,0.0018391413614153862,supports_benign
DISAGREE_01,xgboost,XGBoost,110862,0,Benign,61,71,Active Std,0.0,0.0015832734061405063,0.0015832734061405063,supports_attack
DISAGREE_01,xgboost,XGBoost,110862,0,Benign,62,1,Protocol,6.0,0.001250899164006114,0.001250899164006114,supports_attack
DISAGREE_01,xgboost,XGBoost,110862,0,Benign,63,44,FIN Flag Cnt,0.0,-0.0009783810237422585,0.0009783810237422585,supports_benign
DISAGREE_01,xgboost,XGBoost,110862,0,Benign,64,75,Idle Std,0.0,0.0009552242117933929,0.0009552242117933929,supports_attack
