disagreement_case_id,replicate_index,explanation_seed,model,model_display,y_true,attack_category,rank,feature_index,feature_name,weight,absolute_weight,raw_feature_value
DISAGREE_01,3,139000,lightgbm,LightGBM,0,Benign,15,43,Pkt Len Var,0.0004836987444340206,0.0004836987444340206,319835.625
DISAGREE_01,4,140000,lightgbm,LightGBM,0,Benign,1,66,Init Fwd Win Byts,-0.167601820916563,0.167601820916563,8192.0
DISAGREE_01,4,140000,lightgbm,LightGBM,0,Benign,2,7,Fwd Pkt Len Max,-0.04527684044420893,0.04527684044420893,194.0
DISAGREE_01,4,140000,lightgbm,LightGBM,0,Benign,3,20,Flow IAT Min,0.022075523411334758,0.022075523411334758,1.0
DISAGREE_01,4,140000,lightgbm,LightGBM,0,Benign,4,40,Pkt Len Max,0.02057556529500531,0.02057556529500531,1460.0
DISAGREE_01,4,140000,lightgbm,LightGBM,0,Benign,5,37,Fwd Pkts/s,0.020431205499931025,0.020431205499931025,1.5048657325
DISAGREE_01,4,140000,lightgbm,LightGBM,0,Benign,6,25,Fwd IAT Min,-0.019343376240291435,0.019343376240291435,30.0
DISAGREE_01,4,140000,lightgbm,LightGBM,0,Benign,7,0,Dst Port,0.016584527484434564,0.016584527484434564,443.0
DISAGREE_01,4,140000,lightgbm,LightGBM,0,Benign,8,11,Bwd Pkt Len Max,0.007176133400444325,0.007176133400444325,1460.0
DISAGREE_01,4,140000,lightgbm,LightGBM,0,Benign,9,52,Down/Up Ratio,-0.006609378628093652,0.006609378628093652,0.0
DISAGREE_01,4,140000,lightgbm,LightGBM,0,Benign,10,42,Pkt Len Std,0.005061708707466852,0.005061708707466852,565.5401179404
DISAGREE_01,4,140000,lightgbm,LightGBM,0,Benign,11,55,Bwd Seg Size Avg,-0.0031461066792391242,0.0031461066792391242,790.1428571429
DISAGREE_01,4,140000,lightgbm,LightGBM,0,Benign,12,53,Pkt Size Avg,-0.0024109144282973053,0.0024109144282973053,367.625
DISAGREE_01,4,140000,lightgbm,LightGBM,0,Benign,13,14,Bwd Pkt Len Std,0.001158938694081926,0.001158938694081926,674.2636548046
DISAGREE_01,4,140000,lightgbm,LightGBM,0,Benign,14,13,Bwd Pkt Len Mean,-0.0009657796056084864,0.0009657796056084864,790.1428571429
DISAGREE_01,4,140000,lightgbm,LightGBM,0,Benign,15,51,ECE Flag Cnt,-4.654513543477845e-05,4.654513543477845e-05,1.0
DISAGREE_01,5,141000,lightgbm,LightGBM,0,Benign,1,66,Init Fwd Win Byts,-0.1634342249691968,0.1634342249691968,8192.0
DISAGREE_01,5,141000,lightgbm,LightGBM,0,Benign,2,7,Fwd Pkt Len Max,-0.051972030471337104,0.051972030471337104,194.0
DISAGREE_01,5,141000,lightgbm,LightGBM,0,Benign,3,20,Flow IAT Min,0.022432506513908317,0.022432506513908317,1.0
DISAGREE_01,5,141000,lightgbm,LightGBM,0,Benign,4,40,Pkt Len Max,0.020324785076621107,0.020324785076621107,1460.0
DISAGREE_01,5,141000,lightgbm,LightGBM,0,Benign,5,37,Fwd Pkts/s,0.018185647877206345,0.018185647877206345,1.5048657325
DISAGREE_01,5,141000,lightgbm,LightGBM,0,Benign,6,25,Fwd IAT Min,-0.01698026811660921,0.01698026811660921,30.0
DISAGREE_01,5,141000,lightgbm,LightGBM,0,Benign,7,0,Dst Port,0.015448384234800926,0.015448384234800926,443.0
DISAGREE_01,5,141000,lightgbm,LightGBM,0,Benign,8,2,Flow Duration,-0.014616083384182538,0.014616083384182538,5980600.0
DISAGREE_01,5,141000,lightgbm,LightGBM,0,Benign,9,42,Pkt Len Std,0.004988114174500431,0.004988114174500431,565.5401179404
DISAGREE_01,5,141000,lightgbm,LightGBM,0,Benign,10,11,Bwd Pkt Len Max,0.004600693401153195,0.004600693401153195,1460.0
DISAGREE_01,5,141000,lightgbm,LightGBM,0,Benign,11,41,Pkt Len Mean,-0.003679279368788126,0.003679279368788126,346.0
DISAGREE_01,5,141000,lightgbm,LightGBM,0,Benign,12,47,PSH Flag Cnt,-0.002707505744471433,0.002707505744471433,1.0
DISAGREE_01,5,141000,lightgbm,LightGBM,0,Benign,13,55,Bwd Seg Size Avg,-0.0025881444100223383,0.0025881444100223383,790.1428571429
DISAGREE_01,5,141000,lightgbm,LightGBM,0,Benign,14,46,RST Flag Cnt,0.002186602788657876,0.002186602788657876,1.0
DISAGREE_01,5,141000,lightgbm,LightGBM,0,Benign,15,13,Bwd Pkt Len Mean,-0.0011571564380889285,0.0011571564380889285,790.1428571429
DISAGREE_01,1,137000,xgboost,XGBoost,0,Benign,1,46,RST Flag Cnt,0.09714078925967189,0.09714078925967189,1.0
DISAGREE_01,1,137000,xgboost,XGBoost,0,Benign,2,66,Init Fwd Win Byts,-0.09391467212295782,0.09391467212295782,8192.0
DISAGREE_01,1,137000,xgboost,XGBoost,0,Benign,3,30,Bwd IAT Min,0.034419913424522254,0.034419913424522254,1.0
DISAGREE_01,1,137000,xgboost,XGBoost,0,Benign,4,51,ECE Flag Cnt,0.030220724030915542,0.030220724030915542,1.0
DISAGREE_01,1,137000,xgboost,XGBoost,0,Benign,5,11,Bwd Pkt Len Max,-0.024379282446177684,0.024379282446177684,1460.0
DISAGREE_01,1,137000,xgboost,XGBoost,0,Benign,6,0,Dst Port,0.021173999768248675,0.021173999768248675,443.0
DISAGREE_01,1,137000,xgboost,XGBoost,0,Benign,7,20,Flow IAT Min,0.02074123582423677,0.02074123582423677,1.0
DISAGREE_01,1,137000,xgboost,XGBoost,0,Benign,8,69,Fwd Seg Size Min,0.017668070905031495,0.017668070905031495,20.0
DISAGREE_01,1,137000,xgboost,XGBoost,0,Benign,9,23,Fwd IAT Std,0.0124786607760545,0.0124786607760545,2065771.45350296
DISAGREE_01,1,137000,xgboost,XGBoost,0,Benign,10,42,Pkt Len Std,0.0056126865193172355,0.0056126865193172355,565.5401179404
DISAGREE_01,1,137000,xgboost,XGBoost,0,Benign,11,47,PSH Flag Cnt,0.0045820542509394,0.0045820542509394,1.0
DISAGREE_01,1,137000,xgboost,XGBoost,0,Benign,12,13,Bwd Pkt Len Mean,0.0038667175416526862,0.0038667175416526862,790.1428571429
DISAGREE_01,1,137000,xgboost,XGBoost,0,Benign,13,14,Bwd Pkt Len Std,0.003004634357095256,0.003004634357095256,674.2636548046
DISAGREE_01,1,137000,xgboost,XGBoost,0,Benign,14,55,Bwd Seg Size Avg,-0.0021279390800862117,0.0021279390800862117,790.1428571429
DISAGREE_01,1,137000,xgboost,XGBoost,0,Benign,15,41,Pkt Len Mean,-0.001895148792159799,0.001895148792159799,346.0
DISAGREE_01,2,138000,xgboost,XGBoost,0,Benign,1,46,RST Flag Cnt,0.10346579237464262,0.10346579237464262,1.0
DISAGREE_01,2,138000,xgboost,XGBoost,0,Benign,2,66,Init Fwd Win Byts,-0.09494898364083709,0.09494898364083709,8192.0
DISAGREE_01,2,138000,xgboost,XGBoost,0,Benign,3,30,Bwd IAT Min,0.03913659839822718,0.03913659839822718,1.0
DISAGREE_01,2,138000,xgboost,XGBoost,0,Benign,4,51,ECE Flag Cnt,0.032397872795699195,0.032397872795699195,1.0
DISAGREE_01,2,138000,xgboost,XGBoost,0,Benign,5,11,Bwd Pkt Len Max,-0.026742375111856596,0.026742375111856596,1460.0
DISAGREE_01,2,138000,xgboost,XGBoost,0,Benign,6,7,Fwd Pkt Len Max,-0.021808051267949772,0.021808051267949772,194.0
DISAGREE_01,2,138000,xgboost,XGBoost,0,Benign,7,0,Dst Port,0.021413262268127134,0.021413262268127134,443.0
DISAGREE_01,2,138000,xgboost,XGBoost,0,Benign,8,20,Flow IAT Min,0.020782812377167243,0.020782812377167243,1.0
DISAGREE_01,2,138000,xgboost,XGBoost,0,Benign,9,23,Fwd IAT Std,0.014937276566783763,0.014937276566783763,2065771.45350296
DISAGREE_01,2,138000,xgboost,XGBoost,0,Benign,10,42,Pkt Len Std,0.007471143662654379,0.007471143662654379,565.5401179404
DISAGREE_01,2,138000,xgboost,XGBoost,0,Benign,11,14,Bwd Pkt Len Std,0.005177991139055679,0.005177991139055679,674.2636548046
DISAGREE_01,2,138000,xgboost,XGBoost,0,Benign,12,43,Pkt Len Var,0.0035094441035253324,0.0035094441035253324,319835.625
DISAGREE_01,2,138000,xgboost,XGBoost,0,Benign,13,40,Pkt Len Max,-0.002618081471823232,0.002618081471823232,1460.0
DISAGREE_01,2,138000,xgboost,XGBoost,0,Benign,14,13,Bwd Pkt Len Mean,0.0022631273953080846,0.0022631273953080846,790.1428571429
DISAGREE_01,2,138000,xgboost,XGBoost,0,Benign,15,41,Pkt Len Mean,-0.0012838614366248188,0.0012838614366248188,346.0
