model,model_display,cases,mean_top5_overlap,mean_top5_jaccard,mean_top10_overlap,mean_top10_jaccard,mean_top15_overlap,mean_top15_jaccard,mean_absolute_attribution_cosine,mean_signed_attribution_cosine,mean_absolute_attribution_spearman,mean_signed_attribution_spearman,mean_sign_agreement_lime_selected,mean_sign_agreement_shared_top10,minimum_top10_jaccard,maximum_top10_jaccard
lightgbm,LightGBM,12,1.9166666666666667,0.24503968253968253,5.25,0.36034798534798534,7.583333333333333,0.34360295501599847,0.6026531003036569,0.011633581482759366,0.5007156405611691,-0.17188086589514254,0.374315959076694,0.3343253968253968,0.25,0.5384615384615384
xgboost,XGBoost,12,2.1666666666666665,0.30026455026455023,4.583333333333333,0.3040382819794584,7.666666666666667,0.3443440617353661,0.6225246895026096,0.21412451107899724,0.44008051941628773,-0.043585771037272104,0.47025233943055994,0.5208333333333334,0.17647058823529413,0.42857142857142855
