selected_for_model,model_display,selected_outcome,cases,decision_agreement_rate,mean_local_r2,median_local_r2,minimum_local_r2,mean_fidelity_gap,median_fidelity_gap,maximum_fidelity_gap,mean_top5_jaccard,mean_top10_jaccard,mean_top15_jaccard,mean_absolute_attribution_cosine,mean_signed_attribution_cosine,mean_sign_agreement_lime_selected,qualified_explanations,local_decision_mismatches
lightgbm,LightGBM,FN,8,0.0,0.2941205726671162,0.28436940132038646,0.218081165432241,0.26404689657500546,0.25943471326657275,0.38500016720961355,0.23759920634920634,0.30853174603174605,0.35487483530961794,0.6964215810174116,0.3635069303890753,0.3583333333333333,0,8
lightgbm,LightGBM,FP,8,1.0,0.36492449269992494,0.3838732864134653,0.26024686191090685,0.16779621563817534,0.11829501514490354,0.671976493068135,0.23363095238095238,0.32498159520218345,0.4159902597402597,0.5383270896436281,0.02981295310913508,0.43333333333333335,1,0
lightgbm,LightGBM,TN,8,0.25,0.30134090017695536,0.29414258745425986,0.13451686439984556,0.28437976319847036,0.283481598680144,0.3866396552800003,0.2286706349206349,0.2733942936148818,0.3470469747643661,0.571964070756343,0.35149044788094264,0.3833333333333333,0,6
lightgbm,LightGBM,TP,8,0.875,0.39631784509244516,0.3890165842941873,0.29074286974157093,0.4915987164375559,0.5525432731888305,0.7895629853962455,0.32192460317460314,0.31547619047619047,0.3215662055335968,0.8123888257899401,-0.22085863895348087,0.3,1,1
xgboost,XGBoost,FN,8,1.0,0.1916141453101935,0.18286131382287224,0.14532714809616898,0.1653565369680373,0.18384787822416826,0.3070713896544554,0.1840277777777778,0.27701914098972924,0.3672713156408809,0.5277325792480206,0.16236854242070414,0.5083333333333333,0,0
xgboost,XGBoost,FP,8,0.0,0.24538551093440325,0.2556410279944233,0.1627344608242829,0.29499760831489796,0.2367530945596062,0.6869721593462783,0.2698412698412698,0.2824754901960784,0.34404997176736307,0.5587555036766554,0.24400176247228939,0.4583333333333333,0,8
xgboost,XGBoost,TN,8,1.0,0.19195265930910285,0.18574553169255337,0.12196848919849967,0.1955518558147593,0.17765426746129626,0.32350563620214684,0.18898809523809523,0.27114756158873804,0.3183194522868436,0.4690421752316819,0.23289751091255312,0.39166666666666666,0,0
xgboost,XGBoost,TP,8,0.0,0.2604648135494567,0.2591986347954344,0.15768070577971127,0.5294497377285181,0.5742903705056095,0.7700339389234433,0.36160714285714285,0.2512254901960784,0.33647656691134953,0.7385771278678636,-0.030066393168507594,0.3833333333333333,0,8
