case_id,selected_for_model,model_display,selected_outcome,models_disagree,rank,feature_index,feature_name,raw_feature_value,shap_value_raw_score,absolute_shap_value,direction
LIGHTGBM_FN_01,lightgbm,LightGBM,FN,False,42,40,Pkt Len Max,706.0,-0.03197753433579976,0.03197753433579976,supports_benign
LIGHTGBM_FN_01,lightgbm,LightGBM,FN,False,43,42,Pkt Len Std,146.3425059,-0.02911934882089348,0.02911934882089348,supports_benign
LIGHTGBM_FN_01,lightgbm,LightGBM,FN,False,44,3,Tot Fwd Pkts,16.0,0.026801749442447273,0.026801749442447273,supports_attack
LIGHTGBM_FN_01,lightgbm,LightGBM,FN,False,45,54,Fwd Seg Size Avg,27.6875,-0.023678471565617754,0.023678471565617754,supports_benign
LIGHTGBM_FN_01,lightgbm,LightGBM,FN,False,46,5,TotLen Fwd Pkts,443.0,-0.02242723303046723,0.02242723303046723,supports_benign
LIGHTGBM_FN_01,lightgbm,LightGBM,FN,False,47,16,Flow Pkts/s,0.259615267,-0.020455363443574556,0.020455363443574556,supports_benign
LIGHTGBM_FN_01,lightgbm,LightGBM,FN,False,48,28,Bwd IAT Std,3758959.956,-0.019850044200730003,0.019850044200730003,supports_benign
LIGHTGBM_FN_01,lightgbm,LightGBM,FN,False,49,63,Subflow Fwd Byts,443.0,-0.018898209000929117,0.018898209000929117,supports_benign
LIGHTGBM_FN_01,lightgbm,LightGBM,FN,False,50,30,Bwd IAT Min,97000.0,-0.015275249701398515,0.015275249701398515,supports_benign
LIGHTGBM_FN_01,lightgbm,LightGBM,FN,False,51,48,ACK Flag Cnt,0.0,0.011595699255977181,0.011595699255977181,supports_attack
LIGHTGBM_FN_01,lightgbm,LightGBM,FN,False,52,38,Bwd Pkts/s,0.121153791,-0.010881438517050727,0.010881438517050727,supports_benign
LIGHTGBM_FN_01,lightgbm,LightGBM,FN,False,53,14,Bwd Pkt Len Std,188.6864368,-0.010394259653249195,0.010394259653249195,supports_benign
LIGHTGBM_FN_01,lightgbm,LightGBM,FN,False,54,41,Pkt Len Mean,37.06451613,-0.010367608790594422,0.010367608790594422,supports_benign
LIGHTGBM_FN_01,lightgbm,LightGBM,FN,False,55,12,Bwd Pkt Len Min,0.0,-0.007361886014785217,0.007361886014785217,supports_benign
LIGHTGBM_FN_01,lightgbm,LightGBM,FN,False,56,72,Active Max,339057.0,0.006881212394092777,0.006881212394092777,supports_attack
LIGHTGBM_FN_01,lightgbm,LightGBM,FN,False,57,62,Subflow Fwd Pkts,16.0,0.006793499425591303,0.006793499425591303,supports_attack
LIGHTGBM_FN_01,lightgbm,LightGBM,FN,False,58,76,Idle Max,10000000.0,-0.0067852051109384475,0.0067852051109384475,supports_benign
LIGHTGBM_FN_01,lightgbm,LightGBM,FN,False,59,52,Down/Up Ratio,0.0,0.006418027690551782,0.006418027690551782,supports_attack
LIGHTGBM_FN_01,lightgbm,LightGBM,FN,False,60,8,Fwd Pkt Len Min,0.0,0.003865005654160778,0.003865005654160778,supports_attack
LIGHTGBM_FN_01,lightgbm,LightGBM,FN,False,61,71,Active Std,73759.06736,0.003635916384390336,0.003635916384390336,supports_attack
LIGHTGBM_FN_01,lightgbm,LightGBM,FN,False,62,47,PSH Flag Cnt,1.0,-0.00361251291671216,0.00361251291671216,supports_benign
LIGHTGBM_FN_01,lightgbm,LightGBM,FN,False,63,39,Pkt Len Min,0.0,-0.002952989042868549,0.002952989042868549,supports_benign
LIGHTGBM_FN_01,lightgbm,LightGBM,FN,False,64,49,URG Flag Cnt,0.0,0.002619207998383324,0.002619207998383324,supports_attack
LIGHTGBM_FN_01,lightgbm,LightGBM,FN,False,65,31,Fwd PSH Flags,0.0,-0.0021885101189105358,0.0021885101189105358,supports_benign
