model,model_display,cases,mean_decision_agreement_rate,mean_local_r2,median_case_local_r2,worst_case_minimum_local_r2,mean_fidelity_gap,median_case_fidelity_gap,worst_case_maximum_fidelity_gap,mean_top5_jaccard,mean_top10_jaccard,mean_top15_jaccard,mean_weight_cosine,mean_shared_sign_agreement,mean_absolute_weight_spearman,mean_high_stability_pair_rate,mean_moderate_or_high_pair_rate,high_stability_cases,moderate_stability_cases,low_stability_cases
lightgbm,LightGBM,12,0.9166666666666666,0.3381328872737954,0.35036537990182703,0.13587344133551915,0.17968543951180935,0.153481639815286,0.46978057001622137,0.8507936507936508,0.7447607947607948,0.7000242640916016,0.9895803725714418,0.9698142135642135,0.812713706623903,0.525,0.9500000000000001,6,6,0
xgboost,XGBoost,12,0.8333333333333334,0.20283623452184985,0.21236996895907267,0.05415461416949252,0.15472462502877543,0.14130510803528787,0.41672917262683595,0.7862103174603173,0.7528554778554778,0.747326496388029,0.9617470251566949,0.9794061494061493,0.8468399483273196,0.5916666666666667,1.0,8,4,0
