publication_scope,condition_id,target_id,comparison_group,hardware_mode,physical_gpu_index,batch_size,status,n,p50_latency_ms,p50_ci95_low_ms,p50_ci95_high_ms,p95_latency_ms,p95_ci95_low_ms,p95_ci95_high_ms,p99_latency_ms_if_n_gte_100,p99_ci95_low_ms_if_n_gte_100,p99_ci95_high_ms_if_n_gte_100,median_throughput_flows_per_second,throughput_ci95_low_flows_per_second,throughput_ci95_high_flows_per_second,gpu_memory_baseline_mib,gpu_memory_loaded_mib,gpu_memory_prepared_input_mib,gpu_memory_peak_process_mib,delta_model_gpu_memory_mib,delta_peak_gpu_memory_mib,torch_peak_allocated_mib,timing_boundary,output_boundary_detail,error_or_backend_detail,complete_e2e_available,ratio_uncertainty_available,publication_claim_boundary
GPU_SINGLE_T4_COMPONENT_LEVEL_WARM_INFERENCE,GPUCOND_011,STAGE16_CATBOOST_TUNED,GROUP_A_DUPSAFE70,GPU_SINGLE_T4,1,1,PASS,200,1.3701154999999998,1.362197,1.3798745375,1.47844135,1.4576986749999998,1.513468,1.7453114899999993,1.4893241599999976,2.161419,729.8654875122697,724.6106531930562,734.1823247742968,102.0,102.0,102.0,106.0,0.0,4.0,,PREPARED_MODEL_INPUT_TO_HOST_NUMPY_ATTACK_PROBABILITY,HOST_NUMPY_INPUT_NATIVE_CATBOOST_GPU_TO_HOST_NUMPY_PROBABILITY,,False,False,COMPONENT_LEVEL_ONLY
GPU_SINGLE_T4_COMPONENT_LEVEL_WARM_INFERENCE,GPUCOND_012,STAGE16_CATBOOST_TUNED,GROUP_A_DUPSAFE70,GPU_SINGLE_T4,1,64,PASS,150,1.4259855,1.40836,1.4430635,1.57102005,1.539549,1.605279,1.6731671199999998,1.5840401215000002,1.82916,44881.27585417264,44352.668472021,45441.32218617475,102.0,102.0,102.0,106.0,0.0,4.0,,PREPARED_MODEL_INPUT_TO_HOST_NUMPY_ATTACK_PROBABILITY,HOST_NUMPY_INPUT_NATIVE_CATBOOST_GPU_TO_HOST_NUMPY_PROBABILITY,,False,False,COMPONENT_LEVEL_ONLY
GPU_SINGLE_T4_COMPONENT_LEVEL_WARM_INFERENCE,GPUCOND_013,STAGE16_CATBOOST_TUNED,GROUP_A_DUPSAFE70,GPU_SINGLE_T4,1,256,PASS,100,1.665963,1.6561969625,1.68544,1.75858135,1.7417542499999998,1.8127958,1.8153576100000004,1.7590727100000003,1.892539,153664.87876422866,151804.09681306273,154635.8747980975,102.0,102.0,102.0,106.0,0.0,4.0,,PREPARED_MODEL_INPUT_TO_HOST_NUMPY_ATTACK_PROBABILITY,HOST_NUMPY_INPUT_NATIVE_CATBOOST_GPU_TO_HOST_NUMPY_PROBABILITY,,False,False,COMPONENT_LEVEL_ONLY
GPU_SINGLE_T4_COMPONENT_LEVEL_WARM_INFERENCE,GPUCOND_014,STAGE16_CATBOOST_TUNED,GROUP_A_DUPSAFE70,GPU_SINGLE_T4,1,1024,PASS,50,2.8869205,2.834505,2.9218365000000004,3.1461138,3.030173,3.26606905,,,,354706.1131180686,350144.7285042773,361262.3720896594,102.0,102.0,102.0,106.0,0.0,4.0,,PREPARED_MODEL_INPUT_TO_HOST_NUMPY_ATTACK_PROBABILITY,HOST_NUMPY_INPUT_NATIVE_CATBOOST_GPU_TO_HOST_NUMPY_PROBABILITY,,False,False,COMPONENT_LEVEL_ONLY
GPU_SINGLE_T4_COMPONENT_LEVEL_WARM_INFERENCE,GPUCOND_015,STAGE16_CATBOOST_TUNED,GROUP_A_DUPSAFE70,GPU_SINGLE_T4,1,8192,PASS,20,10.7871085,10.6817125,10.9151115,11.2015076,10.994647,11.297241,,,,759427.1592770051,750544.6208712922,768085.9374178878,102.0,102.0,102.0,114.0,0.0,12.0,,PREPARED_MODEL_INPUT_TO_HOST_NUMPY_ATTACK_PROBABILITY,HOST_NUMPY_INPUT_NATIVE_CATBOOST_GPU_TO_HOST_NUMPY_PROBABILITY,,False,False,COMPONENT_LEVEL_ONLY
GPU_SINGLE_T4_COMPONENT_LEVEL_WARM_INFERENCE,GPUCOND_016,FT_BALANCED_5_CHECKPOINT_SOFT_VOTING,GROUP_A_DUPSAFE70,GPU_SINGLE_T4,1,1,PASS,200,5.4075865,5.365017,5.43649,5.821576149999999,5.721742249999999,5.881422,5.960693259999999,5.847353,7.154529,184.92539499660964,184.1143556356576,186.4367959863127,102.0,106.0,106.0,154.0,4.0,52.0,12.35205078125,PREPARED_MODEL_INPUT_TO_HOST_NUMPY_ATTACK_PROBABILITY,CUDA_TENSOR_TO_PER_MEMBER_HOST_NUMPY_PROBABILITIES_THEN_HOST_MEAN,,False,False,COMPONENT_LEVEL_ONLY
GPU_SINGLE_T4_COMPONENT_LEVEL_WARM_INFERENCE,GPUCOND_017,FT_BALANCED_5_CHECKPOINT_SOFT_VOTING,GROUP_A_DUPSAFE70,GPU_SINGLE_T4,1,64,PASS,150,11.5005495,11.4816215,11.5212855,11.6631967,11.62672,11.69828786875,11.76389736,11.67301964,11.851594,5564.95149386094,5554.888512506503,5573.99425112168,102.0,106.0,106.0,174.0,4.0,72.0,23.03955078125,PREPARED_MODEL_INPUT_TO_HOST_NUMPY_ATTACK_PROBABILITY,CUDA_TENSOR_TO_PER_MEMBER_HOST_NUMPY_PROBABILITIES_THEN_HOST_MEAN,,False,False,COMPONENT_LEVEL_ONLY
GPU_SINGLE_T4_COMPONENT_LEVEL_WARM_INFERENCE,GPUCOND_018,FT_BALANCED_5_CHECKPOINT_SOFT_VOTING,GROUP_A_DUPSAFE70,GPU_SINGLE_T4,1,256,PASS,100,46.900354,46.7517857875,46.981189,47.48278985,47.34990659625,47.60455705,47.63132508,47.48232668,47.679843,5458.381436867119,5449.194098250332,5475.877252066038,102.0,106.0,106.0,206.0,4.0,104.0,53.76318359375,PREPARED_MODEL_INPUT_TO_HOST_NUMPY_ATTACK_PROBABILITY,CUDA_TENSOR_TO_PER_MEMBER_HOST_NUMPY_PROBABILITIES_THEN_HOST_MEAN,,False,False,COMPONENT_LEVEL_ONLY
GPU_SINGLE_T4_COMPONENT_LEVEL_WARM_INFERENCE,GPUCOND_019,FT_BALANCED_5_CHECKPOINT_SOFT_VOTING,GROUP_A_DUPSAFE70,GPU_SINGLE_T4,1,1024,PASS,50,167.374229,166.9988555,167.560151,168.80509415,168.30291119625,169.14027445,,,,6118.026830751895,6110.861495058274,6131.779815182959,102.0,106.0,106.0,424.0,4.0,322.0,174.22119140625,PREPARED_MODEL_INPUT_TO_HOST_NUMPY_ATTACK_PROBABILITY,CUDA_TENSOR_TO_PER_MEMBER_HOST_NUMPY_PROBABILITIES_THEN_HOST_MEAN,,False,False,COMPONENT_LEVEL_ONLY
GPU_SINGLE_T4_COMPONENT_LEVEL_WARM_INFERENCE,GPUCOND_020,FT_BALANCED_5_CHECKPOINT_SOFT_VOTING,GROUP_A_DUPSAFE70,GPU_SINGLE_T4,1,8192,PASS,20,1520.5919199999998,1501.699348,1521.233742,1525.31317165,1521.5344487,1525.878225,,,,5387.375730963643,5385.102766141411,5455.153993148395,102.0,106.0,126.0,2564.0,4.0,2462.0,1292.41259765625,PREPARED_MODEL_INPUT_TO_HOST_NUMPY_ATTACK_PROBABILITY,CUDA_TENSOR_TO_PER_MEMBER_HOST_NUMPY_PROBABILITIES_THEN_HOST_MEAN,,False,False,COMPONENT_LEVEL_ONLY
