seed,epoch,train_weighted_loss,validation_weighted_loss,validation_pr_auc,validation_roc_auc,validation_brier,validation_logloss,validation_mean_gate_fine,validation_mean_gate_medium,validation_mean_gate_coarse,best_so_far,patience_counter
29,1,0.15681512931191444,10.670119363512311,0.28590782680979243,0.7184489291072049,0.17032383170170634,1.0245232315830137,0.10122057795524597,0.06226066127419472,0.8366473317146301,True,0
29,2,0.08447573646888049,12.73199148283402,0.1912704033466983,0.5720378484919842,0.16946700474818607,1.1914000189107181,0.07770751416683197,0.02024412527680397,0.902137279510498,False,1
29,3,0.07107012401767036,15.811076259005638,0.168581559621388,0.5387481421768534,0.17034997009952133,1.4725087662763867,0.019498785957694054,0.014258936047554016,0.9664261341094971,False,2
29,4,0.06367122420829954,14.368026553608122,0.22794569240913604,0.6245548971640211,0.16917158529612222,1.3409728432365329,0.0317113921046257,0.02558263950049877,0.942556619644165,False,3
29,5,0.057473304875467396,14.29860051519956,0.25094797668906,0.6397473952882227,0.16865860978939456,1.3364515017696612,0.05337391793727875,0.04210878908634186,0.9044539332389832,False,4
