split,family,subset,reporting,jaccard_at_10_vs_full,jaccard_at_20_vs_full,spearman_common_retained,new_top10_entrants,new_top20_entrants,features_leaving_top10,features_leaving_top20,number_positive_share_gainers
RANDOM_NATURAL,PRIMARY,NO_SUSPICIOUS_GROUP,XGBoost,0.25,0.42857142857142855,0.8820336818580893,Bwd Pkt Len Std|Pkt Len Max|Init Bwd Win Byts|Fwd IAT Max|ACK Flag Cnt|Idle Min,Init Bwd Win Byts|ACK Flag Cnt|Idle Min|Fwd Pkt Len Mean|Flow Duration|Bwd Pkt Len Max|Bwd Pkts/s|Tot Bwd Pkts,Init Fwd Win Byts|Dst Port|Fwd Seg Size Min|ECE Flag Cnt|Flow IAT Max|Fwd Pkts/s,Init Fwd Win Byts|Dst Port|Fwd Seg Size Min|ECE Flag Cnt|Fwd Pkts/s|Fwd IAT Std|Flow IAT Std|Flow IAT Mean,40
RANDOM_NATURAL,PRIMARY,NO_SUSPICIOUS_GROUP,DESCRIPTIVE_CONSENSUS_0.5_0.5,0.42857142857142855,0.48148148148148145,0.917431558783622,Bwd Pkt Len Std|Init Bwd Win Byts|Pkt Len Max|Flow Duration,Flow Duration|Fwd IAT Max|ACK Flag Cnt|TotLen Bwd Pkts|Fwd Pkt Len Std|Idle Min|Idle Max,Dst Port|Init Fwd Win Byts|Fwd Seg Size Min|Pkt Len Std,Dst Port|Init Fwd Win Byts|Fwd Seg Size Min|ECE Flag Cnt|Fwd IAT Std|Fwd Pkts/s|RST Flag Cnt,48
RANDOM_NATURAL,PRIMARY,BEHAVIOR_ONLY,LightGBM,0.3333333333333333,0.48148148148148145,0.9013536866359447,Bwd Pkt Len Std|Flow Duration|Fwd Pkt Len Max|Pkt Len Max|TotLen Bwd Pkts,Flow Duration|Pkt Len Max|TotLen Bwd Pkts|ACK Flag Cnt|Bwd IAT Min|Fwd Act Data Pkts|Flow IAT Mean,Dst Port|Init Fwd Win Byts|Fwd Seg Size Min|Pkt Len Var|ECE Flag Cnt,Dst Port|Init Fwd Win Byts|Fwd Seg Size Min|ECE Flag Cnt|Init Bwd Win Byts|Fwd Header Len|Pkt Len Mean,48
RANDOM_NATURAL,PRIMARY,BEHAVIOR_ONLY,XGBoost,0.17647058823529413,0.3793103448275862,0.8637192780337942,Bwd Pkt Len Std|ACK Flag Cnt|Pkt Len Max|Fwd Pkt Len Std|Fwd Pkt Len Mean|Fwd IAT Max|Flow IAT Mean,ACK Flag Cnt|Fwd Pkt Len Std|Fwd Pkt Len Mean|Idle Min|Bwd Pkt Len Max|Fwd Act Data Pkts|Bwd IAT Min|Flow Duration|Bwd Pkts/s,Init Fwd Win Byts|Dst Port|Fwd Header Len|Fwd Seg Size Min|ECE Flag Cnt|Flow IAT Max|Fwd Pkts/s,Init Fwd Win Byts|Dst Port|Fwd Header Len|Fwd Seg Size Min|ECE Flag Cnt|Fwd Pkts/s|RST Flag Cnt|Fwd IAT Std|Flow IAT Std,44
RANDOM_NATURAL,PRIMARY,BEHAVIOR_ONLY,DESCRIPTIVE_CONSENSUS_0.5_0.5,0.42857142857142855,0.3333333333333333,0.8954493087557605,Bwd Pkt Len Std|Pkt Len Max|ACK Flag Cnt|Fwd Pkt Len Std,ACK Flag Cnt|Fwd Pkt Len Std|Flow Duration|Fwd IAT Max|Flow IAT Mean|Fwd Act Data Pkts|Bwd IAT Min|TotLen Bwd Pkts|Bwd Pkt Len Max|Bwd Pkts/s,Dst Port|Init Fwd Win Byts|Fwd Seg Size Min|Fwd Header Len,Dst Port|Init Fwd Win Byts|Fwd Seg Size Min|Fwd Header Len|ECE Flag Cnt|Pkt Len Var|Flow IAT Max|Fwd Pkts/s|Init Bwd Win Byts|RST Flag Cnt,47
RANDOM_NATURAL,PLACEBO,PLACEBO_COUNTS,LightGBM,1.0,0.9047619047619048,0.9822811078298348,,Idle Max,,Pkt Len Mean,40
RANDOM_NATURAL,PLACEBO,PLACEBO_COUNTS,XGBoost,0.8181818181818182,1.0,0.973102402426371,TotLen Fwd Pkts,,Fwd Pkts/s,,33
RANDOM_NATURAL,PLACEBO,PLACEBO_COUNTS,DESCRIPTIVE_CONSENSUS_0.5_0.5,1.0,0.8181818181818182,0.9823210152446324,,Fwd IAT Max|Idle Max,,Init Bwd Win Byts|RST Flag Cnt,37
RANDOM_NATURAL,PLACEBO,PLACEBO_VOLUME_DIRECTION,LightGBM,0.8181818181818182,0.7391304347826086,0.8833107191316149,Subflow Fwd Byts,Subflow Fwd Byts|Idle Max|Fwd Pkts/s,TotLen Fwd Pkts,TotLen Fwd Pkts|Pkt Len Mean|Bwd Pkt Len Mean,35
RANDOM_NATURAL,PLACEBO,PLACEBO_VOLUME_DIRECTION,XGBoost,1.0,0.8181818181818182,0.9130816505706761,,Subflow Fwd Byts|Bwd Pkt Len Max,,TotLen Fwd Pkts|Flow IAT Mean,30
