Attack Category,Support,Operating Point Key,Operating Point,Model,Threshold,Detected,Missed,Detection Rate,Detection Rate CI Lower,Detection Rate CI Upper,Miss Rate,Mean Attack Probability,Median Attack Probability,Probability Q10,Probability Q90
DoS attacks-Hulk,347,xgboost_balanced,XGBoost Balanced,XGBoost Tuned,0.51,347,0,1.0,0.9890507272612344,0.9999999999999999,0.0,0.9973242357925071,0.9993068,0.99393546,0.99967544
DoS attacks-Hulk,347,xgboost_security,XGBoost Security,XGBoost Tuned,0.27,347,0,1.0,0.9890507272612344,0.9999999999999999,0.0,0.9973242357925071,0.9993068,0.99393546,0.99967544
DoS attacks-Hulk,347,lightgbm_balanced,LightGBM Balanced,LightGBM Tuned,0.5,347,0,1.0,0.9890507272612344,0.9999999999999999,0.0,0.9966767455811344,0.9996003824974656,0.9927114801044472,0.999730744193414
DoS attacks-Hulk,347,lightgbm_security,LightGBM Security,LightGBM Tuned,0.26,347,0,1.0,0.9890507272612344,0.9999999999999999,0.0,0.9966767455811344,0.9996003824974656,0.9927114801044472,0.999730744193414
DoS attacks-SlowHTTPTest,3721,xgboost_balanced,XGBoost Balanced,XGBoost Tuned,0.51,3721,0,1.0,0.9989686919931592,0.9999999999999999,0.0,0.9998323973851116,0.9998605,0.999627,0.9998977
DoS attacks-SlowHTTPTest,3721,xgboost_security,XGBoost Security,XGBoost Tuned,0.27,3721,0,1.0,0.9989686919931592,0.9999999999999999,0.0,0.9998323973851116,0.9998605,0.999627,0.9998977
DoS attacks-SlowHTTPTest,3721,lightgbm_balanced,LightGBM Balanced,LightGBM Tuned,0.5,3721,0,1.0,0.9989686919931592,0.9999999999999999,0.0,0.9997297480337735,0.999762365904194,0.9994986199191552,0.9997706651919208
DoS attacks-SlowHTTPTest,3721,lightgbm_security,LightGBM Security,LightGBM Tuned,0.26,3721,0,1.0,0.9989686919931592,0.9999999999999999,0.0,0.9997297480337735,0.999762365904194,0.9994986199191552,0.9997706651919208
DoS attacks-Slowloris,820,xgboost_balanced,XGBoost Balanced,XGBoost Tuned,0.51,820,0,1.0,0.995337138256925,1.0,0.0,0.9969405730975609,0.99961346,0.9965025,0.9998524
DoS attacks-Slowloris,820,xgboost_security,XGBoost Security,XGBoost Tuned,0.27,820,0,1.0,0.995337138256925,1.0,0.0,0.9969405730975609,0.99961346,0.9965025,0.9998524
