Feature,XGBoost Mean Absolute SHAP,LightGBM Mean Absolute SHAP,XGBoost Normalized Importance,LightGBM Normalized Importance,XGBoost Rank,LightGBM Rank,Absolute Rank Difference
SYN Flag Cnt,0.0015139577,0.0020255081664609926,0.00019926616,0.0002602076700545372,67,65,2
Subflow Fwd Pkts,0.0014653187,0.007826856464095758,0.00019286432,0.00100548006574175,68,58,10
Fwd URG Flags,0.00034005678,4.663578671500722e-05,4.4758057e-05,5.99108391820254e-06,69,68,1
Bwd PSH Flags,0.0,0.0,0.0,0.0,70,69,1
Bwd URG Flags,0.0,0.0,0.0,0.0,70,69,1
CWE Flag Count,0.0,0.0,0.0,0.0,70,69,1
Fwd Byts/b Avg,0.0,0.0,0.0,0.0,70,69,1
Fwd Pkts/b Avg,0.0,0.0,0.0,0.0,70,69,1
Fwd Blk Rate Avg,0.0,0.0,0.0,0.0,70,69,1
Bwd Byts/b Avg,0.0,0.0,0.0,0.0,70,69,1
Bwd Pkts/b Avg,0.0,0.0,0.0,0.0,70,69,1
Bwd Blk Rate Avg,0.0,0.0,0.0,0.0,70,69,1
