family,learner,metric,analysis_status,metric_role,frozen_seed_count,defined_seed_count,random_gt_chrono_seed_count,random_lt_chrono_seed_count,random_eq_chrono_seed_count,undefined_seed_count,note
BOT,LIGHTGBM,STANDARD_PRECISION,INFERENTIAL_SUPPORT_ELIGIBLE,PERFORMANCE_METRIC,5,5,0,0,5,0,Numeric sign count only; no post-result qualitative cutoff or causal attribution.
BOT,LIGHTGBM,STANDARD_RECALL,INFERENTIAL_SUPPORT_ELIGIBLE,PERFORMANCE_METRIC,5,5,0,0,5,0,Numeric sign count only; no post-result qualitative cutoff or causal attribution.
BOT,LIGHTGBM,STANDARD_TN,INFERENTIAL_SUPPORT_ELIGIBLE,CONFUSION_COUNT_CONTEXT,5,5,5,0,0,0,Numeric sign count only; no post-result qualitative cutoff or causal attribution.
BOT,LIGHTGBM,STANDARD_TP,INFERENTIAL_SUPPORT_ELIGIBLE,CONFUSION_COUNT_CONTEXT,5,5,0,0,5,0,Numeric sign count only; no post-result qualitative cutoff or causal attribution.
BOT,XGBOOST,BALANCED_F1,INFERENTIAL_SUPPORT_ELIGIBLE,PERFORMANCE_METRIC,5,5,0,0,5,0,Numeric sign count only; no post-result qualitative cutoff or causal attribution.
BOT,XGBOOST,BALANCED_FN,INFERENTIAL_SUPPORT_ELIGIBLE,CONFUSION_COUNT_CONTEXT,5,5,0,0,5,0,Numeric sign count only; no post-result qualitative cutoff or causal attribution.
BOT,XGBOOST,BALANCED_FP,INFERENTIAL_SUPPORT_ELIGIBLE,CONFUSION_COUNT_CONTEXT,5,5,5,0,0,0,Numeric sign count only; no post-result qualitative cutoff or causal attribution.
BOT,XGBOOST,BALANCED_FPR,INFERENTIAL_SUPPORT_ELIGIBLE,PERFORMANCE_METRIC,5,5,5,0,0,0,Numeric sign count only; no post-result qualitative cutoff or causal attribution.
BOT,XGBOOST,BALANCED_PRECISION,INFERENTIAL_SUPPORT_ELIGIBLE,PERFORMANCE_METRIC,5,5,0,0,5,0,Numeric sign count only; no post-result qualitative cutoff or causal attribution.
BOT,XGBOOST,BALANCED_RECALL,INFERENTIAL_SUPPORT_ELIGIBLE,PERFORMANCE_METRIC,5,5,0,0,5,0,Numeric sign count only; no post-result qualitative cutoff or causal attribution.
BOT,XGBOOST,BALANCED_TN,INFERENTIAL_SUPPORT_ELIGIBLE,CONFUSION_COUNT_CONTEXT,5,5,5,0,0,0,Numeric sign count only; no post-result qualitative cutoff or causal attribution.
BOT,XGBOOST,BALANCED_TP,INFERENTIAL_SUPPORT_ELIGIBLE,CONFUSION_COUNT_CONTEXT,5,5,0,0,5,0,Numeric sign count only; no post-result qualitative cutoff or causal attribution.
BOT,XGBOOST,PR_AUC,INFERENTIAL_SUPPORT_ELIGIBLE,PERFORMANCE_METRIC,5,5,5,0,0,0,Numeric sign count only; no post-result qualitative cutoff or causal attribution.
BOT,XGBOOST,PR_CHANCE_ANCHOR,INFERENTIAL_SUPPORT_ELIGIBLE,BASE_RATE_CONTEXT,5,5,0,5,0,0,Numeric sign count only; no post-result qualitative cutoff or causal attribution.
