parent_stage,family_if_applicable,learner_if_applicable,claim_id,analysis_status,frozen_seeds_supporting_condition,frozen_seed_count,stability_rate
STAGE27_CHRONOLOGY_LOAO,INFILTRATION,XGBOOST,SECURITY_DETECTION_PRESENT_WHERE_FEASIBLE,DESCRIPTIVE_ONLY_SUPPORT_LT_50,0,5,0.0
STAGE27_CHRONOLOGY_LOAO,INFILTRATION,XGBOOST,STANDARD_DETECTION_PRESENT,DESCRIPTIVE_ONLY_SUPPORT_LT_50,0,5,0.0
STAGE27_CHRONOLOGY_LOAO,PORT_SCAN,,LEARNER_ORDER_ROC_STABILITY,INFERENTIAL_SUPPORT_ELIGIBLE,5,5,1.0
STAGE27_CHRONOLOGY_LOAO,PORT_SCAN,LIGHTGBM,BALANCED_DETECTION_PRESENT,INFERENTIAL_SUPPORT_ELIGIBLE,5,5,1.0
STAGE27_CHRONOLOGY_LOAO,PORT_SCAN,LIGHTGBM,PR_ABOVE_CHANCE,INFERENTIAL_SUPPORT_ELIGIBLE,5,5,1.0
STAGE27_CHRONOLOGY_LOAO,PORT_SCAN,LIGHTGBM,ROC_ABOVE_CHANCE,INFERENTIAL_SUPPORT_ELIGIBLE,5,5,1.0
STAGE27_CHRONOLOGY_LOAO,PORT_SCAN,LIGHTGBM,SECURITY_DETECTION_PRESENT_WHERE_FEASIBLE,INFERENTIAL_SUPPORT_ELIGIBLE,5,5,1.0
STAGE27_CHRONOLOGY_LOAO,PORT_SCAN,LIGHTGBM,STANDARD_DETECTION_PRESENT,INFERENTIAL_SUPPORT_ELIGIBLE,5,5,1.0
STAGE27_CHRONOLOGY_LOAO,PORT_SCAN,XGBOOST,BALANCED_DETECTION_PRESENT,INFERENTIAL_SUPPORT_ELIGIBLE,5,5,1.0
STAGE27_CHRONOLOGY_LOAO,PORT_SCAN,XGBOOST,PR_ABOVE_CHANCE,INFERENTIAL_SUPPORT_ELIGIBLE,5,5,1.0
STAGE27_CHRONOLOGY_LOAO,PORT_SCAN,XGBOOST,ROC_ABOVE_CHANCE,INFERENTIAL_SUPPORT_ELIGIBLE,5,5,1.0
STAGE27_CHRONOLOGY_LOAO,PORT_SCAN,XGBOOST,SECURITY_DETECTION_PRESENT_WHERE_FEASIBLE,INFERENTIAL_SUPPORT_ELIGIBLE,5,5,1.0
STAGE27_CHRONOLOGY_LOAO,PORT_SCAN,XGBOOST,STANDARD_DETECTION_PRESENT,INFERENTIAL_SUPPORT_ELIGIBLE,5,5,1.0
STAGE27_CHRONOLOGY_LOAO,WEB_ATTACK,,LEARNER_ORDER_ROC_STABILITY,INFERENTIAL_SUPPORT_ELIGIBLE,5,5,1.0
STAGE27_CHRONOLOGY_LOAO,WEB_ATTACK,LIGHTGBM,BALANCED_DETECTION_PRESENT,INFERENTIAL_SUPPORT_ELIGIBLE,5,5,1.0
STAGE27_CHRONOLOGY_LOAO,WEB_ATTACK,LIGHTGBM,PR_ABOVE_CHANCE,INFERENTIAL_SUPPORT_ELIGIBLE,5,5,1.0
STAGE27_CHRONOLOGY_LOAO,WEB_ATTACK,LIGHTGBM,ROC_ABOVE_CHANCE,INFERENTIAL_SUPPORT_ELIGIBLE,5,5,1.0
STAGE27_CHRONOLOGY_LOAO,WEB_ATTACK,LIGHTGBM,SECURITY_DETECTION_PRESENT_WHERE_FEASIBLE,INFERENTIAL_SUPPORT_ELIGIBLE,5,5,1.0
STAGE27_CHRONOLOGY_LOAO,WEB_ATTACK,LIGHTGBM,STANDARD_DETECTION_PRESENT,INFERENTIAL_SUPPORT_ELIGIBLE,5,5,1.0
STAGE27_CHRONOLOGY_LOAO,WEB_ATTACK,XGBOOST,BALANCED_DETECTION_PRESENT,INFERENTIAL_SUPPORT_ELIGIBLE,5,5,1.0
STAGE27_CHRONOLOGY_LOAO,WEB_ATTACK,XGBOOST,PR_ABOVE_CHANCE,INFERENTIAL_SUPPORT_ELIGIBLE,5,5,1.0
STAGE27_CHRONOLOGY_LOAO,WEB_ATTACK,XGBOOST,ROC_ABOVE_CHANCE,INFERENTIAL_SUPPORT_ELIGIBLE,5,5,1.0
STAGE27_CHRONOLOGY_LOAO,WEB_ATTACK,XGBOOST,SECURITY_DETECTION_PRESENT_WHERE_FEASIBLE,INFERENTIAL_SUPPORT_ELIGIBLE,5,5,1.0
STAGE27_CHRONOLOGY_LOAO,WEB_ATTACK,XGBOOST,STANDARD_DETECTION_PRESENT,INFERENTIAL_SUPPORT_ELIGIBLE,5,5,1.0
STAGE28B_RANDOM_LOAO,BOT,,LEARNER_ORDER_ROC_STABILITY,INFERENTIAL_SUPPORT_ELIGIBLE,5,5,1.0
STAGE28B_RANDOM_LOAO,BOT,LIGHTGBM,BALANCED_DETECTION_PRESENT,INFERENTIAL_SUPPORT_ELIGIBLE,0,5,0.0
STAGE28B_RANDOM_LOAO,BOT,LIGHTGBM,PR_ABOVE_CHANCE,INFERENTIAL_SUPPORT_ELIGIBLE,5,5,1.0
STAGE28B_RANDOM_LOAO,BOT,LIGHTGBM,ROC_ABOVE_CHANCE,INFERENTIAL_SUPPORT_ELIGIBLE,5,5,1.0
STAGE28B_RANDOM_LOAO,BOT,LIGHTGBM,SECURITY_DETECTION_PRESENT_WHERE_FEASIBLE,INFERENTIAL_SUPPORT_ELIGIBLE,0,5,0.0
STAGE28B_RANDOM_LOAO,BOT,LIGHTGBM,STANDARD_DETECTION_PRESENT,INFERENTIAL_SUPPORT_ELIGIBLE,0,5,0.0
STAGE28B_RANDOM_LOAO,BOT,XGBOOST,BALANCED_DETECTION_PRESENT,INFERENTIAL_SUPPORT_ELIGIBLE,0,5,0.0
STAGE28B_RANDOM_LOAO,BOT,XGBOOST,PR_ABOVE_CHANCE,INFERENTIAL_SUPPORT_ELIGIBLE,5,5,1.0
STAGE28B_RANDOM_LOAO,BOT,XGBOOST,ROC_ABOVE_CHANCE,INFERENTIAL_SUPPORT_ELIGIBLE,5,5,1.0
STAGE28B_RANDOM_LOAO,BOT,XGBOOST,SECURITY_DETECTION_PRESENT_WHERE_FEASIBLE,INFERENTIAL_SUPPORT_ELIGIBLE,0,5,0.0
STAGE28B_RANDOM_LOAO,BOT,XGBOOST,STANDARD_DETECTION_PRESENT,INFERENTIAL_SUPPORT_ELIGIBLE,0,5,0.0
