parent_stage,family_if_applicable,learner_if_applicable,claim_id,analysis_status,frozen_seeds_supporting_condition,frozen_seed_count,stability_rate
STAGE28B_RANDOM_LOAO,DDOS,,LEARNER_ORDER_ROC_STABILITY,INFERENTIAL_SUPPORT_ELIGIBLE,5,5,1.0
STAGE28B_RANDOM_LOAO,DDOS,LIGHTGBM,BALANCED_DETECTION_PRESENT,INFERENTIAL_SUPPORT_ELIGIBLE,5,5,1.0
STAGE28B_RANDOM_LOAO,DDOS,LIGHTGBM,PR_ABOVE_CHANCE,INFERENTIAL_SUPPORT_ELIGIBLE,5,5,1.0
STAGE28B_RANDOM_LOAO,DDOS,LIGHTGBM,ROC_ABOVE_CHANCE,INFERENTIAL_SUPPORT_ELIGIBLE,5,5,1.0
STAGE28B_RANDOM_LOAO,DDOS,LIGHTGBM,SECURITY_DETECTION_PRESENT_WHERE_FEASIBLE,INFERENTIAL_SUPPORT_ELIGIBLE,5,5,1.0
STAGE28B_RANDOM_LOAO,DDOS,LIGHTGBM,STANDARD_DETECTION_PRESENT,INFERENTIAL_SUPPORT_ELIGIBLE,5,5,1.0
STAGE28B_RANDOM_LOAO,DDOS,XGBOOST,BALANCED_DETECTION_PRESENT,INFERENTIAL_SUPPORT_ELIGIBLE,5,5,1.0
STAGE28B_RANDOM_LOAO,DDOS,XGBOOST,PR_ABOVE_CHANCE,INFERENTIAL_SUPPORT_ELIGIBLE,5,5,1.0
STAGE28B_RANDOM_LOAO,DDOS,XGBOOST,ROC_ABOVE_CHANCE,INFERENTIAL_SUPPORT_ELIGIBLE,5,5,1.0
STAGE28B_RANDOM_LOAO,DDOS,XGBOOST,SECURITY_DETECTION_PRESENT_WHERE_FEASIBLE,INFERENTIAL_SUPPORT_ELIGIBLE,5,5,1.0
STAGE28B_RANDOM_LOAO,DDOS,XGBOOST,STANDARD_DETECTION_PRESENT,INFERENTIAL_SUPPORT_ELIGIBLE,5,5,1.0
STAGE28B_RANDOM_LOAO,INFILTRATION,,LEARNER_ORDER_ROC_STABILITY,DESCRIPTIVE_ONLY_SUPPORT_LT_50,5,5,1.0
STAGE28B_RANDOM_LOAO,INFILTRATION,LIGHTGBM,BALANCED_DETECTION_PRESENT,DESCRIPTIVE_ONLY_SUPPORT_LT_50,0,5,0.0
STAGE28B_RANDOM_LOAO,INFILTRATION,LIGHTGBM,PR_ABOVE_CHANCE,DESCRIPTIVE_ONLY_SUPPORT_LT_50,5,5,1.0
STAGE28B_RANDOM_LOAO,INFILTRATION,LIGHTGBM,ROC_ABOVE_CHANCE,DESCRIPTIVE_ONLY_SUPPORT_LT_50,5,5,1.0
STAGE28B_RANDOM_LOAO,INFILTRATION,LIGHTGBM,SECURITY_DETECTION_PRESENT_WHERE_FEASIBLE,DESCRIPTIVE_ONLY_SUPPORT_LT_50,0,5,0.0
STAGE28B_RANDOM_LOAO,INFILTRATION,LIGHTGBM,STANDARD_DETECTION_PRESENT,DESCRIPTIVE_ONLY_SUPPORT_LT_50,0,5,0.0
STAGE28B_RANDOM_LOAO,INFILTRATION,XGBOOST,BALANCED_DETECTION_PRESENT,DESCRIPTIVE_ONLY_SUPPORT_LT_50,0,5,0.0
STAGE28B_RANDOM_LOAO,INFILTRATION,XGBOOST,PR_ABOVE_CHANCE,DESCRIPTIVE_ONLY_SUPPORT_LT_50,5,5,1.0
STAGE28B_RANDOM_LOAO,INFILTRATION,XGBOOST,ROC_ABOVE_CHANCE,DESCRIPTIVE_ONLY_SUPPORT_LT_50,5,5,1.0
STAGE28B_RANDOM_LOAO,INFILTRATION,XGBOOST,SECURITY_DETECTION_PRESENT_WHERE_FEASIBLE,DESCRIPTIVE_ONLY_SUPPORT_LT_50,0,5,0.0
STAGE28B_RANDOM_LOAO,INFILTRATION,XGBOOST,STANDARD_DETECTION_PRESENT,DESCRIPTIVE_ONLY_SUPPORT_LT_50,0,5,0.0
STAGE28B_RANDOM_LOAO,PORT_SCAN,,LEARNER_ORDER_ROC_STABILITY,INFERENTIAL_SUPPORT_ELIGIBLE,5,5,1.0
STAGE28B_RANDOM_LOAO,PORT_SCAN,LIGHTGBM,BALANCED_DETECTION_PRESENT,INFERENTIAL_SUPPORT_ELIGIBLE,5,5,1.0
STAGE28B_RANDOM_LOAO,PORT_SCAN,LIGHTGBM,PR_ABOVE_CHANCE,INFERENTIAL_SUPPORT_ELIGIBLE,5,5,1.0
STAGE28B_RANDOM_LOAO,PORT_SCAN,LIGHTGBM,ROC_ABOVE_CHANCE,INFERENTIAL_SUPPORT_ELIGIBLE,5,5,1.0
STAGE28B_RANDOM_LOAO,PORT_SCAN,LIGHTGBM,SECURITY_DETECTION_PRESENT_WHERE_FEASIBLE,INFERENTIAL_SUPPORT_ELIGIBLE,5,5,1.0
STAGE28B_RANDOM_LOAO,PORT_SCAN,LIGHTGBM,STANDARD_DETECTION_PRESENT,INFERENTIAL_SUPPORT_ELIGIBLE,5,5,1.0
STAGE28B_RANDOM_LOAO,PORT_SCAN,XGBOOST,BALANCED_DETECTION_PRESENT,INFERENTIAL_SUPPORT_ELIGIBLE,5,5,1.0
STAGE28B_RANDOM_LOAO,PORT_SCAN,XGBOOST,PR_ABOVE_CHANCE,INFERENTIAL_SUPPORT_ELIGIBLE,5,5,1.0
STAGE28B_RANDOM_LOAO,PORT_SCAN,XGBOOST,ROC_ABOVE_CHANCE,INFERENTIAL_SUPPORT_ELIGIBLE,5,5,1.0
STAGE28B_RANDOM_LOAO,PORT_SCAN,XGBOOST,SECURITY_DETECTION_PRESENT_WHERE_FEASIBLE,INFERENTIAL_SUPPORT_ELIGIBLE,5,5,1.0
STAGE28B_RANDOM_LOAO,PORT_SCAN,XGBOOST,STANDARD_DETECTION_PRESENT,INFERENTIAL_SUPPORT_ELIGIBLE,5,5,1.0
STAGE28B_RANDOM_LOAO,WEB_ATTACK,,LEARNER_ORDER_ROC_STABILITY,INFERENTIAL_SUPPORT_ELIGIBLE,5,5,1.0
STAGE28B_RANDOM_LOAO,WEB_ATTACK,LIGHTGBM,BALANCED_DETECTION_PRESENT,INFERENTIAL_SUPPORT_ELIGIBLE,5,5,1.0
STAGE28B_RANDOM_LOAO,WEB_ATTACK,LIGHTGBM,PR_ABOVE_CHANCE,INFERENTIAL_SUPPORT_ELIGIBLE,5,5,1.0
STAGE28B_RANDOM_LOAO,WEB_ATTACK,LIGHTGBM,ROC_ABOVE_CHANCE,INFERENTIAL_SUPPORT_ELIGIBLE,5,5,1.0
STAGE28B_RANDOM_LOAO,WEB_ATTACK,LIGHTGBM,SECURITY_DETECTION_PRESENT_WHERE_FEASIBLE,INFERENTIAL_SUPPORT_ELIGIBLE,5,5,1.0
STAGE28B_RANDOM_LOAO,WEB_ATTACK,LIGHTGBM,STANDARD_DETECTION_PRESENT,INFERENTIAL_SUPPORT_ELIGIBLE,5,5,1.0
STAGE28B_RANDOM_LOAO,WEB_ATTACK,XGBOOST,BALANCED_DETECTION_PRESENT,INFERENTIAL_SUPPORT_ELIGIBLE,5,5,1.0
STAGE28B_RANDOM_LOAO,WEB_ATTACK,XGBOOST,PR_ABOVE_CHANCE,INFERENTIAL_SUPPORT_ELIGIBLE,5,5,1.0
STAGE28B_RANDOM_LOAO,WEB_ATTACK,XGBOOST,ROC_ABOVE_CHANCE,INFERENTIAL_SUPPORT_ELIGIBLE,5,5,1.0
STAGE28B_RANDOM_LOAO,WEB_ATTACK,XGBOOST,SECURITY_DETECTION_PRESENT_WHERE_FEASIBLE,INFERENTIAL_SUPPORT_ELIGIBLE,5,5,1.0
STAGE28B_RANDOM_LOAO,WEB_ATTACK,XGBOOST,STANDARD_DETECTION_PRESENT,INFERENTIAL_SUPPORT_ELIGIBLE,5,5,1.0
