family,learner,seed,support_n,analysis_status,metric,metric_role,chronological_value,random_value,random_minus_chronological,numeric_direction,direction_semantics
BOT,XGBOOST,42,1966,INFERENTIAL_SUPPORT_ELIGIBLE,SECURITY_FPR,PERFORMANCE_METRIC,0.0004296175438427117,0.0006488935814526418,0.00021927603760993006,RANDOM_GT_CHRONO,NUMERIC_ONLY_NOT_AUTOMATICALLY_BETTER_OR_WORSE
BOT,XGBOOST,42,1966,INFERENTIAL_SUPPORT_ELIGIBLE,SECURITY_PRECISION,PERFORMANCE_METRIC,0.0,0.0,0.0,RANDOM_EQ_CHRONO,NUMERIC_ONLY_NOT_AUTOMATICALLY_BETTER_OR_WORSE
BOT,XGBOOST,42,1966,INFERENTIAL_SUPPORT_ELIGIBLE,SECURITY_F1,PERFORMANCE_METRIC,0.0,0.0,0.0,RANDOM_EQ_CHRONO,NUMERIC_ONLY_NOT_AUTOMATICALLY_BETTER_OR_WORSE
BOT,XGBOOST,42,1966,INFERENTIAL_SUPPORT_ELIGIBLE,SECURITY_TP,CONFUSION_COUNT_CONTEXT,0.0,0.0,0.0,RANDOM_EQ_CHRONO,NUMERIC_ONLY_NOT_AUTOMATICALLY_BETTER_OR_WORSE
BOT,XGBOOST,42,1966,INFERENTIAL_SUPPORT_ELIGIBLE,SECURITY_FP,CONFUSION_COUNT_CONTEXT,178.0,295.0,117.0,RANDOM_GT_CHRONO,NUMERIC_ONLY_NOT_AUTOMATICALLY_BETTER_OR_WORSE
BOT,XGBOOST,42,1966,INFERENTIAL_SUPPORT_ELIGIBLE,SECURITY_TN,CONFUSION_COUNT_CONTEXT,414144.0,454325.0,40181.0,RANDOM_GT_CHRONO,NUMERIC_ONLY_NOT_AUTOMATICALLY_BETTER_OR_WORSE
BOT,XGBOOST,42,1966,INFERENTIAL_SUPPORT_ELIGIBLE,SECURITY_FN,CONFUSION_COUNT_CONTEXT,1966.0,1966.0,0.0,RANDOM_EQ_CHRONO,NUMERIC_ONLY_NOT_AUTOMATICALLY_BETTER_OR_WORSE
BOT,XGBOOST,43,1966,INFERENTIAL_SUPPORT_ELIGIBLE,ROC_AUC,PERFORMANCE_METRIC,0.39335268010177393,0.857949210978433,0.4645965308766591,RANDOM_GT_CHRONO,NUMERIC_ONLY_NOT_AUTOMATICALLY_BETTER_OR_WORSE
BOT,XGBOOST,43,1966,INFERENTIAL_SUPPORT_ELIGIBLE,PR_AUC,PERFORMANCE_METRIC,0.0036413958434274064,0.015050953121163214,0.011409557277735807,RANDOM_GT_CHRONO,NUMERIC_ONLY_NOT_AUTOMATICALLY_BETTER_OR_WORSE
BOT,XGBOOST,43,1966,INFERENTIAL_SUPPORT_ELIGIBLE,PR_CHANCE_ANCHOR,BASE_RATE_CONTEXT,0.004722691982473672,0.004305870088000946,-0.0004168218944727263,RANDOM_LT_CHRONO,NUMERIC_ONLY_NOT_AUTOMATICALLY_BETTER_OR_WORSE
BOT,XGBOOST,43,1966,INFERENTIAL_SUPPORT_ELIGIBLE,PR_EXCESS,PERFORMANCE_METRIC,-0.0010812961390462656,0.010745083033162267,0.011826379172208534,RANDOM_GT_CHRONO,NUMERIC_ONLY_NOT_AUTOMATICALLY_BETTER_OR_WORSE
BOT,XGBOOST,43,1966,INFERENTIAL_SUPPORT_ELIGIBLE,PR_LIFT,PERFORMANCE_METRIC,0.771042417532405,3.495449889002761,2.724407471470356,RANDOM_GT_CHRONO,NUMERIC_ONLY_NOT_AUTOMATICALLY_BETTER_OR_WORSE
BOT,XGBOOST,43,1966,INFERENTIAL_SUPPORT_ELIGIBLE,STANDARD_RECALL,PERFORMANCE_METRIC,0.0,0.0,0.0,RANDOM_EQ_CHRONO,NUMERIC_ONLY_NOT_AUTOMATICALLY_BETTER_OR_WORSE
