arm,parent_stage,family,learner,seed,support_n,support_status,inferential_family_claim_authorized,source_path,ROC_AUC,PR_AUC,PR_CHANCE_ANCHOR,PR_EXCESS,PR_LIFT,KNOWN_ROC_AUC,KNOWN_PR_AUC,KNOWN_PR_CHANCE_ANCHOR,KNOWN_PR_EXCESS,KNOWN_PR_LIFT,GAP_ROC_AUC,GAP_PR_EXCESS,GAP_RECALL_STANDARD,GAP_RECALL_BALANCED,GAP_RECALL_SECURITY,STANDARD_FEASIBLE,STANDARD_RECALL,STANDARD_FPR,STANDARD_PRECISION,STANDARD_F1,STANDARD_TP,STANDARD_FP,STANDARD_TN,STANDARD_FN,STANDARD_THRESHOLD,BALANCED_FEASIBLE,BALANCED_RECALL,BALANCED_FPR,BALANCED_PRECISION,BALANCED_F1,BALANCED_TP,BALANCED_FP,BALANCED_TN,BALANCED_FN,BALANCED_THRESHOLD,SECURITY_FEASIBLE,SECURITY_RECALL,SECURITY_FPR,SECURITY_PRECISION,SECURITY_F1,SECURITY_TP,SECURITY_FP,SECURITY_TN,SECURITY_FN,SECURITY_THRESHOLD
28A_CHRONOLOGY_LOAO,STAGE27_CHRONOLOGY_LOAO,INFILTRATION,XGBOOST,42,36,DESCRIPTIVE_ONLY_SUPPORT_LT_50,False,results/stage27_loao_unseen_attack/stage27_2b_thursday_openings/thursday_primary_target_results.json,0.7815653303713563,0.00018106454836966566,7.881117717628309e-05,0.00010225337119338258,2.2974475811300787,0.7702741760649505,0.5527309878861517,0.364752299723398,0.1879786881627537,1.5153598436673414,-0.011291154306405815,0.18787643479156033,1.1873617218328115e-05,0.00041557660264148404,0.00041557660264148404,True,0.0,0.00020142221599467544,0.0,0.0,0.0,92.0,456660.0,36.0,0.5,True,0.0,0.0013530318422251024,0.0,0.0,0.0,618.0,456134.0,36.0,0.01,True,0.0,0.0013530318422251024,0.0,0.0,0.0,618.0,456134.0,36.0,0.01
28A_CHRONOLOGY_LOAO,STAGE27_CHRONOLOGY_LOAO,INFILTRATION,LIGHTGBM,42,36,DESCRIPTIVE_ONLY_SUPPORT_LT_50,False,results/stage27_loao_unseen_attack/stage27_2b_thursday_openings/thursday_primary_target_results.json,0.7536628192104249,0.00015591221379998593,7.881117717628309e-05,7.710103662370284e-05,1.9783007865907771,0.7951419393603236,0.582416011937284,0.364752299723398,0.21766371221388597,1.596743906423473,0.04147912014989874,0.21758661117726227,3.957872406109372e-06,7.519957571607806e-05,7.519957571607806e-05,True,0.0,0.00012479419904017934,0.0,0.0,0.0,57.0,456695.0,36.0,0.5,True,0.0,0.0002320734227764739,0.0,0.0,0.0,106.0,456646.0,36.0,0.01,True,0.0,0.0002320734227764739,0.0,0.0,0.0,106.0,456646.0,36.0,0.01
28A_CHRONOLOGY_LOAO,STAGE27_CHRONOLOGY_LOAO,WEB_ATTACK,XGBOOST,42,2180,INFERENTIAL_ELIGIBLE_SUPPORT,True,results/stage27_loao_unseen_attack/stage27_2b_thursday_openings/thursday_primary_target_results.json,0.9693327932280036,0.7205965776366883,0.004750159064959515,0.7158464185717287,151.6994626458535,0.7702741760649505,0.5527309878861517,0.364752299723398,0.1879786881627537,1.5153598436673414,-0.19905861716305306,-0.5278677304089749,-0.5142083098690202,-0.7775660747735054,-0.7775660747735054,True,0.5142201834862385,0.00020142221599467544,0.9241549876339654,0.6607721780135574,1121.0,92.0,456660.0,1059.0,0.5,True,0.7779816513761468,0.0013530318422251024,0.7329299913569577,0.7547841566533156,1696.0,618.0,456134.0,484.0,0.01,True,0.7779816513761468,0.0013530318422251024,0.7329299913569577,0.7547841566533156,1696.0,618.0,456134.0,484.0,0.01
28A_CHRONOLOGY_LOAO,STAGE27_CHRONOLOGY_LOAO,WEB_ATTACK,LIGHTGBM,42,2180,INFERENTIAL_ELIGIBLE_SUPPORT,True,results/stage27_loao_unseen_attack/stage27_2b_thursday_openings/thursday_primary_target_results.json,0.990056168035138,0.7604998658179247,0.004750159064959515,0.7557497067529652,160.0998735869504,0.7951419393603236,0.582416011937284,0.364752299723398,0.21766371221388597,1.596743906423473,-0.19491422867481434,-0.5380859945390792,-0.05274833570557554,-0.5210257178554766,-0.5210257178554766,True,0.052752293577981654,0.00012479419904017934,0.6686046511627907,0.0977891156462585,115.0,57.0,456695.0,2065.0,0.5,True,0.5211009174311927,0.0002320734227764739,0.9146537842190016,0.6639392168322619,1136.0,106.0,456646.0,1044.0,0.01,True,0.5211009174311927,0.0002320734227764739,0.9146537842190016,0.6639392168322619,1136.0,106.0,456646.0,1044.0,0.01
28A_CHRONOLOGY_LOAO,STAGE27_CHRONOLOGY_LOAO,BOT,XGBOOST,42,1966,INFERENTIAL_ELIGIBLE_SUPPORT,True,results/stage27_loao_unseen_attack/stage27_2c_friday_openings/friday_primary_target_results.json,0.32238681852330214,0.0032557314024596277,0.004722691982473672,-0.0014669605800140444,0.6893804242457342,0.9929227426611306,0.8675735632930874,0.004828223318401283,0.8627453399746862,179.68795270645384,0.6705359241378284,0.8642123005547002,0.865072202166065,0.9268953068592057,0.9268953068592057,True,0.0,0.0001641235560747438,0.0,0.0,0.0,68.0,414254.0,1966.0,0.5,True,0.0,0.0004296175438427117,0.0,0.0,0.0,178.0,414144.0,1966.0,0.03,True,0.0,0.0004296175438427117,0.0,0.0,0.0,178.0,414144.0,1966.0,0.03
28A_CHRONOLOGY_LOAO,STAGE27_CHRONOLOGY_LOAO,BOT,LIGHTGBM,42,1966,INFERENTIAL_ELIGIBLE_SUPPORT,True,results/stage27_loao_unseen_attack/stage27_2c_friday_openings/friday_primary_target_results.json,0.5590614406711931,0.004879010248700389,0.004722691982473672,0.0001563182662267168,1.0330993989882948,0.9951005393569083,0.9117105487819512,0.004828223318401283,0.90688232546355,188.82940756017805,0.4360390986857152,0.9067260071973232,0.8497292418772563,0.8889891696750902,0.9101985559566786,True,0.0,0.0001544692292468177,0.0,0.0,0.0,64.0,414258.0,1966.0,0.5,True,0.0,0.000270321151181931,0.0,0.0,0.0,112.0,414210.0,1966.0,0.04,True,0.0,0.00044651261579158237,0.0,0.0,0.0,185.0,414137.0,1966.0,0.01
28A_CHRONOLOGY_LOAO,STAGE27_CHRONOLOGY_LOAO,DDOS,XGBOOST,42,128027,INFERENTIAL_ELIGIBLE_SUPPORT,True,results/stage27_loao_unseen_attack/stage27_2c_friday_openings/friday_primary_target_results.json,0.9981965450426153,0.9924676314551888,0.23606017527459255,0.7564074561805962,4.204299307584261,0.9929227426611306,0.8675735632930874,0.004828223318401283,0.8627453399746862,179.68795270645384,-0.005273802381484782,0.10633788379408993,0.24100071724491545,0.26492556610139684,0.26492556610139684,True,0.6240714849211495,0.0001641235560747438,0.9991496385964035,0.7682758554374426,79898.0,68.0,414254.0,48129.0,0.5,True,0.6619697407578089,0.0004296175438427117,0.9979041070082894,0.7959428048179192,84750.0,178.0,414144.0,43277.0,0.03,True,0.6619697407578089,0.0004296175438427117,0.9979041070082894,0.7959428048179192,84750.0,178.0,414144.0,43277.0,0.03
28A_CHRONOLOGY_LOAO,STAGE27_CHRONOLOGY_LOAO,DDOS,LIGHTGBM,42,128027,INFERENTIAL_ELIGIBLE_SUPPORT,True,results/stage27_loao_unseen_attack/stage27_2c_friday_openings/friday_primary_target_results.json,0.9985818073127533,0.9939610126616192,0.23606017527459255,0.7579008373870266,4.2106255809791415,0.9951005393569083,0.9117105487819512,0.004828223318401283,0.90688232546355,188.82940756017805,-0.0034812679558449133,0.14898148807652334,0.6834752485789677,0.6264507988626835,0.2823622401795379,True,0.16625399329828863,0.0001544692292468177,0.9970022015082673,0.28498553984575836,21285.0,64.0,414258.0,106742.0,0.5,True,0.2625383708124068,0.000270321151181931,0.9966789230221801,0.41560175825806334,33612.0,112.0,414210.0,94415.0,0.04,True,0.6278363157771407,0.00044651261579158237,0.9977037174951903,0.7706911099179259,80380.0,185.0,414137.0,47647.0,0.01
28A_CHRONOLOGY_LOAO,STAGE27_CHRONOLOGY_LOAO,PORT_SCAN,XGBOOST,42,158930,INFERENTIAL_ELIGIBLE_SUPPORT,True,results/stage27_loao_unseen_attack/stage27_2c_friday_openings/friday_primary_target_results.json,0.5505911851149154,0.3622206606370481,0.2772428181672284,0.08497784246981971,1.3065105276002584,0.9929227426611306,0.8675735632930874,0.004828223318401283,0.8627453399746862,179.68795270645384,0.4423315575462151,0.7777674975048665,0.8618506580900567,0.9220944511365605,0.9220944511365605,True,0.0032215440760083053,0.0001641235560747438,0.8827586206896552,0.006419660209391261,512.0,68.0,414254.0,158418.0,0.5,True,0.00480085572264519,0.0004296175438427117,0.8108395324123273,0.009545195814125138,763.0,178.0,414144.0,158167.0,0.03,True,0.00480085572264519,0.0004296175438427117,0.8108395324123273,0.009545195814125138,763.0,178.0,414144.0,158167.0,0.03
28A_CHRONOLOGY_LOAO,STAGE27_CHRONOLOGY_LOAO,PORT_SCAN,LIGHTGBM,42,158930,INFERENTIAL_ELIGIBLE_SUPPORT,True,results/stage27_loao_unseen_attack/stage27_2c_friday_openings/friday_primary_target_results.json,0.7558855961851745,0.4191064980155717,0.2772428181672284,0.1418636798483433,1.5116946970390894,0.9951005393569083,0.9117105487819512,0.004828223318401283,0.90688232546355,188.82940756017805,0.23921494317173386,0.7650186456152066,0.8475836431860085,0.8773110723995601,0.8975640627835836,True,0.002145598691247719,0.0001544692292468177,0.8419753086419753,0.004280289955125993,341.0,64.0,414258.0,158589.0,0.5,True,0.011678097275530108,0.000270321151181931,0.943089430894309,0.023070516724881602,1856.0,112.0,414210.0,157074.0,0.04,True,0.012634493173095073,0.00044651261579158237,0.915640674874601,0.02492505725439571,2008.0,185.0,414137.0,156922.0,0.01
