family,learner,metric,analysis_status,metric_role,contrast_definition,n_seeds,n_defined,mean,median,sample_standard_deviation_ddof_1,minimum,maximum,range,IQR_Q75_minus_Q25_linear
BOT,LIGHTGBM,STANDARD_FP,INFERENTIAL_SUPPORT_ELIGIBLE,CONFUSION_COUNT_CONTEXT,RANDOM_MINUS_CHRONOLOGICAL,5,5,224.2,224.0,2.949576240750525,220.0,227.0,7.0,4.0
BOT,LIGHTGBM,STANDARD_FPR,INFERENTIAL_SUPPORT_ELIGIBLE,PERFORMANCE_METRIC,RANDOM_MINUS_CHRONOLOGICAL,5,5,0.00047921007430614185,0.0004785989924960535,7.0025899982174715e-06,0.0004691586081159475,0.0004860536800648181,1.6895071948870642e-05,9.012499484466023e-06
BOT,LIGHTGBM,STANDARD_PRECISION,INFERENTIAL_SUPPORT_ELIGIBLE,PERFORMANCE_METRIC,RANDOM_MINUS_CHRONOLOGICAL,5,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BOT,LIGHTGBM,STANDARD_RECALL,INFERENTIAL_SUPPORT_ELIGIBLE,PERFORMANCE_METRIC,RANDOM_MINUS_CHRONOLOGICAL,5,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BOT,LIGHTGBM,STANDARD_TN,INFERENTIAL_SUPPORT_ELIGIBLE,CONFUSION_COUNT_CONTEXT,RANDOM_MINUS_CHRONOLOGICAL,5,5,40073.8,40074.0,2.9495762407505253,40071.0,40078.0,7.0,4.0
BOT,LIGHTGBM,STANDARD_TP,INFERENTIAL_SUPPORT_ELIGIBLE,CONFUSION_COUNT_CONTEXT,RANDOM_MINUS_CHRONOLOGICAL,5,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BOT,XGBOOST,BALANCED_F1,INFERENTIAL_SUPPORT_ELIGIBLE,PERFORMANCE_METRIC,RANDOM_MINUS_CHRONOLOGICAL,5,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BOT,XGBOOST,BALANCED_FN,INFERENTIAL_SUPPORT_ELIGIBLE,CONFUSION_COUNT_CONTEXT,RANDOM_MINUS_CHRONOLOGICAL,5,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BOT,XGBOOST,BALANCED_FP,INFERENTIAL_SUPPORT_ELIGIBLE,CONFUSION_COUNT_CONTEXT,RANDOM_MINUS_CHRONOLOGICAL,5,5,161.6,171.0,35.12548932043509,117.0,195.0,78.0,59.0
BOT,XGBOOST,BALANCED_FPR,INFERENTIAL_SUPPORT_ELIGIBLE,PERFORMANCE_METRIC,RANDOM_MINUS_CHRONOLOGICAL,5,5,0.00032786312851171425,0.0003515349318173128,8.52683545905597e-05,0.00021927603760993006,0.0004088190654414093,0.00018954302783147923,0.00014261526315973003
