seed,layer,head,mean_normalized_entropy,std_normalized_entropy,minimum_entropy,maximum_entropy
7,1,1,0.2965939987334423,0.1861409531040999,0.021678071469068527,0.5797528028488159
7,1,2,0.5241820021328749,0.14838470401860085,0.015529130585491657,0.6588061451911926
7,1,3,0.7321650767698884,0.14171313558172868,0.3364284038543701,0.8461191058158875
7,1,4,0.8571642851457,0.08380125909325177,0.6157286763191223,0.9176512360572815
7,1,5,0.15431848751359212,0.18830742742514878,0.0005828844150528312,0.5901040434837341
7,1,6,0.8719483595341444,0.052538203149613286,0.6670547127723694,0.9208208918571472
7,1,7,0.5192176307173213,0.259031245340592,0.0051766568794846535,0.8557179570198059
7,1,8,0.406215202761814,0.1632421784905996,0.020752497017383575,0.6448239684104919
7,2,1,0.7311354822013527,0.18331159883784126,0.21980881690979004,0.9396640062332153
7,2,2,0.805542477639392,0.18195050293212192,0.15830357372760773,0.9808278679847717
7,2,3,0.6884514975972706,0.2621542959716816,0.01366341020911932,0.9877757430076599
7,2,4,0.7233925126492977,0.1879571663876655,0.2761037051677704,0.9962527751922607
7,2,5,0.6120297612342256,0.3046188277393972,0.001552197034470737,0.9867948889732361
7,2,6,0.6533586091245525,0.27977887418794845,0.044134773313999176,0.9541016817092896
7,2,7,0.7282721395604312,0.19788437907689208,0.13179078698158264,0.9647096395492554
7,2,8,0.8390275286510587,0.12756262996159656,0.36634311079978943,0.9816163182258606
7,3,1,0.844471962627722,0.16137233936793963,0.02234467677772045,0.9960319995880127
7,3,2,0.9150261776521802,0.15589144089262774,0.28317075967788696,0.9941422939300537
7,3,3,0.8746685348451138,0.115081573639058,0.5718203783035278,0.9963952302932739
7,3,4,0.8704651092994027,0.17723958060025463,0.01690756157040596,0.9850339889526367
7,3,5,0.9127523694187403,0.10821005767376442,0.23386484384536743,0.9942871928215027
7,3,6,0.9608008125796914,0.034752524047672845,0.855286180973053,0.9957250356674194
7,3,7,0.8382861765567213,0.1509643404827403,0.163818821310997,0.9672645926475525
7,3,8,0.8286768006873899,0.1889368165876082,0.007522015366703272,0.9896968007087708
29,1,1,0.9845066554844379,0.0012899081521717192,0.9799014329910278,0.9867441058158875
29,1,2,0.952573649585247,0.007686920170044237,0.9290451407432556,0.9614741802215576
29,1,3,0.7580479392781854,0.20309442919667353,0.2057350128889084,0.9149065613746643
29,1,4,0.9782683607190847,0.0017979369861833875,0.9741384983062744,0.9807454347610474
29,1,5,0.14990943393786438,0.25480310741439804,0.030948230996727943,0.8154014945030212
29,1,6,0.9641750864684582,0.0025667572468043762,0.9592795968055725,0.969678521156311
29,1,7,0.9812105372548103,0.0015028681807745812,0.9770120978355408,0.9833712577819824
29,1,8,0.41393409454030916,0.24486933725273666,0.002741599455475807,0.7992056608200073
29,2,1,0.5752576139057055,0.3046328799555445,0.027190007269382477,0.979495644569397
29,2,2,0.8815495204180479,0.13338447378124774,0.45088303089141846,0.9735473990440369
29,2,3,0.4081965701536774,0.3421687443840018,0.0001601187977939844,0.9432872533798218
29,2,4,0.5557174894324817,0.3210644372199731,0.0003425095637794584,0.9760199785232544
29,2,5,0.7261778598185629,0.22485077280771543,0.09505143761634827,0.9858048558235168
29,2,6,0.8500413237779867,0.18298677303492453,0.01402328908443451,0.9874836206436157
29,2,7,0.708151497412473,0.18682178506131225,0.14101068675518036,0.9735506772994995
29,2,8,0.6636936943832552,0.3076769177636713,0.01561479177325964,0.9802328944206238
29,3,1,0.9590854244306684,0.05060367869615203,0.7213746905326843,0.9956681728363037
29,3,2,0.951574582606554,0.059045236738977123,0.7544917464256287,0.9990816712379456
29,3,3,0.9518705485388637,0.044732003124276866,0.7871385216712952,0.9967717528343201
29,3,4,0.8928943080827594,0.09372971641356925,0.45952385663986206,0.994015634059906
29,3,5,0.9610645873472095,0.029090471481942184,0.871146559715271,0.9963960647583008
29,3,6,0.9019308718852699,0.12605834426799825,0.4849104583263397,0.9961515665054321
29,3,7,0.8766779737779871,0.15634470758432092,0.034988321363925934,0.9956743121147156
29,3,8,0.9487707829102874,0.04695371657493049,0.8217838406562805,0.9966135025024414
101,1,1,0.7553463410586119,0.14861439876165244,0.2533205449581146,0.8554399609565735
101,1,2,0.45312614482827485,0.2034782342225977,0.01991032436490059,0.7261373996734619
101,1,3,0.5453733570175245,0.1514209027060108,0.0323166623711586,0.6923373341560364
101,1,4,0.48432268819306046,0.2771309997377677,0.08698759227991104,0.8294864296913147
101,1,5,0.6607442141976207,0.20261641271946032,0.15908874571323395,0.8097835779190063
101,1,6,0.21447949823050294,0.08639399554960984,0.013317258097231388,0.33671411871910095
101,1,7,0.13471652068255935,0.11036448079682008,0.004077727906405926,0.3934643566608429
101,1,8,0.42670855176402256,0.2674439176535491,0.03231731057167053,0.7067321538925171
101,2,1,0.6908874078653753,0.21768237769975476,0.16998712718486786,0.9826512932777405
101,2,2,0.6530843971116838,0.261919581003229,9.370405314257368e-05,0.9920467734336853
101,2,3,0.8074118767399341,0.17265469198678854,0.20769725739955902,0.989707350730896
101,2,4,0.5679409066060543,0.2574447418843476,0.0005666193901561201,0.92557293176651
101,2,5,0.723360726959072,0.1833607792586925,0.09109581261873245,0.9694511294364929
101,2,6,0.77626997907646,0.17672514106526796,0.16492053866386414,0.9745755791664124
101,2,7,0.7711781524121761,0.213164073298572,0.24079957604408264,0.9817925095558167
101,2,8,0.7730352381477132,0.1776319864066197,0.0892237052321434,0.9712851643562317
101,3,1,0.8066648868843913,0.19221541522854024,0.38011932373046875,0.9941174983978271
101,3,2,0.8789957272820175,0.1290707238832012,0.4091986119747162,0.9970781803131104
101,3,3,0.9169473014771938,0.10359258233110291,0.6435049176216125,0.9985899925231934
101,3,4,0.8692056280560791,0.11147036093895624,0.33125755190849304,0.9841352701187134
101,3,5,0.8119503769557923,0.18788315860941138,0.19262881577014923,0.9940356612205505
101,3,6,0.8557552066631615,0.17593211001038095,0.16885676980018616,0.9906036257743835
101,3,7,0.9120694221928716,0.13575818056905134,0.2639901340007782,0.9972853064537048
101,3,8,0.8750542793422937,0.14578366677237597,0.5036118626594543,0.996731698513031
313,1,1,0.705708178691566,0.15180570942039134,0.1583840250968933,0.8681484460830688
