layer,mean_pairwise_cosine,minimum_pairwise_cosine,maximum_pairwise_cosine,mean_pairwise_spearman,mean_top10_jaccard
1,0.329222828779302,0.006308235710081212,0.9192983349617879,0.07261107014759365,0.10472689075630252
2,0.6704221076926874,0.2518595018043266,0.9504397584952968,0.19396128322731418,0.13395498550297313
3,0.9023169014775265,0.7505992554728277,0.9827669908374862,0.241130009872902,0.1749549144894125
