seed,layer,head_a,head_b,cosine_similarity,spearman,top10_jaccard
7,1,1,2,0.04683179073266194,-0.2504242848394716,0.05263157894736842
7,1,1,3,0.3852023400243876,0.14117749978129648,0.1111111111111111
7,1,1,4,0.23451564558838917,0.03535998600297437,0.05263157894736842
7,1,1,5,0.16152545965459555,0.2352025194646138,0.25
7,1,1,6,0.26518786549124285,-0.0322106552357624,0.1111111111111111
7,1,1,7,0.5353536925368907,0.2804479048202257,0.17647058823529413
7,1,1,8,0.05747453954809171,0.13890298311608784,0.1111111111111111
7,1,2,3,0.13726738783102402,-0.03871927215466714,0.05263157894736842
7,1,2,4,0.38856445324330396,0.14390691977954684,0.17647058823529413
7,1,2,5,0.02050465458543502,-0.02101303473011985,0.05263157894736842
7,1,2,6,0.2396993431335059,-0.16651211617531275,0.05263157894736842
7,1,2,7,0.08870852395604818,0.2935001312221153,0.0
7,1,2,8,0.48174926385769756,0.19163677718484823,0.05263157894736842
7,1,3,4,0.33782456875915606,-0.1748753389904645,0.0
7,1,3,5,0.09580774390178207,0.063424022395241,0.1111111111111111
7,1,3,6,0.3454901121421418,-0.20062986615344236,0.05263157894736842
7,1,3,7,0.4820219399461948,0.09057825212142419,0.1111111111111111
7,1,3,8,0.089175280501245,-0.10328055288251246,0.0
7,1,4,5,0.12658079581212672,-0.1259207418423585,0.05263157894736842
7,1,4,6,0.6542872191775636,0.2309684192109177,0.17647058823529413
7,1,4,7,0.36755505350404566,0.08630915930364796,0.05263157894736842
7,1,4,8,0.2973885636985536,0.16584725745779022,0.17647058823529413
7,1,5,6,0.4189848532289737,0.37860204706499867,0.25
7,1,5,7,0.2294202766065812,0.20874814102003325,0.3333333333333333
7,1,5,8,0.10369426477156911,-0.09988627416673955,0.17647058823529413
7,1,6,7,0.3457431854782752,-0.01775872627066748,0.1111111111111111
7,1,6,8,0.34515799033434197,-0.027941562417986177,0.1111111111111111
7,1,7,8,0.23947711001690705,0.2406263668970344,0.1111111111111111
7,2,1,2,0.6926147677867485,0.22232525588312482,0.0
7,2,1,3,0.6294281616443094,0.3597760475898871,0.1111111111111111
7,2,1,4,0.7445469540263913,0.3725833260432158,0.1111111111111111
7,2,1,5,0.5721537346432403,0.39879275653923535,0.17647058823529413
7,2,1,6,0.6099785665105184,0.25724783483509756,0.05263157894736842
7,2,1,7,0.717940095616034,0.3589362260519639,0.1111111111111111
7,2,1,8,0.7664063828588952,0.26169189047327446,0.05263157894736842
7,2,2,3,0.5771061932297058,0.1988452453853556,0.1111111111111111
7,2,2,4,0.7226339434076262,0.36621467938063157,0.17647058823529413
