seed,feature_index,feature,rollout_attention
29,49,ECE Flag Cnt,0.01173381406988483
29,50,Down/Up Ratio,0.019703426733030938
29,51,Pkt Size Avg,0.013584204236394726
29,52,Fwd Seg Size Avg,0.015561206309939735
29,53,Bwd Seg Size Avg,0.011978055932559073
29,54,Subflow Fwd Pkts,0.013915197036112659
29,55,Subflow Fwd Byts,0.012154870957601815
29,56,Subflow Bwd Pkts,0.012768168584443629
29,57,Subflow Bwd Byts,0.013216353952884674
29,58,Init Fwd Win Byts,0.04039287561317906
29,59,Init Bwd Win Byts,0.020127547104493715
29,60,Fwd Act Data Pkts,0.010721299389842898
29,61,Fwd Seg Size Min,0.031109876814298332
29,62,Active Mean,0.01275071753480006
29,63,Active Std,0.01486339133407455
29,64,Active Max,0.011931280270800926
29,65,Active Min,0.01062692359846551
29,66,Idle Mean,0.011441405222285539
29,67,Idle Std,0.011770598066505045
29,68,Idle Max,0.01170331631146837
29,69,Idle Min,0.01304394259932451
101,0,Dst Port,0.018492225877707824
101,1,Protocol,0.011233129938773345
101,2,Flow Duration,0.015856353944400325
101,3,Tot Fwd Pkts,0.00905448522826191
101,4,Tot Bwd Pkts,0.011398083341191523
101,5,TotLen Fwd Pkts,0.012128379225032404
101,6,TotLen Bwd Pkts,0.01317754573392449
101,7,Fwd Pkt Len Max,0.018412060133414343
101,8,Fwd Pkt Len Min,0.01404056245519314
101,9,Fwd Pkt Len Mean,0.015775924272020347
101,10,Fwd Pkt Len Std,0.01716977141040843
101,11,Bwd Pkt Len Max,0.013510411023162305
101,12,Bwd Pkt Len Min,0.015759503294248134
101,13,Bwd Pkt Len Mean,0.011174941719218623
101,14,Bwd Pkt Len Std,0.018377369095105678
101,15,Flow Byts/s,0.014741017846972682
101,16,Flow Pkts/s,0.017036945413565263
101,17,Flow IAT Mean,0.013060713034064975
101,18,Flow IAT Std,0.01520806371991057
101,19,Flow IAT Max,0.014525736311043147
101,20,Flow IAT Min,0.013579974307504017
101,21,Fwd IAT Tot,0.010033678714535199
101,22,Fwd IAT Mean,0.011736867410945706
101,23,Fwd IAT Std,0.014400729487533681
101,24,Fwd IAT Max,0.013213099358836189
101,25,Fwd IAT Min,0.010419691512652207
101,26,Bwd IAT Tot,0.01626228422537679
101,27,Bwd IAT Mean,0.010767168751044665
101,28,Bwd IAT Std,0.010276595705363434
101,29,Bwd IAT Max,0.013076748495223
101,30,Bwd IAT Min,0.009272423027141485
101,31,Fwd PSH Flags,0.012163319544924889
101,32,Fwd URG Flags,0.010087101960380096
101,33,Fwd Header Len,0.010276822024025023
101,34,Bwd Header Len,0.013775950079434551
101,35,Fwd Pkts/s,0.03482326737139374
101,36,Bwd Pkts/s,0.013707955571589991
101,37,Pkt Len Min,0.011437509274401236
101,38,Pkt Len Max,0.012990891351364553
101,39,Pkt Len Mean,0.010340704866393935
101,40,Pkt Len Std,0.016765276202932
101,41,Pkt Len Var,0.012863241936429404
101,42,FIN Flag Cnt,0.013269769311591517
101,43,SYN Flag Cnt,0.016300845571095124
101,44,RST Flag Cnt,0.016767459135735407
101,45,PSH Flag Cnt,0.015767599310493097
101,46,ACK Flag Cnt,0.020377516935695894
101,47,URG Flag Cnt,0.015900145488558337
101,48,CWE Flag Count,0.010249145998386666
101,49,ECE Flag Cnt,0.017675778581178747
101,50,Down/Up Ratio,0.013283222520840354
101,51,Pkt Size Avg,0.01639229990541935
101,52,Fwd Seg Size Avg,0.01833916181931272
101,53,Bwd Seg Size Avg,0.013987857397296466
101,54,Subflow Fwd Pkts,0.011509566124004778
101,55,Subflow Fwd Byts,0.011084861936978996
101,56,Subflow Bwd Pkts,0.008876762258296367
101,57,Subflow Bwd Byts,0.011904473773029167
101,58,Init Fwd Win Byts,0.020857947863987647
101,59,Init Bwd Win Byts,0.017920493977726437
101,60,Fwd Act Data Pkts,0.010748100838100072
101,61,Fwd Seg Size Min,0.04353108207578771
101,62,Active Mean,0.009290985435654875
101,63,Active Std,0.012754521812894382
101,64,Active Max,0.016016203997423872
101,65,Active Min,0.0104554843128426
101,66,Idle Mean,0.010871258069528267
101,67,Idle Std,0.012156761236838065
101,68,Idle Max,0.01095567529409891
101,69,Idle Min,0.010350494550948497
313,0,Dst Port,0.026164232258452103
313,1,Protocol,0.01625018248159904
313,2,Flow Duration,0.015103131780051626
313,3,Tot Fwd Pkts,0.010629753975081258
313,4,Tot Bwd Pkts,0.01342532540729735
313,5,TotLen Fwd Pkts,0.014052011290914379
313,6,TotLen Bwd Pkts,0.010337250190787017
313,7,Fwd Pkt Len Max,0.01436498026305344
313,8,Fwd Pkt Len Min,0.013034808682277799
313,9,Fwd Pkt Len Mean,0.0169082370121032
313,10,Fwd Pkt Len Std,0.01977441909548361
313,11,Bwd Pkt Len Max,0.014830101077677682
313,12,Bwd Pkt Len Min,0.018280438758665696
313,13,Bwd Pkt Len Mean,0.01562361246033106
313,14,Bwd Pkt Len Std,0.016865023266291246
313,15,Flow Byts/s,0.012146370208938606
313,16,Flow Pkts/s,0.011979417729889974
313,17,Flow IAT Mean,0.011969426210271195
313,18,Flow IAT Std,0.01655243313871324
313,19,Flow IAT Max,0.014666171075077727
313,20,Flow IAT Min,0.01326571094978135
313,21,Fwd IAT Tot,0.012240788026247174
313,22,Fwd IAT Mean,0.013125077573931776
313,23,Fwd IAT Std,0.011831936571979895
313,24,Fwd IAT Max,0.01244506957300473
313,25,Fwd IAT Min,0.011792615405283868
313,26,Bwd IAT Tot,0.012023842748021707
313,27,Bwd IAT Mean,0.013191040139645338
313,28,Bwd IAT Std,0.010663474284228869
313,29,Bwd IAT Max,0.011896477109985426
313,30,Bwd IAT Min,0.013255540499812923
313,31,Fwd PSH Flags,0.012408076378051192
313,32,Fwd URG Flags,0.012673966790316626
313,33,Fwd Header Len,0.01426090527093038
313,34,Bwd Header Len,0.01638346644176636
313,35,Fwd Pkts/s,0.01602772127080243
313,36,Bwd Pkts/s,0.01723084789409768
313,37,Pkt Len Min,0.012348183488938957
313,38,Pkt Len Max,0.014574683271348476
313,39,Pkt Len Mean,0.016808871063403785
313,40,Pkt Len Std,0.012178855802631006
313,41,Pkt Len Var,0.009936737355019432
313,42,FIN Flag Cnt,0.010785821286845021
313,43,SYN Flag Cnt,0.01333197638450656
313,44,RST Flag Cnt,0.015348330518463627
313,45,PSH Flag Cnt,0.013173237312003039
313,46,ACK Flag Cnt,0.01677191036287695
313,47,URG Flag Cnt,0.012893541570520028
313,48,CWE Flag Count,0.012465362276998349
313,49,ECE Flag Cnt,0.011385006437194534
313,50,Down/Up Ratio,0.017882754385937005
313,51,Pkt Size Avg,0.012441055587260053
313,52,Fwd Seg Size Avg,0.018304784141946584
313,53,Bwd Seg Size Avg,0.018117800456820987
313,54,Subflow Fwd Pkts,0.012060767330694944
313,55,Subflow Fwd Byts,0.010828826256329194
313,56,Subflow Bwd Pkts,0.011263797976425849
313,57,Subflow Bwd Byts,0.01136155279527884
313,58,Init Fwd Win Byts,0.030584694002754986
313,59,Init Bwd Win Byts,0.015903814040939324
313,60,Fwd Act Data Pkts,0.011525872061611153
313,61,Fwd Seg Size Min,0.03419881126319524
313,62,Active Mean,0.011851560717332177
313,63,Active Std,0.011224659974686801
313,64,Active Max,0.012344641931122169
313,65,Active Min,0.012988645059522241
313,66,Idle Mean,0.011841514657135122
313,67,Idle Std,0.011771796067478135
313,68,Idle Max,0.012698588718194515
313,69,Idle Min,0.011127661899081431
997,0,Dst Port,0.02371161780320108
997,1,Protocol,0.011697331035975367
997,2,Flow Duration,0.014259715142543428
997,3,Tot Fwd Pkts,0.012330128010944463
997,4,Tot Bwd Pkts,0.012159906051238067
997,5,TotLen Fwd Pkts,0.012782151708961464
997,6,TotLen Bwd Pkts,0.011709542290191166
997,7,Fwd Pkt Len Max,0.019793253086390905
997,8,Fwd Pkt Len Min,0.011410380830056965
997,9,Fwd Pkt Len Mean,0.019989806576631963
997,10,Fwd Pkt Len Std,0.014876738481689245
997,11,Bwd Pkt Len Max,0.013242572153103538
997,12,Bwd Pkt Len Min,0.012295423133764416
997,13,Bwd Pkt Len Mean,0.023441252415068448
997,14,Bwd Pkt Len Std,0.01687361868971493
997,15,Flow Byts/s,0.011211671502678655
