group,case_count,pair_count,spearman_mean,spearman_min,spearman_max,cosine_mean,cosine_min,cosine_max,top5_jaccard_mean,top5_jaccard_min,top5_jaccard_max,top10_jaccard_mean,top10_jaccard_min,top10_jaccard_max,top20_jaccard_mean,top20_jaccard_min,top20_jaccard_max
TP,16,10,0.36712798530312307,0.22075059049951887,0.5609832910506517,0.9643687841561525,0.932518453832213,0.9898258126629657,0.3869047619047619,0.25,0.6666666666666666,0.3793956043956044,0.25,0.5384615384615384,0.36458824823674657,0.2903225806451613,0.5384615384615384
TN,16,10,0.4146723821187998,0.2308984340827574,0.5330592249147057,0.9595833051346523,0.9485393394667136,0.9724998146011292,0.2857142857142857,0.25,0.42857142857142855,0.3093137254901961,0.17647058823529413,0.6666666666666666,0.4007297938332421,0.3333333333333333,0.48148148148148145
FP,16,10,0.32437756976642457,0.15685416848919606,0.41478435832385613,0.9484358790093996,0.9192755694636412,0.9757863884751374,0.16666666666666669,0.1111111111111111,0.25,0.2446958270487682,0.1111111111111111,0.5384615384615384,0.3364923267314814,0.21212121212121213,0.42857142857142855
FN,16,10,0.46684629516227805,0.3132709299273905,0.6064036392266643,0.9574838541676126,0.9433042653202081,0.9703566072853924,0.18333333333333335,0.0,0.25,0.2781512605042017,0.17647058823529413,0.42857142857142855,0.3914343391540277,0.2903225806451613,0.48148148148148145
TRUE_ATTACK,32,10,0.43928615169276525,0.22848394716122825,0.5298399090193334,0.9692653352968345,0.9505191456175017,0.9848369560569786,0.3988095238095238,0.25,0.6666666666666666,0.34768368886015943,0.17647058823529413,0.5384615384615384,0.4208777174294416,0.3333333333333333,0.5384615384615384
TRUE_BENIGN,32,10,0.38955471962208027,0.20720846820050737,0.5028606421135509,0.9643953865195076,0.9490651526477847,0.9789547773112844,0.3571428571428571,0.25,0.42857142857142855,0.3043417366946778,0.17647058823529413,0.42857142857142855,0.34966305889553945,0.2903225806451613,0.48148148148148145
PREDICTED_ATTACK,32,10,0.3641116262794156,0.2264543784445805,0.48242498469075323,0.9654610572655583,0.9395627075423096,0.9833972335373641,0.3392857142857143,0.25,0.42857142857142855,0.3595884507649213,0.17647058823529413,0.5384615384615384,0.3526457969172096,0.2903225806451613,0.42857142857142855
PREDICTED_BENIGN,32,10,0.46374595398477825,0.287376432508092,0.5833785320619368,0.9632808709017061,0.9504711743054324,0.976279953845412,0.27976190476190477,0.1111111111111111,0.42857142857142855,0.319047619047619,0.25,0.42857142857142855,0.4314597280114521,0.3333333333333333,0.5384615384615384
ALL,64,10,0.44848219753302426,0.2637564517540023,0.5962557956434258,0.9706380849108983,0.9550243109536691,0.984815386575843,0.4523809523809524,0.42857142857142855,0.6666666666666666,0.3847985347985349,0.25,0.5384615384615384,0.435978835978836,0.3333333333333333,0.48148148148148145
