group_a,group_b,spearman,cosine,top5_jaccard,top10_jaccard,top20_jaccard,l1_distance
TP,TN,0.7261132009447991,0.9757354337056967,0.42857142857142855,0.8181818181818182,0.5384615384615384,0.10527818551859408
TP,FN,0.7038929227539147,0.9775380187295214,0.42857142857142855,0.5384615384615384,0.7391304347826086,0.11821934924911098
TN,FP,0.6083282302510716,0.9788140858605114,0.42857142857142855,0.42857142857142855,0.42857142857142855,0.13537640669005413
FP,FN,0.6353074971568542,0.9699493991704179,0.42857142857142855,0.42857142857142855,0.42857142857142855,0.13580162851913236
TRUE_ATTACK,TRUE_BENIGN,0.8646137695739655,0.9883310988984171,0.42857142857142855,0.6666666666666666,0.5384615384615384,0.07936266249708325
PREDICTED_ATTACK,PREDICTED_BENIGN,0.7542822150293063,0.9841372731230763,0.42857142857142855,0.6666666666666666,0.5384615384615384,0.10237995396696252
