layer,rank,feature_index,feature,five_seed_consensus_direct_attention,seed_standard_deviation
2,22,58,Init Fwd Win Byts,0.014487831526452704,0.0053010508863225265
2,23,17,Flow IAT Mean,0.014453540264432713,0.003875340325360728
2,24,49,ECE Flag Cnt,0.014425101307499915,0.004200295408825347
2,25,53,Bwd Seg Size Avg,0.014313439802218485,0.006217517935194517
2,26,34,Bwd Header Len,0.014277308604394759,0.004821656080575711
2,27,13,Bwd Pkt Len Mean,0.013960699914055026,0.005583779317675063
2,28,35,Fwd Pkts/s,0.013750809330423176,0.0025397701699093962
2,29,39,Pkt Len Mean,0.013590696258413566,0.002749271288332298
2,30,15,Flow Byts/s,0.013483679234367423,0.003581186797997977
2,31,4,Tot Bwd Pkts,0.013453368860980967,0.005266074217350772
2,32,45,PSH Flag Cnt,0.013440721156571031,0.003997602195288873
2,33,16,Flow Pkts/s,0.013319142469917342,0.008820012654030785
2,34,38,Pkt Len Max,0.013300793526096501,0.0017539145864494813
2,35,43,SYN Flag Cnt,0.013280902526984642,0.004103956812030532
2,36,29,Bwd IAT Max,0.013279552679387503,0.003912419566416905
2,37,66,Idle Mean,0.013201819448490098,0.005026406354736048
2,38,68,Idle Max,0.01310206557124029,0.002841781331381229
2,39,11,Bwd Pkt Len Max,0.01299741518246831,0.0036466667748323435
2,40,1,Protocol,0.012976805107410205,0.0017997028401811205
2,41,24,Fwd IAT Max,0.012848183349099446,0.0038871848257441112
2,42,8,Fwd Pkt Len Min,0.012837054277233062,0.003508055445162238
2,43,67,Idle Std,0.012770064474990447,0.0031469219390710033
2,44,63,Active Std,0.012494385460297694,0.00401920488653997
2,45,5,TotLen Fwd Pkts,0.01223600543829693,0.004256280016048172
2,46,36,Bwd Pkts/s,0.012132079641050451,0.002071915869131467
2,47,31,Fwd PSH Flags,0.012090575329277759,0.0016572573375694833
2,48,12,Bwd Pkt Len Min,0.012025132110647064,0.0011229268535496804
2,49,20,Flow IAT Min,0.012003787233275873,0.0024561629544466988
2,50,25,Fwd IAT Min,0.011905714375495716,0.002391954172804265
2,51,64,Active Max,0.011812142462939225,0.002405131787828737
2,52,42,FIN Flag Cnt,0.011600160635492003,0.0019850100543402425
2,53,22,Fwd IAT Mean,0.011519553719918854,0.0026967034826972406
2,54,33,Fwd Header Len,0.0113962734838856,0.002878873818064165
2,55,28,Bwd IAT Std,0.01137901547098412,0.0027085435754766237
2,56,41,Pkt Len Var,0.011287675795664824,0.0033700535122158795
2,57,6,TotLen Bwd Pkts,0.011203294073974334,0.0033564590566714657
2,58,23,Fwd IAT Std,0.01097962659502548,0.0018735663957981713
2,59,32,Fwd URG Flags,0.010828179057773243,0.002006832869364908
2,60,54,Subflow Fwd Pkts,0.01081624084436625,0.0016018095656206138
2,61,62,Active Mean,0.01078169632812299,0.0026131684325370946
2,62,57,Subflow Bwd Byts,0.010697153683563427,0.002677247235669109
2,63,44,RST Flag Cnt,0.0106422362766729,0.0017707952102595003
2,64,56,Subflow Bwd Pkts,0.010641664732545525,0.0033804894358017527
2,65,3,Tot Fwd Pkts,0.01047517070592369,0.002652946797257282
2,66,27,Bwd IAT Mean,0.010144274762861198,0.0016229988562905116
2,67,21,Fwd IAT Tot,0.009857613351210852,0.002526816841604491
2,68,48,CWE Flag Count,0.009831576364306703,0.002269385766363373
2,69,65,Active Min,0.009398540389590183,0.002186010100116899
2,70,55,Subflow Fwd Byts,0.0092031116599512,0.002405324949776037
3,1,40,Pkt Len Std,0.019323294091262388,0.008516543144499645
3,2,61,Fwd Seg Size Min,0.0180784042943586,0.004212218477358309
3,3,43,SYN Flag Cnt,0.01742192058685317,0.004378778397384141
3,4,50,Down/Up Ratio,0.0165052245470588,0.0028508639823675037
3,5,30,Bwd IAT Min,0.016224305076510712,0.004538864305820476
3,6,47,URG Flag Cnt,0.01621649967486893,0.005968225560051145
3,7,42,FIN Flag Cnt,0.016210522997105785,0.006501387972565695
3,8,52,Fwd Seg Size Avg,0.016015684855984477,0.002346409110216269
3,9,0,Dst Port,0.01594243075980588,0.0017334187265676602
3,10,64,Active Max,0.01593081019293295,0.004469033507294058
3,11,18,Flow IAT Std,0.015878486704785293,0.0030583270229962004
3,12,32,Fwd URG Flags,0.01579730145938639,0.0024526079763495367
3,13,35,Fwd Pkts/s,0.015732403166849318,0.0030437130427590172
3,14,38,Pkt Len Max,0.015631790560217827,0.0021821502623309915
3,15,60,Fwd Act Data Pkts,0.01554212503830312,0.006847785947591749
3,16,59,Init Bwd Win Byts,0.015488811454645392,0.0017341919061270696
3,17,46,ACK Flag Cnt,0.01531611184981822,0.0029793869193478232
3,18,48,CWE Flag Count,0.015188944813295914,0.004130789520041174
3,19,2,Flow Duration,0.015157329460150614,0.0016730523375449386
3,20,19,Flow IAT Max,0.015135566096529881,0.0021999797193328965
3,21,5,TotLen Fwd Pkts,0.015086473972258926,0.002966739373707949
3,22,26,Bwd IAT Tot,0.015082506376843805,0.002772565201054967
3,23,39,Pkt Len Mean,0.015010855051752505,0.0023602666309227444
3,24,4,Tot Bwd Pkts,0.014913800622939441,0.0027440308931697696
3,25,20,Flow IAT Min,0.014730346842306024,0.004490581298637435
3,26,58,Init Fwd Win Byts,0.014697377756458458,0.002318519524099856
3,27,63,Active Std,0.014612476878117816,0.004631188810704053
3,28,7,Fwd Pkt Len Max,0.014384056807030124,0.003871382743240871
3,29,24,Fwd IAT Max,0.014380350342438621,0.0019442628737210005
3,30,10,Fwd Pkt Len Std,0.014323828559682797,0.003059015637120105
3,31,14,Bwd Pkt Len Std,0.014284075398942124,0.001463718312456733
3,32,31,Fwd PSH Flags,0.01424592696559376,0.0032365341705018484
3,33,12,Bwd Pkt Len Min,0.014173702450796367,0.0029671207901899657
3,34,36,Bwd Pkts/s,0.014143351099827419,0.0031117488314273364
3,35,17,Flow IAT Mean,0.014143088995902647,0.002500100572443759
3,36,9,Fwd Pkt Len Mean,0.014119740012138173,0.004460134939204731
3,37,8,Fwd Pkt Len Min,0.014000783607639171,0.0015490414835630146
3,38,53,Bwd Seg Size Avg,0.013984410620106595,0.0011549465827364255
3,39,34,Bwd Header Len,0.013983459552638331,0.001352437268397262
3,40,11,Bwd Pkt Len Max,0.013868644994791922,0.002973809144059678
3,41,1,Protocol,0.013854805902259884,0.0026009835189649776
3,42,37,Pkt Len Min,0.013848406738302062,0.0037881544628786553
3,43,56,Subflow Bwd Pkts,0.013738047012306768,0.0038838860357724952
3,44,13,Bwd Pkt Len Mean,0.013670790336231316,0.001866073751619381
3,45,69,Idle Min,0.013666750555820884,0.0025535422685519543
3,46,44,RST Flag Cnt,0.013591756155360287,0.0012300703141819738
3,47,27,Bwd IAT Mean,0.013564311380143251,0.001924710709998998
3,48,62,Active Mean,0.013559767701183691,0.0016767446262767756
3,49,6,TotLen Bwd Pkts,0.013426723063352962,0.002562396934005328
3,50,67,Idle Std,0.013311060896966286,0.0011395511809239108
3,51,29,Bwd IAT Max,0.013300844783891992,0.0016238787120736056
3,52,28,Bwd IAT Std,0.013268647743071297,0.0020636027878631062
3,53,57,Subflow Bwd Byts,0.013175929905400287,0.0034442965786355187
3,54,15,Flow Byts/s,0.013147867517038033,0.0030132037587028634
3,55,22,Fwd IAT Mean,0.013108383672260955,0.002207217732268916
3,56,33,Fwd Header Len,0.013003887712690947,0.0013689120388811135
3,57,51,Pkt Size Avg,0.012871921781304287,0.0016628501805636586
3,58,49,ECE Flag Cnt,0.012794133229907117,0.002572316650511897
3,59,45,PSH Flag Cnt,0.012711282776124778,0.0021246985178374586
3,60,23,Fwd IAT Std,0.012700864939719456,0.0009054699902406324
3,61,41,Pkt Len Var,0.012592509321096094,0.0022756373442444134
3,62,68,Idle Max,0.012554193171800843,0.0015206550796193251
3,63,66,Idle Mean,0.01252624452923804,0.0010269661293452026
3,64,54,Subflow Fwd Pkts,0.012493811170917897,0.0010666138800289565
3,65,21,Fwd IAT Tot,0.012326812574794064,0.0019167930086492033
3,66,3,Tot Fwd Pkts,0.012321092060361126,0.0011933307860857434
3,67,16,Flow Pkts/s,0.012164809113582389,0.0016576671637350002
3,68,25,Fwd IAT Min,0.012148226006972641,0.0014310462213671725
3,69,65,Active Min,0.012142160544859145,0.0035337348596345
3,70,55,Subflow Fwd Byts,0.01150673311411239,0.0013476816888092723
