cell_id,family,direction,bridge,variant,operating_point,threshold,tpr,actual_fpr,projection_prevalence,ppv_target,required_max_fpr,required_fpr_status,actual_fpr_meets_requirement,verification_ppv
STAGE22_RANDOM,STAGE22_RANDOM,IDS2018_RANDOM_VALIDATION,FULL_70_FEATURE,RANDOM_NATURAL,STANDARD,0.5,0.9684581453125792,3.456562464705885e-05,0.001,0.9,0.00010771417476505161,FINITE,True,0.9
STAGE22_RANDOM,STAGE22_RANDOM,IDS2018_RANDOM_VALIDATION,FULL_70_FEATURE,RANDOM_NATURAL,STANDARD,0.5,0.9684581453125792,3.456562464705885e-05,0.0001,0.1,0.0008716995007313945,FINITE,True,0.1
STAGE22_RANDOM,STAGE22_RANDOM,IDS2018_RANDOM_VALIDATION,FULL_70_FEATURE,RANDOM_NATURAL,STANDARD,0.5,0.9684581453125792,3.456562464705885e-05,0.0001,0.25,0.0002905665002437982,FINITE,True,0.25
STAGE22_RANDOM,STAGE22_RANDOM,IDS2018_RANDOM_VALIDATION,FULL_70_FEATURE,RANDOM_NATURAL,STANDARD,0.5,0.9684581453125792,3.456562464705885e-05,0.0001,0.5,9.685550008126605e-05,FINITE,True,0.5
STAGE22_RANDOM,STAGE22_RANDOM,IDS2018_RANDOM_VALIDATION,FULL_70_FEATURE,RANDOM_NATURAL,STANDARD,0.5,0.9684581453125792,3.456562464705885e-05,0.0001,0.75,3.228516669375535e-05,FINITE,False,0.75
STAGE22_RANDOM,STAGE22_RANDOM,IDS2018_RANDOM_VALIDATION,FULL_70_FEATURE,RANDOM_NATURAL,STANDARD,0.5,0.9684581453125792,3.456562464705885e-05,0.0001,0.9,1.0761722231251783e-05,FINITE,False,0.9
STAGE22_RANDOM,STAGE22_RANDOM,IDS2018_RANDOM_VALIDATION,FULL_70_FEATURE,RANDOM_NATURAL,BALANCED,0.46,0.968640673325559,5.98869543303694e-05,0.1,0.1,0.968640673325559,FINITE,True,0.1
STAGE22_RANDOM,STAGE22_RANDOM,IDS2018_RANDOM_VALIDATION,FULL_70_FEATURE,RANDOM_NATURAL,BALANCED,0.46,0.968640673325559,5.98869543303694e-05,0.1,0.25,0.322880224441853,FINITE,True,0.25
STAGE22_RANDOM,STAGE22_RANDOM,IDS2018_RANDOM_VALIDATION,FULL_70_FEATURE,RANDOM_NATURAL,BALANCED,0.46,0.968640673325559,5.98869543303694e-05,0.1,0.5,0.10762674148061768,FINITE,True,0.5
STAGE22_RANDOM,STAGE22_RANDOM,IDS2018_RANDOM_VALIDATION,FULL_70_FEATURE,RANDOM_NATURAL,BALANCED,0.46,0.968640673325559,5.98869543303694e-05,0.1,0.75,0.03587558049353923,FINITE,True,0.75
STAGE22_RANDOM,STAGE22_RANDOM,IDS2018_RANDOM_VALIDATION,FULL_70_FEATURE,RANDOM_NATURAL,BALANCED,0.46,0.968640673325559,5.98869543303694e-05,0.1,0.9,0.01195852683117974,FINITE,True,0.9
STAGE22_RANDOM,STAGE22_RANDOM,IDS2018_RANDOM_VALIDATION,FULL_70_FEATURE,RANDOM_NATURAL,BALANCED,0.46,0.968640673325559,5.98869543303694e-05,0.03,0.1,0.2696216307194855,FINITE,True,0.09999999999999999
STAGE22_RANDOM,STAGE22_RANDOM,IDS2018_RANDOM_VALIDATION,FULL_70_FEATURE,RANDOM_NATURAL,BALANCED,0.46,0.968640673325559,5.98869543303694e-05,0.03,0.25,0.08987387690649516,FINITE,True,0.25
STAGE22_RANDOM,STAGE22_RANDOM,IDS2018_RANDOM_VALIDATION,FULL_70_FEATURE,RANDOM_NATURAL,BALANCED,0.46,0.968640673325559,5.98869543303694e-05,0.03,0.5,0.029957958968831723,FINITE,True,0.5
