cell_id,source_stage,family,direction,bridge,variant,identity_duplicate_of,operating_point,threshold,tpr,fpr,frozen_f1,frozen_precision,observed_prevalence,prevalence_index,projection_prevalence,ppv,npv,lr_plus,lr_plus_status,lr_minus,lr_minus_status,prior_odds,posterior_odds_positive,posterior_probability_positive,posterior_status
STAGE22_RANDOM,Stage22R-2A,STAGE22_RANDOM,IDS2018_RANDOM_VALIDATION,FULL_70_FEATURE,RANDOM_NATURAL,,STANDARD,0.5,0.9684581453125792,3.456562464705885e-05,0.983867395346681,0.9997749303854448,0.13684738945373795,0,0.1,0.9996788805731186,0.9965074688587382,28017.955850683124,FINITE,0.031542944989017524,FINITE,0.11111111111111112,3113.1062056314586,0.9996788805731187,FINITE
STAGE22_RANDOM,Stage22R-2A,STAGE22_RANDOM,IDS2018_RANDOM_VALIDATION,FULL_70_FEATURE,RANDOM_NATURAL,,STANDARD,0.5,0.9684581453125792,3.456562464705885e-05,0.983867395346681,0.9997749303854448,0.13684738945373795,1,0.03,0.9988473083781341,0.9990253957803588,28017.955850683124,FINITE,0.031542944989017524,FINITE,0.030927835051546393,866.5347170314368,0.9988473083781341,FINITE
STAGE22_RANDOM,Stage22R-2A,STAGE22_RANDOM,IDS2018_RANDOM_VALIDATION,FULL_70_FEATURE,RANDOM_NATURAL,,STANDARD,0.5,0.9684581453125792,3.456562464705885e-05,0.983867395346681,0.9997749303854448,0.13684738945373795,2,0.01,0.9964789929419905,0.9996814858776204,28017.955850683124,FINITE,0.031542944989017524,FINITE,0.010101010101010102,283.0096550574053,0.9964789929419904,FINITE
STAGE22_RANDOM,Stage22R-2A,STAGE22_RANDOM,IDS2018_RANDOM_VALIDATION,FULL_70_FEATURE,RANDOM_NATURAL,,STANDARD,0.5,0.9684581453125792,3.456562464705885e-05,0.983867395346681,0.9997749303854448,0.13684738945373795,3,0.003,0.9882776034072802,0.9999050954320378,28017.955850683124,FINITE,0.031542944989017524,FINITE,0.0030090270812437314,84.30678791579676,0.9882776034072803,FINITE
STAGE22_RANDOM,Stage22R-2A,STAGE22_RANDOM,IDS2018_RANDOM_VALIDATION,FULL_70_FEATURE,RANDOM_NATURAL,,STANDARD,0.5,0.9684581453125792,3.456562464705885e-05,0.983867395346681,0.9997749303854448,0.13684738945373795,4,0.001,0.9655718537416295,0.9999684264774102,28017.955850683124,FINITE,0.031542944989017524,FINITE,0.001001001001001001,28.04600185253566,0.9655718537416295,FINITE
STAGE22_RANDOM,Stage22R-2A,STAGE22_RANDOM,IDS2018_RANDOM_VALIDATION,FULL_70_FEATURE,RANDOM_NATURAL,,STANDARD,0.5,0.9684581453125792,3.456562464705885e-05,0.983867395346681,0.9997749303854448,0.13684738945373795,5,0.0001,0.7369857797327997,0.9999968453999917,28017.955850683124,FINITE,0.031542944989017524,FINITE,0.00010001000100010001,2.8020757926475772,0.7369857797327997,FINITE
STAGE22_RANDOM,Stage22R-2A,STAGE22_RANDOM,IDS2018_RANDOM_VALIDATION,FULL_70_FEATURE,RANDOM_NATURAL,,BALANCED,0.46,0.968640673325559,5.98869543303694e-05,0.983881786895567,0.9996101915293835,0.13684738945373795,0,0.1,0.9994438775249933,0.9965275218109085,16174.485481128395,FINITE,0.031361204801480656,FINITE,0.11111111111111112,1797.1650534587106,0.9994438775249933,FINITE
STAGE22_RANDOM,Stage22R-2A,STAGE22_RANDOM,IDS2018_RANDOM_VALIDATION,FULL_70_FEATURE,RANDOM_NATURAL,,BALANCED,0.46,0.968640673325559,5.98869543303694e-05,0.983881786895567,0.9996101915293835,0.13684738945373795,1,0.03,0.9980049549696649,0.9990310056915714,16174.485481128395,FINITE,0.031361204801480656,FINITE,0.030927835051546393,500.241819003971,0.9980049549696649,FINITE
STAGE22_RANDOM,Stage22R-2A,STAGE22_RANDOM,IDS2018_RANDOM_VALIDATION,FULL_70_FEATURE,RANDOM_NATURAL,,BALANCED,0.46,0.968640673325559,5.98869543303694e-05,0.983881786895567,0.9996101915293835,0.13684738945373795,2,0.01,0.9939164845714948,0.9996833204712129,16174.485481128395,FINITE,0.031361204801480656,FINITE,0.010101010101010102,163.37864122351917,0.9939164845714948,FINITE
STAGE22_RANDOM,Stage22R-2A,STAGE22_RANDOM,IDS2018_RANDOM_VALIDATION,FULL_70_FEATURE,RANDOM_NATURAL,,BALANCED,0.46,0.968640673325559,5.98869543303694e-05,0.983881786895567,0.9996101915293835,0.13684738945373795,3,0.003,0.9798669060908226,0.9999056421896885,16174.485481128395,FINITE,0.031361204801480656,FINITE,0.0030090270812437314,48.669464837898886,0.9798669060908226,FINITE
