cell_id,family,direction,bridge,variant,operating_point,threshold,tpr,fpr,ppv_target,required_prevalence,status,verification_ppv
STAGE22_CHRONOLOGICAL,STAGE22_CHRONOLOGICAL,IDS2018_FORWARD_TEMPORAL_VALIDATION,FULL_70_FEATURE,CHRONOLOGICAL_NATURAL,BALANCED,0.07,8.031354407607299e-05,0.0006754163499672639,0.75,0.9618745987868248,FINITE,0.7499999999999996
STAGE22_CHRONOLOGICAL,STAGE22_CHRONOLOGICAL,IDS2018_FORWARD_TEMPORAL_VALIDATION,FULL_70_FEATURE,CHRONOLOGICAL_NATURAL,BALANCED,0.07,8.031354407607299e-05,0.0006754163499672639,0.9,0.9869600986141991,FINITE,0.9000000000000004
STAGE22_CHRONOLOGICAL,STAGE22_CHRONOLOGICAL,IDS2018_FORWARD_TEMPORAL_VALIDATION,FULL_70_FEATURE,CHRONOLOGICAL_NATURAL,SECURITY,0.07,8.031354407607299e-05,0.0006754163499672639,0.1,0.4830481154299328,FINITE,0.1
STAGE22_CHRONOLOGICAL,STAGE22_CHRONOLOGICAL,IDS2018_FORWARD_TEMPORAL_VALIDATION,FULL_70_FEATURE,CHRONOLOGICAL_NATURAL,SECURITY,0.07,8.031354407607299e-05,0.0006754163499672639,0.25,0.737066845225587,FINITE,0.25
STAGE22_CHRONOLOGICAL,STAGE22_CHRONOLOGICAL,IDS2018_FORWARD_TEMPORAL_VALIDATION,FULL_70_FEATURE,CHRONOLOGICAL_NATURAL,SECURITY,0.07,8.031354407607299e-05,0.0006754163499672639,0.5,0.8937271838667434,FINITE,0.4999999999999999
STAGE22_CHRONOLOGICAL,STAGE22_CHRONOLOGICAL,IDS2018_FORWARD_TEMPORAL_VALIDATION,FULL_70_FEATURE,CHRONOLOGICAL_NATURAL,SECURITY,0.07,8.031354407607299e-05,0.0006754163499672639,0.75,0.9618745987868248,FINITE,0.7499999999999996
STAGE22_CHRONOLOGICAL,STAGE22_CHRONOLOGICAL,IDS2018_FORWARD_TEMPORAL_VALIDATION,FULL_70_FEATURE,CHRONOLOGICAL_NATURAL,SECURITY,0.07,8.031354407607299e-05,0.0006754163499672639,0.9,0.9869600986141991,FINITE,0.9000000000000004
STAGE24_2018_TO_2017_BRIDGE62_PUBLISHED,STAGE24_2018_TO_2017,IDS2018_TO_CICIDS2017,bridge62,PUBLISHED,STANDARD,0.5,0.21292361103639226,0.004106291988419324,0.1,0.0021382273527981487,FINITE,0.1
STAGE24_2018_TO_2017_BRIDGE62_PUBLISHED,STAGE24_2018_TO_2017,IDS2018_TO_CICIDS2017,bridge62,PUBLISHED,STANDARD,0.5,0.21292361103639226,0.004106291988419324,0.25,0.006387366773698693,FINITE,0.25
STAGE24_2018_TO_2017_BRIDGE62_PUBLISHED,STAGE24_2018_TO_2017,IDS2018_TO_CICIDS2017,bridge62,PUBLISHED,STANDARD,0.5,0.21292361103639226,0.004106291988419324,0.5,0.01892039728714194,FINITE,0.5
