evaluation_cell,operating_point,threshold,tpr,fpr,observed_precision,projected_ppv_at_0p1pct,fp_per_day,tp_per_day,alerts_per_day,processing_hours_per_day,aci_1,aci_3,aci_10,relative_cost_decision
Stage22 Random,STANDARD,0.5,0.9684581453125792,3.456562464705885e-05,0.9997749303854448,0.9655718537416295,34.56562464705885,969.4275728854647,1003.9931975325235,33.46643991775078,4.183304989718848,1.3944349965729492,0.4183304989718848,MODEL_LOWER_RELATIVE_COST
Stage22 Random,BALANCED,0.46,0.968640673325559,5.98869543303694e-05,0.9996101915293835,0.9418289315178459,59.8869543303694,969.6102836091682,1029.4972379395376,34.31657459798459,4.289571824748074,1.4298572749160245,0.42895718247480735,MODEL_LOWER_RELATIVE_COST
Stage22 Random,SECURITY,0.1,0.9847006033564873,0.006817064646962385,0.9581608639666885,0.1263254841342615,6817.064646962385,985.6862896461334,7802.750936608519,260.0916978869506,32.51146223586883,10.837154078622943,3.2511462235868827,MODEL_LOWER_RELATIVE_COST
Stage22 Chronological,STANDARD,0.5,3.2125417630429196e-05,5.8322860303579896e-05,0.06060606060606061,0.000551067866561745,58.322860303579894,0.03215757520563483,58.35501787878553,1.9451672626261844,0.24314590782827306,0.08104863594275769,0.024314590782827303,IGNORE_LOWER_RELATIVE_COST
Stage22 Chronological,BALANCED,0.07,8.031354407607299e-05,0.0006754163499672639,0.013736263736263736,0.00011901454557619656,675.416349967264,0.08039393801408708,675.4967439052781,22.516558130175937,2.814569766271992,0.938189922090664,0.2814569766271992,IGNORE_LOWER_RELATIVE_COST
Stage22 Chronological,SECURITY,0.07,8.031354407607299e-05,0.0006754163499672639,0.013736263736263736,0.00011901454557619656,675.416349967264,0.08039393801408708,675.4967439052781,22.516558130175937,2.814569766271992,0.938189922090664,0.2814569766271992,IGNORE_LOWER_RELATIVE_COST
IDS2018→CICIDS2017 B62 Published,STANDARD,0.5,0.21292361103639226,0.004106291988419324,0.9271179823534005,0.0493437352022411,4106.291988419323,213.13674778417644,4319.4287362035,143.98095787345,17.99761973418125,5.999206578060417,1.7997619734181252,MODEL_LOWER_RELATIVE_COST
IDS2018→CICIDS2017 B62 Published,BALANCED,0.05000000074505806,0.44136423465782954,0.012905300565703971,0.8935054091338125,0.03310125960083343,12905.300565703972,441.8060406985281,13347.1066064025,444.90355354675,55.61294419334375,18.537648064447918,5.5612944193343745,MODEL_LOWER_RELATIVE_COST
IDS2018→CICIDS2017 B62 Published,SECURITY,0.05000000074505806,0.44136423465782954,0.012905300565703971,0.8935054091338125,0.03310125960083343,12905.300565703972,441.8060406985281,13347.1066064025,444.90355354675,55.61294419334375,18.537648064447918,5.5612944193343745,MODEL_LOWER_RELATIVE_COST
IDS2018→CICIDS2017 B62 Corrected,STANDARD,0.5,0.21292361103639226,0.004106291988419324,0.9271179823534005,0.0493437352022411,4106.291988419323,213.13674778417644,4319.4287362035,143.98095787345,17.99761973418125,5.999206578060417,1.7997619734181252,MODEL_LOWER_RELATIVE_COST
IDS2018→CICIDS2017 B62 Corrected,BALANCED,0.05000000074505806,0.44136423465782954,0.012905300565703971,0.8935054091338125,0.03310125960083343,12905.300565703972,441.8060406985281,13347.1066064025,444.90355354675,55.61294419334375,18.537648064447918,5.5612944193343745,MODEL_LOWER_RELATIVE_COST
