evaluation_cell,threshold,observed_f1,observed_precision,observed_tpr,observed_fpr,observed_prevalence,projected_prevalence,projected_ppv,projected_fp_per_day,projected_tp_per_day,projected_alerts_per_day,projected_hours_per_day,cost_decision
Stage22 Random,0.5,0.983867395346681,0.9997749303854448,0.9684581453125792,3.456562464705885e-05,0.13684738945373795,0.001,0.9655718537416295,34.56562464705885,969.4275728854647,1003.9931975325235,33.46643991775078,MODEL_LOWER_RELATIVE_COST
Stage22 Chronological,0.5,6.421679590296842e-05,0.06060606060606061,3.2125417630429196e-05,5.8322860303579896e-05,0.10484691299808009,0.001,0.000551067866561745,58.322860303579894,0.03215757520563483,58.35501787878553,1.9451672626261844,IGNORE_LOWER_RELATIVE_COST
IDS2018→CICIDS2017 B62 Published,0.5,0.34631246755216444,0.9271179823534005,0.21292361103639226,0.004106291988419324,0.19699633629757277,0.001,0.0493437352022411,4106.291988419323,213.13674778417644,4319.4287362035,143.98095787345,MODEL_LOWER_RELATIVE_COST
IDS2018→CICIDS2017 B62 Corrected,0.5,0.34631246755216444,0.9271179823534005,0.21292361103639226,0.004106291988419324,0.19699633629757277,0.001,0.0493437352022411,4106.291988419323,213.13674778417644,4319.4287362035,143.98095787345,MODEL_LOWER_RELATIVE_COST
IDS2018→CICIDS2017 B70 Published,0.5,0.3667938843146991,0.9402279286612891,0.22783809083181802,0.0035533019488389627,0.19699633629757277,0.001,0.0603131328677882,3553.3019488389627,228.06615698880682,3781.36810582777,126.04560352759232,MODEL_LOWER_RELATIVE_COST
IDS2018→CICIDS2017 B70 Corrected,0.5,0.2501751439428033,0.9091552857865453,0.1450436298296769,0.003555501591001176,0.19699633629757277,0.001,0.03923290050682091,3555.5015910011757,145.18881864832522,3700.690409649501,123.3563469883167,MODEL_LOWER_RELATIVE_COST
CICIDS2017→IDS2018 B62,0.5,0.0007609867461475046,0.02926829268292683,0.00038550501156515033,0.0014975805419886966,0.10484691299808009,0.001,0.00025760984625191203,1497.5805419886967,0.3858909024676179,1497.9664328911642,49.932214429705475,IGNORE_LOWER_RELATIVE_COST
CICIDS2017→IDS2018 B70,0.5,0.000762001524003048,0.03260869565217391,0.00038550501156515033,0.0013395444043918995,0.10484691299808009,0.001,0.00028799326638319063,1339.5444043918994,0.3858909024676179,1339.930295294367,44.6643431764789,IGNORE_LOWER_RELATIVE_COST
