Model,Selected Threshold,Brier Score,Log Loss,ECE Uniform 15,MCE Uniform 15,RMSCE Uniform 15,Adaptive ECE Quantile 15,MCE Quantile 15,RMSCE Quantile 15,Calibration Intercept,Calibration Slope,Calibration Regression Converged
XGBoost Tuned,0.51,0.04277372026730192,0.14196578621655653,0.0025925176372656377,0.043268118074534234,0.005321294633397163,0.0026968731586825886,0.01545830360792623,0.0047043493668265995,0.09982373742129676,1.0394147134041132,True
LightGBM Tuned,0.26,0.04275382352223183,0.14211088072820652,0.0032418563690034628,0.08697301007648206,0.0075576008408302356,0.003836072096694928,0.010759976345980304,0.0054084363325193445,0.17725110400030775,1.1004790635843509,True
