Comparison,Metric,Difference Convention,Lower Values Preferred,Point Estimate,Bootstrap Mean,Bootstrap Median,Bootstrap Standard Error,CI Lower,CI Upper,CI Width,Successful Replicates,Proportion Above Zero,Proportion Below Zero,Interpretation
XGBoost minus LightGBM,Brier Score,XGBoost minus LightGBM,True,1.9896745070087374e-05,2.0515593463541896e-05,1.96601586382808e-05,8.955369601605592e-05,-0.00015625503421295043,0.00019693413411614848,0.0003531891683290989,2000,0.5855,0.4145,CI includes zero
XGBoost minus LightGBM,Log Loss,XGBoost minus LightGBM,True,-0.00014509451164998466,-0.00014005057593670514,-0.00014436539702637752,0.00027527716614065396,-0.0007006263230447665,0.0004103917437485678,0.0011110180667933344,2000,0.2955,0.7045,CI includes zero
XGBoost minus LightGBM,ECE Uniform 15,XGBoost minus LightGBM,True,-0.000649338731737825,-0.00033886497560522977,-0.0003576213549204251,0.000651359006899045,-0.0016271901342144938,0.0009655858088595582,0.0025927759430740523,2000,0.306,0.694,CI includes zero
XGBoost minus LightGBM,MCE Uniform 15,XGBoost minus LightGBM,True,-0.043704892001947826,-0.0428343526745833,-0.04280024170106839,0.034260325495534504,-0.11008149379100908,0.024693713279590128,0.1347752070705992,2000,0.098,0.902,CI includes zero
XGBoost minus LightGBM,RMSCE Uniform 15,XGBoost minus LightGBM,True,-0.002236306207433073,-0.0014830490643534496,-0.0015096132175773558,0.0018362700591823778,-0.005010146734021146,0.002132969081699432,0.007143115815720578,2000,0.2075,0.7925,CI includes zero
XGBoost minus LightGBM,Adaptive ECE Quantile 15,XGBoost minus LightGBM,True,-0.0011391989380123394,-0.0006208338494463478,-0.0006210272305251765,0.0007865518034891731,-0.002090447411373654,0.0009679153354061039,0.003058362746779758,2000,0.2125,0.7875,CI includes zero
XGBoost minus LightGBM,MCE Quantile 15,XGBoost minus LightGBM,True,0.004698327261945925,0.0012485678876992107,0.0013078742381669242,0.0054351889452693815,-0.010084285099235596,0.011507546188286267,0.021591831287521863,2000,0.5995,0.4005,CI includes zero
XGBoost minus LightGBM,RMSCE Quantile 15,XGBoost minus LightGBM,True,-0.000704086965692745,-0.0003659815550251028,-0.0003671553885528688,0.001348230188891284,-0.003014789861873939,0.0023064158043622387,0.005321205666236178,2000,0.4015,0.5985,CI includes zero
