Model,True Class,Count,Mean,Standard Deviation,Minimum,Q01,Q05,Q25,Median,Q75,Q95,Q99,Maximum
XGBoost Tuned,Benign,36000,0.06942758871005195,0.10066504995306651,1.6287615e-05,2.154428042e-05,2.9657873950000003e-05,0.00056551956,0.0210567375,0.111741775,0.2616200305,0.4421402238000002,0.9826179
XGBoost Tuned,Attack,24186,0.8923411149038535,0.26943626495912915,0.0030615884,0.0632949354,0.1492517925,0.9990533,0.99964195,0.9998605,0.9998977,0.9998977,0.9998977
LightGBM Tuned,Benign,36000,0.07086493458686006,0.09881380696319302,5.3713588886115685e-05,6.229953350603352e-05,8.205619583708166e-05,0.0008756249951906,0.0236805558278094,0.11604298659036562,0.25312691130295295,0.44092041503443763,0.993992101809064
LightGBM Tuned,Attack,24186,0.8916421761041736,0.2695271999180721,0.0034202452541393,0.07216975047640434,0.15181431214906554,0.998731934397448,0.9995652464295308,0.999762365904194,0.9997759590707055,0.99981430605414,0.9998417303876846
