Model,Bin Count,Binning Strategy,Prevalence,Reliability,Resolution,Uncertainty,Reconstructed Brier,Actual Brier,Decomposition Residual
XGBoost Tuned,15,Equal Width,0.40185425181935996,2.831617657542144e-05,0.19729623564733306,0.2403674121140624,0.04309949264330476,0.04277372026730192,-0.0003257723760028419
LightGBM Tuned,15,Equal Width,0.40185425181935996,5.711733046931789e-05,0.1974228254822393,0.2403674121140624,0.04300170396229242,0.04275382352223183,-0.00024788044006059107
