cell_id,source_stage,family,direction,bridge,variant,identity_duplicate_of,operating_point,threshold,tpr,fpr,observed_prevalence,projection_prevalence,benign_flows_per_day,attack_flows_per_day,tp_per_day,fn_per_day,fp_per_day,C_FP,C_FN,model_relative_cost,ignore_relative_cost,model_minus_ignore,model_to_ignore_cost_ratio,relative_savings_vs_ignore,preferred_under_frozen_cost_model
STAGE22_RANDOM,Stage22R-2A,STAGE22_RANDOM,IDS2018_RANDOM_VALIDATION,FULL_70_FEATURE,RANDOM_NATURAL,,STANDARD,0.5,0.9684581453125792,3.456562464705885e-05,0.13684738945373795,0.1,1000000.0,111111.11111111111,107606.46059028657,3504.65052082453,34.56562464705885,1,100,350499.61770710006,11111111.11111111,-10760611.49340401,0.03154496559363901,0.968455034406361,MODEL_LOWER_RELATIVE_COST
STAGE22_RANDOM,Stage22R-2A,STAGE22_RANDOM,IDS2018_RANDOM_VALIDATION,FULL_70_FEATURE,RANDOM_NATURAL,,STANDARD,0.5,0.9684581453125792,3.456562464705885e-05,0.13684738945373795,0.03,1000000.0,30927.835051546394,29952.313772554,975.521278992395,34.56562464705885,1,100,97586.69352388656,3092783.5051546395,-2995196.811630753,0.03155303090605665,0.9684469690939433,MODEL_LOWER_RELATIVE_COST
STAGE22_RANDOM,Stage22R-2A,STAGE22_RANDOM,IDS2018_RANDOM_VALIDATION,FULL_70_FEATURE,RANDOM_NATURAL,,STANDARD,0.5,0.9684581453125792,3.456562464705885e-05,0.13684738945373795,0.01,1000000.0,10101.0101010101,9782.40550820787,318.60459280222994,34.56562464705885,1,100,31895.024904870053,1010101.0101010101,-978205.98519614,0.03157607465582135,0.9684239253441786,MODEL_LOWER_RELATIVE_COST
STAGE22_RANDOM,Stage22R-2A,STAGE22_RANDOM,IDS2018_RANDOM_VALIDATION,FULL_70_FEATURE,RANDOM_NATURAL,,STANDARD,0.5,0.9684581453125792,3.456562464705885e-05,0.13684738945373795,0.003,1000000.0,3009.027081243731,2914.1167862966277,94.91029494710361,34.56562464705885,1,100,9525.59511935742,300902.7081243731,-291377.1130050157,0.031656727779997826,0.9683432722200023,MODEL_LOWER_RELATIVE_COST
STAGE22_RANDOM,Stage22R-2A,STAGE22_RANDOM,IDS2018_RANDOM_VALIDATION,FULL_70_FEATURE,RANDOM_NATURAL,,STANDARD,0.5,0.9684581453125792,3.456562464705885e-05,0.13684738945373795,0.001,1000000.0,1001.001001001001,969.4275728854647,31.573428115536302,34.56562464705885,1,100,3191.9084362006893,100100.1001001001,-96908.19166389942,0.03188716527764489,0.9681128347223552,MODEL_LOWER_RELATIVE_COST
STAGE22_RANDOM,Stage22R-2A,STAGE22_RANDOM,IDS2018_RANDOM_VALIDATION,FULL_70_FEATURE,RANDOM_NATURAL,,STANDARD,0.5,0.9684581453125792,3.456562464705885e-05,0.13684738945373795,0.0001,1000000.0,100.0100010001,96.85550008126604,3.15450091883396,34.56562464705885,1,100,350.0157165304548,10001.00010001,-9650.984383479545,0.03499807149588018,0.9650019285041198,MODEL_LOWER_RELATIVE_COST
STAGE22_RANDOM,Stage22R-2A,STAGE22_RANDOM,IDS2018_RANDOM_VALIDATION,FULL_70_FEATURE,RANDOM_NATURAL,,BALANCED,0.46,0.968640673325559,5.98869543303694e-05,0.13684738945373795,0.1,1000000.0,111111.11111111111,107626.74148061767,3484.369630493441,59.8869543303694,1,100,348496.85000367445,11111111.11111111,-10762614.261107435,0.0313647165003307,0.9686352834996693,MODEL_LOWER_RELATIVE_COST
STAGE22_RANDOM,Stage22R-2A,STAGE22_RANDOM,IDS2018_RANDOM_VALIDATION,FULL_70_FEATURE,RANDOM_NATURAL,,BALANCED,0.46,0.968640673325559,5.98869543303694e-05,0.13684738945373795,0.03,1000000.0,30927.835051546394,29957.958968831725,969.8760827146692,59.8869543303694,1,100,97047.49522579729,3092783.5051546395,-2995736.009928842,0.031378690123007785,0.9686213098769921,MODEL_LOWER_RELATIVE_COST
STAGE22_RANDOM,Stage22R-2A,STAGE22_RANDOM,IDS2018_RANDOM_VALIDATION,FULL_70_FEATURE,RANDOM_NATURAL,,BALANCED,0.46,0.968640673325559,5.98869543303694e-05,0.13684738945373795,0.01,1000000.0,10101.0101010101,9784.249225510697,316.7608754994037,59.8869543303694,1,100,31735.97450427074,1010101.0101010101,-978365.0355967394,0.03141861475922803,0.968581385240772,MODEL_LOWER_RELATIVE_COST
STAGE22_RANDOM,Stage22R-2A,STAGE22_RANDOM,IDS2018_RANDOM_VALIDATION,FULL_70_FEATURE,RANDOM_NATURAL,,BALANCED,0.46,0.968640673325559,5.98869543303694e-05,0.13684738945373795,0.003,1000000.0,3009.027081243731,2914.6660180307695,94.36106321296178,59.8869543303694,1,100,9495.993275626548,300902.7081243731,-291406.71484874655,0.03155835098599889,0.9684416490140011,MODEL_LOWER_RELATIVE_COST
STAGE22_RANDOM,Stage22R-2A,STAGE22_RANDOM,IDS2018_RANDOM_VALIDATION,FULL_70_FEATURE,RANDOM_NATURAL,,BALANCED,0.46,0.968640673325559,5.98869543303694e-05,0.13684738945373795,0.001,1000000.0,1001.001001001001,969.6102836091682,31.3907173918328,59.8869543303694,1,100,3198.9586935136495,100100.1001001001,-96901.14140658645,0.03195759734820136,0.9680424026517986,MODEL_LOWER_RELATIVE_COST
STAGE22_RANDOM,Stage22R-2A,STAGE22_RANDOM,IDS2018_RANDOM_VALIDATION,FULL_70_FEATURE,RANDOM_NATURAL,,BALANCED,0.46,0.968640673325559,5.98869543303694e-05,0.13684738945373795,0.0001,1000000.0,100.0100010001,96.8737547080267,3.136246292073304,59.8869543303694,1,100,373.51158353769983,10001.00010001,-9627.4885164723,0.03734742323793461,0.9626525767620654,MODEL_LOWER_RELATIVE_COST
STAGE22_RANDOM,Stage22R-2A,STAGE22_RANDOM,IDS2018_RANDOM_VALIDATION,FULL_70_FEATURE,RANDOM_NATURAL,,SECURITY,0.1,0.9847006033564873,0.006817064646962385,0.13684738945373795,0.1,1000000.0,111111.11111111111,109411.17815072082,1699.9329603902947,6817.064646962385,1,100,176810.36068599185,11111111.11111111,-10934300.750425119,0.01591293246173927,0.9840870675382608,MODEL_LOWER_RELATIVE_COST
STAGE22_RANDOM,Stage22R-2A,STAGE22_RANDOM,IDS2018_RANDOM_VALIDATION,FULL_70_FEATURE,RANDOM_NATURAL,,SECURITY,0.1,0.9847006033564873,0.006817064646962385,0.13684738945373795,0.03,1000000.0,30927.835051546394,30454.65783576765,473.17721577874187,6817.064646962385,1,100,54134.78622483657,3092783.5051546395,-3038648.718929803,0.017503580879363823,0.9824964191206362,MODEL_LOWER_RELATIVE_COST
STAGE22_RANDOM,Stage22R-2A,STAGE22_RANDOM,IDS2018_RANDOM_VALIDATION,FULL_70_FEATURE,RANDOM_NATURAL,,SECURITY,0.1,0.9847006033564873,0.006817064646962385,0.13684738945373795,0.01,1000000.0,10101.0101010101,9946.470740974619,154.53936003548134,6817.064646962385,1,100,22271.00065051052,1010101.0101010101,-987830.0094504996,0.022048290644005413,0.9779517093559945,MODEL_LOWER_RELATIVE_COST
STAGE22_RANDOM,Stage22R-2A,STAGE22_RANDOM,IDS2018_RANDOM_VALIDATION,FULL_70_FEATURE,RANDOM_NATURAL,,SECURITY,0.1,0.9847006033564873,0.006817064646962385,0.13684738945373795,0.003,1000000.0,3009.027081243731,2962.990782416712,46.03629882701902,6817.064646962385,1,100,11420.694529664288,300902.7081243731,-289482.0135947088,0.03795477482025098,0.962045225179749,MODEL_LOWER_RELATIVE_COST
STAGE22_RANDOM,Stage22R-2A,STAGE22_RANDOM,IDS2018_RANDOM_VALIDATION,FULL_70_FEATURE,RANDOM_NATURAL,,SECURITY,0.1,0.9847006033564873,0.006817064646962385,0.13684738945373795,0.001,1000000.0,1001.001001001001,985.6862896461334,15.31471135486752,6817.064646962385,1,100,8348.535782449137,100100.1001001001,-91751.56431765096,0.08340187246666687,0.9165981275333331,MODEL_LOWER_RELATIVE_COST
STAGE22_RANDOM,Stage22R-2A,STAGE22_RANDOM,IDS2018_RANDOM_VALIDATION,FULL_70_FEATURE,RANDOM_NATURAL,,SECURITY,0.1,0.9847006033564873,0.006817064646962385,0.13684738945373795,0.0001,1000000.0,100.0100010001,98.47990832648138,1.530092673618627,6817.064646962385,1,100,6970.073914324248,10001.00010001,-3030.926185685752,0.6969376906932816,0.30306230930671835,MODEL_LOWER_RELATIVE_COST
STAGE22_CHRONOLOGICAL,Stage22R-2C,STAGE22_CHRONOLOGICAL,IDS2018_FORWARD_TEMPORAL_VALIDATION,FULL_70_FEATURE,CHRONOLOGICAL_NATURAL,,STANDARD,0.5,3.2125417630429196e-05,5.8322860303579896e-05,0.10484691299808009,0.1,1000000.0,111111.11111111111,3.5694908478254663,111107.54162026329,58.322860303579894,1,100,11110812.484886633,11111111.11111111,-298.6262244768441,0.9999731236397971,2.6876360202915968e-05,MODEL_LOWER_RELATIVE_COST
STAGE22_CHRONOLOGICAL,Stage22R-2C,STAGE22_CHRONOLOGICAL,IDS2018_FORWARD_TEMPORAL_VALIDATION,FULL_70_FEATURE,CHRONOLOGICAL_NATURAL,,STANDARD,0.5,3.2125417630429196e-05,5.8322860303579896e-05,0.10484691299808009,0.03,1000000.0,30927.835051546394,0.9935696174359546,30926.841481928957,58.322860303579894,1,100,3092742.4710531994,3092783.5051546395,-41.03410144010559,0.999986732307201,1.3267692798967471e-05,MODEL_LOWER_RELATIVE_COST
STAGE22_CHRONOLOGICAL,Stage22R-2C,STAGE22_CHRONOLOGICAL,IDS2018_FORWARD_TEMPORAL_VALIDATION,FULL_70_FEATURE,CHRONOLOGICAL_NATURAL,,STANDARD,0.5,3.2125417630429196e-05,5.8322860303579896e-05,0.10484691299808009,0.01,1000000.0,10101.0101010101,0.3244991679841333,10100.685601842117,58.322860303579894,1,100,1010126.8830445153,1010101.0101010101,25.872943505179137,1.0000256142140702,-2.5614214070127346e-05,IGNORE_LOWER_RELATIVE_COST
STAGE22_CHRONOLOGICAL,Stage22R-2C,STAGE22_CHRONOLOGICAL,IDS2018_FORWARD_TEMPORAL_VALIDATION,FULL_70_FEATURE,CHRONOLOGICAL_NATURAL,,STANDARD,0.5,3.2125417630429196e-05,5.8322860303579896e-05,0.10484691299808009,0.003,1000000.0,3009.027081243731,0.09666625164622626,3008.930414992085,58.322860303579894,1,100,300951.36435951205,300902.7081243731,48.656235138943885,1.0001617008881118,-0.00016170088811175685,IGNORE_LOWER_RELATIVE_COST
STAGE22_CHRONOLOGICAL,Stage22R-2C,STAGE22_CHRONOLOGICAL,IDS2018_FORWARD_TEMPORAL_VALIDATION,FULL_70_FEATURE,CHRONOLOGICAL_NATURAL,,STANDARD,0.5,3.2125417630429196e-05,5.8322860303579896e-05,0.10484691299808009,0.001,1000000.0,1001.001001001001,0.03215757520563483,1000.9688434257954,58.322860303579894,1,100,100155.20720288312,100100.1001001001,55.10710278301849,1.0005505199568023,-0.0005505199568023548,IGNORE_LOWER_RELATIVE_COST
STAGE22_CHRONOLOGICAL,Stage22R-2C,STAGE22_CHRONOLOGICAL,IDS2018_FORWARD_TEMPORAL_VALIDATION,FULL_70_FEATURE,CHRONOLOGICAL_NATURAL,,STANDARD,0.5,3.2125417630429196e-05,5.8322860303579896e-05,0.10484691299808009,0.0001,1000000.0,100.0100010001,0.003212863049347854,100.00678813705066,58.322860303579894,1,100,10059.001674008647,10001.00010001,58.00157399864656,1.0057995773841246,-0.005799577384124671,IGNORE_LOWER_RELATIVE_COST
