cell_id,source_stage,family,direction,bridge,variant,identity_duplicate_of,operating_point,threshold,tpr,fpr,C_FP,C_FN,cost_break_even_prevalence,cost_break_even_percent,status,model_minus_ignore_per_B_at_break_even,verification_attack_flows_per_day,verification_fp_per_day,verification_tp_per_day,verification_fn_per_day,verification_model_cost,verification_ignore_cost,neighbor_relative_epsilon,prevalence_immediately_below,model_minus_ignore_per_B_below,preferred_below,prevalence_immediately_above,model_minus_ignore_per_B_above,preferred_above
STAGE24_2017_TO_2018_BRIDGE70,Stage24-5B,STAGE24_2017_TO_2018,CICIDS2017_TO_IDS2018,bridge70,FLAG_CORRECTED_SOURCE_SEMANTICS,,SECURITY,0.05000000074505806,0.0008191981495759444,0.002502238845282621,1,100,0.029639634817760687,2.9639634817760685,INTERIOR_FINITE,0.0,30544.97677488527,2502.2388452826212,25.02238845282621,30519.95438643244,3054497.677488527,3054497.677488527,1e-06,0.029639605178125868,2.578669593827909e-09,IGNORE_LOWER_RELATIVE_COST,0.029639664457395503,-2.5786697512540646e-09,MODEL_LOWER_RELATIVE_COST
STAGE24_2017_TO_2018_BRIDGE70,Stage24-5B,STAGE24_2017_TO_2018,CICIDS2017_TO_IDS2018,bridge70,FLAG_CORRECTED_SOURCE_SEMANTICS,,STANDARD,0.5,0.00038550501156515033,0.0013395444043918995,1,100,0.033580919388687805,3.3580919388687804,INTERIOR_FINITE,2.168404344971009e-19,34747.78184992587,1339.5444043918994,13.395444043918994,34734.38640588195,3474778.184992587,3474778.184992587,1e-06,0.03358088580776841,1.3860905530987955e-09,IGNORE_LOWER_RELATIVE_COST,0.03358095296960719,-1.3860906489422675e-09,MODEL_LOWER_RELATIVE_COST
STAGE24_2018_TO_2017_BRIDGE62_FLAG_CORRECTED,Stage24-2B,STAGE24_2018_TO_2017,IDS2018_TO_CICIDS2017,bridge62,FLAG_CORRECTED,STAGE24_2018_TO_2017_BRIDGE62_PUBLISHED,BALANCED,0.05000000074505806,0.44136423465782954,0.012905300565703971,1,100,0.00029231023271050505,0.029231023271050507,INTERIOR_FINITE,0.0,292.3957029664827,12905.300565703972,129.0530056570397,163.34269730944303,29239.570296648275,29239.57029664827,1e-06,0.00029230994040027234,1.2909074016340116e-08,IGNORE_LOWER_RELATIVE_COST,0.0002923105250207377,-1.2909074021544287e-08,MODEL_LOWER_RELATIVE_COST
STAGE24_2018_TO_2017_BRIDGE62_FLAG_CORRECTED,Stage24-2B,STAGE24_2018_TO_2017,IDS2018_TO_CICIDS2017,bridge62,FLAG_CORRECTED,STAGE24_2018_TO_2017_BRIDGE62_PUBLISHED,SECURITY,0.05000000074505806,0.44136423465782954,0.012905300565703971,1,100,0.00029231023271050505,0.029231023271050507,INTERIOR_FINITE,0.0,292.3957029664827,12905.300565703972,129.0530056570397,163.34269730944303,29239.570296648275,29239.57029664827,1e-06,0.00029230994040027234,1.2909074016340116e-08,IGNORE_LOWER_RELATIVE_COST,0.0002923105250207377,-1.2909074021544287e-08,MODEL_LOWER_RELATIVE_COST
STAGE24_2018_TO_2017_BRIDGE62_FLAG_CORRECTED,Stage24-2B,STAGE24_2018_TO_2017,IDS2018_TO_CICIDS2017,bridge62,FLAG_CORRECTED,STAGE24_2018_TO_2017_BRIDGE62_PUBLISHED,STANDARD,0.5,0.21292361103639226,0.004106291988419324,1,100,0.0001928156398963324,0.019281563989633238,INTERIOR_FINITE,-8.673617379884035e-19,192.85282493717847,4106.291988419323,41.062919884193235,151.78990505298523,19285.282493717845,19285.28249371785,1e-06,0.0001928154470806925,4.1070838969342605e-09,IGNORE_LOWER_RELATIVE_COST,0.00019281583271197228,-4.107083899536346e-09,MODEL_LOWER_RELATIVE_COST
STAGE24_2018_TO_2017_BRIDGE62_PUBLISHED,Stage24-2A,STAGE24_2018_TO_2017,IDS2018_TO_CICIDS2017,bridge62,PUBLISHED,,BALANCED,0.05000000074505806,0.44136423465782954,0.012905300565703971,1,100,0.00029231023271050505,0.029231023271050507,INTERIOR_FINITE,0.0,292.3957029664827,12905.300565703972,129.0530056570397,163.34269730944303,29239.570296648275,29239.57029664827,1e-06,0.00029230994040027234,1.2909074016340116e-08,IGNORE_LOWER_RELATIVE_COST,0.0002923105250207377,-1.2909074021544287e-08,MODEL_LOWER_RELATIVE_COST
STAGE24_2018_TO_2017_BRIDGE62_PUBLISHED,Stage24-2A,STAGE24_2018_TO_2017,IDS2018_TO_CICIDS2017,bridge62,PUBLISHED,,SECURITY,0.05000000074505806,0.44136423465782954,0.012905300565703971,1,100,0.00029231023271050505,0.029231023271050507,INTERIOR_FINITE,0.0,292.3957029664827,12905.300565703972,129.0530056570397,163.34269730944303,29239.570296648275,29239.57029664827,1e-06,0.00029230994040027234,1.2909074016340116e-08,IGNORE_LOWER_RELATIVE_COST,0.0002923105250207377,-1.2909074021544287e-08,MODEL_LOWER_RELATIVE_COST
STAGE24_2018_TO_2017_BRIDGE62_PUBLISHED,Stage24-2A,STAGE24_2018_TO_2017,IDS2018_TO_CICIDS2017,bridge62,PUBLISHED,,STANDARD,0.5,0.21292361103639226,0.004106291988419324,1,100,0.0001928156398963324,0.019281563989633238,INTERIOR_FINITE,-8.673617379884035e-19,192.85282493717847,4106.291988419323,41.062919884193235,151.78990505298523,19285.282493717845,19285.28249371785,1e-06,0.0001928154470806925,4.1070838969342605e-09,IGNORE_LOWER_RELATIVE_COST,0.00019281583271197228,-4.107083899536346e-09,MODEL_LOWER_RELATIVE_COST
STAGE24_2018_TO_2017_BRIDGE70_FLAG_CORRECTED,Stage24-2D,STAGE24_2018_TO_2017,IDS2018_TO_CICIDS2017,bridge70,FLAG_CORRECTED,,BALANCED,0.07000000029802322,0.4469466292235576,0.01571292382155271,1,100,0.00035143797215241143,0.03514379721524114,INTERIOR_FINITE,0.0,351.56152422157066,15712.923821552711,157.1292382155271,194.43228600604357,35156.15242215707,35156.152422157065,1e-06,0.0003514376207144393,1.571844787315313e-08,IGNORE_LOWER_RELATIVE_COST,0.0003514383235903836,-1.5718447887030917e-08,MODEL_LOWER_RELATIVE_COST
STAGE24_2018_TO_2017_BRIDGE70_FLAG_CORRECTED,Stage24-2D,STAGE24_2018_TO_2017,IDS2018_TO_CICIDS2017,bridge70,FLAG_CORRECTED,,SECURITY,0.07000000029802322,0.4469466292235576,0.01571292382155271,1,100,0.00035143797215241143,0.03514379721524114,INTERIOR_FINITE,0.0,351.56152422157066,15712.923821552711,157.1292382155271,194.43228600604357,35156.15242215707,35156.152422157065,1e-06,0.0003514376207144393,1.571844787315313e-08,IGNORE_LOWER_RELATIVE_COST,0.0003514383235903836,-1.5718447887030917e-08,MODEL_LOWER_RELATIVE_COST
STAGE24_2018_TO_2017_BRIDGE70_FLAG_CORRECTED,Stage24-2D,STAGE24_2018_TO_2017,IDS2018_TO_CICIDS2017,bridge70,FLAG_CORRECTED,,STANDARD,0.5,0.1450436298296769,0.003555501591001176,1,100,0.00024507317123303573,0.024507317123303573,INTERIOR_FINITE,4.336808689942018e-19,245.13324681520737,3555.5015910011757,35.55501591001176,209.57823090519562,24513.32468152074,24513.32468152074,1e-06,0.0002450729261598645,3.5563731621071626e-09,IGNORE_LOWER_RELATIVE_COST,0.00024507341630620696,-3.556373163408205e-09,MODEL_LOWER_RELATIVE_COST
STAGE24_2018_TO_2017_BRIDGE70_PUBLISHED,Stage24-2C,STAGE24_2018_TO_2017,IDS2018_TO_CICIDS2017,bridge70,PUBLISHED,,BALANCED,0.07000000029802322,0.4403044225189457,0.012365068450664447,1,100,0.0002807511419680212,0.02807511419680212,INTERIOR_FINITE,-1.734723475976807e-18,280.82998530709506,12365.068450664447,123.6506845066445,157.1793008004506,28082.998530709505,28082.998530709505,1e-06,0.00028075086121687924,1.2368540925830618e-08,IGNORE_LOWER_RELATIVE_COST,0.00028075142271916315,-1.2368540937973682e-08,MODEL_LOWER_RELATIVE_COST
STAGE24_2018_TO_2017_BRIDGE70_PUBLISHED,Stage24-2C,STAGE24_2018_TO_2017,IDS2018_TO_CICIDS2017,bridge70,PUBLISHED,,SECURITY,0.07000000029802322,0.4403044225189457,0.012365068450664447,1,100,0.0002807511419680212,0.02807511419680212,INTERIOR_FINITE,-1.734723475976807e-18,280.82998530709506,12365.068450664447,123.6506845066445,157.1793008004506,28082.998530709505,28082.998530709505,1e-06,0.00028075086121687924,1.2368540925830618e-08,IGNORE_LOWER_RELATIVE_COST,0.00028075142271916315,-1.2368540937973682e-08,MODEL_LOWER_RELATIVE_COST
STAGE24_2018_TO_2017_BRIDGE70_PUBLISHED,Stage24-2C,STAGE24_2018_TO_2017,IDS2018_TO_CICIDS2017,bridge70,PUBLISHED,,STANDARD,0.5,0.22783809083181802,0.0035533019488389627,1,100,0.00015593300746196,0.015593300746196,INTERIOR_FINITE,0.0,155.95732635689458,3553.3019488389627,35.533019488389634,120.42430686850494,15595.732635689455,15595.73263568946,1e-06,0.00015593285152895253,3.553856111736947e-09,IGNORE_LOWER_RELATIVE_COST,0.00015593316339496745,-3.5538561130379898e-09,MODEL_LOWER_RELATIVE_COST
