source_cpu_execution_order,condition_id,target_id,target_role,comparison_group,hardware_mode,thread_count,batch_size,planned_repetitions,pass_repetitions,resource_limit_oom_repetitions,timeout_resource_limit_repetitions,median_baseline_rss_bytes,min_baseline_rss_bytes,max_baseline_rss_bytes,median_loaded_rss_bytes,min_loaded_rss_bytes,max_loaded_rss_bytes,median_peak_rss_bytes,min_peak_rss_bytes,max_peak_rss_bytes,median_delta_model_rss_bytes,min_delta_model_rss_bytes,max_delta_model_rss_bytes,median_delta_peak_rss_bytes,min_delta_peak_rss_bytes,max_delta_peak_rss_bytes,median_ru_maxrss_bytes_descriptive,min_ru_maxrss_bytes_descriptive,max_ru_maxrss_bytes_descriptive
63,CPUCOND_025,STAGE16_CATBOOST_TUNED,PRIMARY_ARCHITECTURE,GROUP_A_DUPSAFE70,CPU_1_PHYSICAL_CORE,1,8192,5,5,0,0,185556992.0,185098240.0,185585664.0,279138304.0,278667264.0,279203840.0,286875648.0,286445568.0,287051776.0,93569024.0,93474816.0,93642752.0,101347328.0,101302272.0,101466112.0,1210355712.0,1210355712.0,1210355712.0
64,CPUCOND_068,ENS_LGBM_XGB_EQUAL,OPERATIONAL_REFERENCE,GROUP_A_DUPSAFE70,CPU_2_PHYSICAL_CORE,2,256,5,5,0,0,178954240.0,178761728.0,179183616.0,294793216.0,294637568.0,295063552.0,296660992.0,296546304.0,296931328.0,115838976.0,115736576.0,116019200.0,117706752.0,117604352.0,117886976.0,1210355712.0,1210355712.0,1210355712.0
65,CPUCOND_060,STAGE21_MASKED_VIT_V1,PRIMARY_ARCHITECTURE,GROUP_B_PACKET_IMAGE,CPU_2_PHYSICAL_CORE,2,8192,5,5,0,0,905719808.0,905535488.0,905891840.0,910065664.0,909881344.0,910172160.0,8679124992.0,8663953408.0,8679235584.0,4345856.0,4280320.0,4345856.0,7773343744.0,7758417920.0,7773405184.0,8678670336.0,8663584768.0,8678854656.0
66,CPUCOND_073,FT_BALANCED_SINGLE_RESOURCE_REFERENCE,RESOURCE_DECOMPOSITION_REFERENCE,GROUP_A_DUPSAFE70,CPU_1_PHYSICAL_CORE,1,256,5,5,0,0,366960640.0,366407680.0,367120384.0,373477376.0,372916224.0,373624832.0,488108032.0,477868032.0,496467968.0,6512640.0,6500352.0,6516736.0,120987648.0,110759936.0,129507328.0,1210355712.0,1210355712.0,1210355712.0
67,CPUCOND_063,ENS_LGBM_XGB_EQUAL,OPERATIONAL_REFERENCE,GROUP_A_DUPSAFE70,CPU_1_PHYSICAL_CORE,1,256,5,5,0,0,178806784.0,178163712.0,179007488.0,292728832.0,292208640.0,293089280.0,294531072.0,294060032.0,294887424.0,113954816.0,113774592.0,114081792.0,115752960.0,115576832.0,115896320.0,1210355712.0,1210355712.0,1210355712.0
68,CPUCOND_015,STAGE16_LIGHTGBM_TUNED,PRIMARY_ARCHITECTURE,GROUP_A_DUPSAFE70,CPU_1_PHYSICAL_CORE,1,8192,5,5,0,0,185511936.0,185016320.0,185831424.0,274169856.0,273526784.0,274276352.0,274735104.0,274255872.0,274984960.0,88510464.0,88412160.0,88707072.0,89223168.0,88981504.0,89415680.0,1210355712.0,1210355712.0,1210355712.0
69,CPUCOND_004,STAGE16_XGBOOST_TUNED,PRIMARY_ARCHITECTURE,GROUP_A_DUPSAFE70,CPU_1_PHYSICAL_CORE,1,1024,5,5,0,0,179568640.0,179183616.0,180420608.0,215216128.0,214884352.0,216133632.0,216334336.0,216006656.0,217251840.0,35700736.0,35647488.0,35713024.0,36823040.0,36765696.0,36831232.0,1210355712.0,1210355712.0,1210355712.0
70,CPUCOND_043,STAGE20_MASKED_CNN_V1,PRIMARY_ARCHITECTURE,GROUP_B_PACKET_IMAGE,CPU_1_PHYSICAL_CORE,1,256,5,5,0,0,242348032.0,242249728.0,242708480.0,246677504.0,246554624.0,246947840.0,1361317888.0,1360248832.0,1361952768.0,4304896.0,4239360.0,4341760.0,1118777344.0,1117999104.0,1119617024.0,1362661376.0,1362608128.0,1362927616.0
71,CPUCOND_040,FT_BALANCED_5_CHECKPOINT_SOFT_VOTING,PRIMARY_ARCHITECTURE,GROUP_A_DUPSAFE70,CPU_2_PHYSICAL_CORE,2,8192,5,5,0,0,373542912.0,373166080.0,374095872.0,380944384.0,380641280.0,381501440.0,2626486272.0,2623369216.0,2630631424.0,7462912.0,7401472.0,7475200.0,2253320192.0,2249273344.0,2256969728.0,2626228224.0,2623356928.0,2630533120.0
72,CPUCOND_034,FT_BALANCED_5_CHECKPOINT_SOFT_VOTING,PRIMARY_ARCHITECTURE,GROUP_A_DUPSAFE70,CPU_1_PHYSICAL_CORE,1,1024,5,5,0,0,367927296.0,367370240.0,367996928.0,377122816.0,376598528.0,377151488.0,736772096.0,736370688.0,847310848.0,9207808.0,9154560.0,9228288.0,368775168.0,368414720.0,479940608.0,1210355712.0,1210355712.0,1210355712.0
73,CPUCOND_071,FT_BALANCED_SINGLE_RESOURCE_REFERENCE,RESOURCE_DECOMPOSITION_REFERENCE,GROUP_A_DUPSAFE70,CPU_1_PHYSICAL_CORE,1,1,5,5,0,0,366321664.0,366223360.0,366694400.0,373026816.0,372862976.0,373338112.0,381812736.0,381648896.0,382124032.0,6643712.0,6639616.0,6705152.0,15429632.0,15421440.0,15491072.0,1210355712.0,1210355712.0,1210355712.0
74,CPUCOND_005,STAGE16_XGBOOST_TUNED,PRIMARY_ARCHITECTURE,GROUP_A_DUPSAFE70,CPU_1_PHYSICAL_CORE,1,8192,5,5,0,0,185724928.0,185212928.0,185913344.0,227315712.0,226934784.0,227532800.0,228429824.0,228052992.0,228651008.0,41635840.0,41590784.0,41721856.0,42754048.0,42704896.0,42840064.0,1210355712.0,1210355712.0,1210355712.0
75,CPUCOND_006,STAGE16_XGBOOST_TUNED,PRIMARY_ARCHITECTURE,GROUP_A_DUPSAFE70,CPU_2_PHYSICAL_CORE,2,1,5,5,0,0,178819072.0,178466816.0,179187712.0,215035904.0,214917120.0,215482368.0,216203264.0,216084480.0,216649728.0,36339712.0,36216832.0,36450304.0,37507072.0,37384192.0,37617664.0,1210355712.0,1210355712.0,1210355712.0
76,CPUCOND_030,STAGE16_CATBOOST_TUNED,PRIMARY_ARCHITECTURE,GROUP_A_DUPSAFE70,CPU_2_PHYSICAL_CORE,2,8192,5,5,0,0,185409536.0,185139200.0,185913344.0,278769664.0,278687744.0,279302144.0,286904320.0,286773248.0,287449088.0,93483008.0,93138944.0,93548544.0,101629952.0,101294080.0,101658624.0,1210355712.0,1210355712.0,1210355712.0
77,CPUCOND_074,FT_BALANCED_SINGLE_RESOURCE_REFERENCE,RESOURCE_DECOMPOSITION_REFERENCE,GROUP_A_DUPSAFE70,CPU_1_PHYSICAL_CORE,1,1024,5,5,0,0,367702016.0,367398912.0,367964160.0,373788672.0,373477376.0,374030336.0,714153984.0,695537664.0,714440704.0,6082560.0,6066176.0,6144000.0,346480640.0,327663616.0,346501120.0,1210355712.0,1210355712.0,1210355712.0
78,CPUCOND_011,STAGE16_LIGHTGBM_TUNED,PRIMARY_ARCHITECTURE,GROUP_A_DUPSAFE70,CPU_1_PHYSICAL_CORE,1,1,5,5,0,0,178569216.0,178384896.0,178925568.0,263680000.0,263593984.0,264159232.0,264384512.0,264290304.0,264863744.0,85172224.0,85008384.0,85667840.0,85872640.0,85704704.0,86257664.0,1210355712.0,1210355712.0,1210355712.0
79,CPUCOND_028,STAGE16_CATBOOST_TUNED,PRIMARY_ARCHITECTURE,GROUP_A_DUPSAFE70,CPU_2_PHYSICAL_CORE,2,256,5,5,0,0,178724864.0,178634752.0,178909184.0,271405056.0,271396864.0,271585280.0,274419712.0,274313216.0,274587648.0,92676096.0,92561408.0,92819456.0,95694848.0,95469568.0,95858688.0,1210355712.0,1210355712.0,1210355712.0
80,CPUCOND_053,STAGE21_MASKED_VIT_V1,PRIMARY_ARCHITECTURE,GROUP_B_PACKET_IMAGE,CPU_1_PHYSICAL_CORE,1,256,5,5,0,0,255549440.0,255135744.0,255709184.0,259829760.0,259481600.0,260059136.0,607408128.0,599134208.0,607969280.0,4345856.0,4280320.0,4349952.0,352206848.0,343617536.0,352272384.0,1210355712.0,1210355712.0,1210355712.0
