source_cpu_execution_order,condition_id,target_id,target_role,comparison_group,hardware_mode,thread_count,batch_size,planned_repetitions,pass_repetitions,resource_limit_oom_repetitions,timeout_resource_limit_repetitions,median_baseline_rss_bytes,min_baseline_rss_bytes,max_baseline_rss_bytes,median_loaded_rss_bytes,min_loaded_rss_bytes,max_loaded_rss_bytes,median_peak_rss_bytes,min_peak_rss_bytes,max_peak_rss_bytes,median_delta_model_rss_bytes,min_delta_model_rss_bytes,max_delta_model_rss_bytes,median_delta_peak_rss_bytes,min_delta_peak_rss_bytes,max_delta_peak_rss_bytes,median_ru_maxrss_bytes_descriptive,min_ru_maxrss_bytes_descriptive,max_ru_maxrss_bytes_descriptive
16,CPUCOND_037,FT_BALANCED_5_CHECKPOINT_SOFT_VOTING,PRIMARY_ARCHITECTURE,GROUP_A_DUPSAFE70,CPU_2_PHYSICAL_CORE,2,64,5,5,0,0,366854144.0,366764032.0,367218688.0,376549376.0,376479744.0,376893440.0,422113280.0,412733440.0,432832512.0,9674752.0,9666560.0,9748480.0,55349248.0,45514752.0,66019328.0,1210355712.0,1210355712.0,1210355712.0
17,CPUCOND_050,STAGE20_MASKED_CNN_V1,PRIMARY_ARCHITECTURE,GROUP_B_PACKET_IMAGE,CPU_2_PHYSICAL_CORE,2,8192,5,0,5,0,,,,,,,,,,,,,,,,,,
18,CPUCOND_010,STAGE16_XGBOOST_TUNED,PRIMARY_ARCHITECTURE,GROUP_A_DUPSAFE70,CPU_2_PHYSICAL_CORE,2,8192,5,5,0,0,185511936.0,185327616.0,185999360.0,227196928.0,226996224.0,227655680.0,228380672.0,228184064.0,228839424.0,41656320.0,41537536.0,41742336.0,42840064.0,42725376.0,42921984.0,1210355712.0,1210355712.0,1210355712.0
19,CPUCOND_045,STAGE20_MASKED_CNN_V1,PRIMARY_ARCHITECTURE,GROUP_B_PACKET_IMAGE,CPU_1_PHYSICAL_CORE,1,8192,5,0,5,0,,,,,,,,,,,,,,,,,,
20,CPUCOND_016,STAGE16_LIGHTGBM_TUNED,PRIMARY_ARCHITECTURE,GROUP_A_DUPSAFE70,CPU_2_PHYSICAL_CORE,2,1,5,5,0,0,178450432.0,178270208.0,178651136.0,263913472.0,263548928.0,264052736.0,264511488.0,264253440.0,264671232.0,85315584.0,85278720.0,85602304.0,86020096.0,85913600.0,86200320.0,1210355712.0,1210355712.0,1210355712.0
21,CPUCOND_075,FT_BALANCED_SINGLE_RESOURCE_REFERENCE,RESOURCE_DECOMPOSITION_REFERENCE,GROUP_A_DUPSAFE70,CPU_1_PHYSICAL_CORE,1,8192,5,5,0,0,373620736.0,373100544.0,373919744.0,377946112.0,377425920.0,378257408.0,2617282560.0,2616782848.0,2619289600.0,4333568.0,4325376.0,4382720.0,2243399680.0,2243350528.0,2245705728.0,2617257984.0,2616590336.0,2619269120.0
22,CPUCOND_077,FT_BALANCED_SINGLE_RESOURCE_REFERENCE,RESOURCE_DECOMPOSITION_REFERENCE,GROUP_A_DUPSAFE70,CPU_2_PHYSICAL_CORE,2,64,5,5,0,0,366673920.0,366469120.0,366919680.0,373338112.0,373063680.0,373518336.0,411275264.0,407736320.0,414859264.0,6660096.0,6594560.0,6664192.0,44806144.0,41041920.0,47939584.0,1210355712.0,1210355712.0,1210355712.0
23,CPUCOND_049,STAGE20_MASKED_CNN_V1,PRIMARY_ARCHITECTURE,GROUP_B_PACKET_IMAGE,CPU_2_PHYSICAL_CORE,2,1024,5,5,0,0,267558912.0,267337728.0,267743232.0,271904768.0,271679488.0,272019456.0,4700880896.0,4698177536.0,4706971648.0,4341760.0,4276224.0,4345856.0,4433137664.0,4430839808.0,4439580672.0,4708855808.0,4708667392.0,4709089280.0
24,CPUCOND_029,STAGE16_CATBOOST_TUNED,PRIMARY_ARCHITECTURE,GROUP_A_DUPSAFE70,CPU_2_PHYSICAL_CORE,2,1024,5,5,0,0,179703808.0,179216384.0,180375552.0,271978496.0,271441920.0,272539648.0,275427328.0,275030016.0,276090880.0,92184576.0,92160000.0,92274688.0,95723520.0,95682560.0,95813632.0,1210355712.0,1210355712.0,1210355712.0
25,CPUCOND_070,ENS_LGBM_XGB_EQUAL,OPERATIONAL_REFERENCE,GROUP_A_DUPSAFE70,CPU_2_PHYSICAL_CORE,2,8192,5,5,0,0,185643008.0,185516032.0,185757696.0,302874624.0,302731264.0,303034368.0,304742400.0,304594944.0,304902144.0,117231616.0,117047296.0,117362688.0,119144448.0,118910976.0,119226368.0,1210355712.0,1210355712.0,1210355712.0
26,CPUCOND_076,FT_BALANCED_SINGLE_RESOURCE_REFERENCE,RESOURCE_DECOMPOSITION_REFERENCE,GROUP_A_DUPSAFE70,CPU_2_PHYSICAL_CORE,2,1,5,5,0,0,366481408.0,366264320.0,367280128.0,373182464.0,372961280.0,373919744.0,382160896.0,381935616.0,382898176.0,6643712.0,6639616.0,6701056.0,15622144.0,15618048.0,15679488.0,1210355712.0,1210355712.0,1210355712.0
27,CPUCOND_012,STAGE16_LIGHTGBM_TUNED,PRIMARY_ARCHITECTURE,GROUP_A_DUPSAFE70,CPU_1_PHYSICAL_CORE,1,64,5,5,0,0,178851840.0,178733056.0,179130368.0,264265728.0,264032256.0,264486912.0,264966144.0,264626176.0,265158656.0,85356544.0,85299200.0,85479424.0,85950464.0,85893120.0,86179840.0,1210355712.0,1210355712.0,1210355712.0
28,CPUCOND_055,STAGE21_MASKED_VIT_V1,PRIMARY_ARCHITECTURE,GROUP_B_PACKET_IMAGE,CPU_1_PHYSICAL_CORE,1,8192,5,5,0,0,905469952.0,905224192.0,905740288.0,909815808.0,909574144.0,910086144.0,8663527424.0,8663064576.0,8665604096.0,4345856.0,4280320.0,4349952.0,7757787136.0,7757721600.0,7760134144.0,8663232512.0,8662831104.0,8665366528.0
29,CPUCOND_051,STAGE21_MASKED_VIT_V1,PRIMARY_ARCHITECTURE,GROUP_B_PACKET_IMAGE,CPU_1_PHYSICAL_CORE,1,1,5,5,0,0,234237952.0,233861120.0,234381312.0,238489600.0,238178304.0,238632960.0,249294848.0,248975360.0,249749504.0,4251648.0,4251648.0,4317184.0,15114240.0,15048704.0,15511552.0,1210355712.0,1210355712.0,1210355712.0
30,CPUCOND_024,STAGE16_CATBOOST_TUNED,PRIMARY_ARCHITECTURE,GROUP_A_DUPSAFE70,CPU_1_PHYSICAL_CORE,1,1024,5,5,0,0,179458048.0,179396608.0,179630080.0,271732736.0,271659008.0,271933440.0,275013632.0,274944000.0,275296256.0,92209152.0,92180480.0,92336128.0,95559680.0,95485952.0,95666176.0,1210355712.0,1210355712.0,1210355712.0
31,CPUCOND_080,FT_BALANCED_SINGLE_RESOURCE_REFERENCE,RESOURCE_DECOMPOSITION_REFERENCE,GROUP_A_DUPSAFE70,CPU_2_PHYSICAL_CORE,2,8192,5,5,0,0,373264384.0,373055488.0,373923840.0,377606144.0,377389056.0,378261504.0,2617028608.0,2616815616.0,2617683968.0,4337664.0,4325376.0,4386816.0,2243760128.0,2243760128.0,2243825664.0,2616754176.0,2616651776.0,2617634816.0
32,CPUCOND_035,FT_BALANCED_5_CHECKPOINT_SOFT_VOTING,PRIMARY_ARCHITECTURE,GROUP_A_DUPSAFE70,CPU_1_PHYSICAL_CORE,1,8192,5,5,0,0,373174272.0,373137408.0,373956608.0,380645376.0,380579840.0,381358080.0,2627391488.0,2621235200.0,2636668928.0,7462912.0,7401472.0,7536640.0,2254254080.0,2247823360.0,2263486464.0,2627207168.0,2621120512.0,2636357632.0
33,CPUCOND_022,STAGE16_CATBOOST_TUNED,PRIMARY_ARCHITECTURE,GROUP_A_DUPSAFE70,CPU_1_PHYSICAL_CORE,1,64,5,5,0,0,178667520.0,178434048.0,179056640.0,271564800.0,271151104.0,271798272.0,274182144.0,273788928.0,274554880.0,92717056.0,92598272.0,92909568.0,95473664.0,95256576.0,95514624.0,1210355712.0,1210355712.0,1210355712.0
