memory_execution_order,source_cpu_execution_order,condition_id,target_id,target_role,comparison_group,hardware_mode,thread_count,batch_size,memory_repetition,status,baseline_rss_bytes,loaded_rss_bytes,peak_rss_bytes,delta_model_rss_bytes,delta_peak_rss_bytes,ru_maxrss_bytes_descriptive,rss_sample_count,parent_observed_peak_rss_bytes,worker_ram_limit_bytes
183,39,CPUCOND_046,STAGE20_MASKED_CNN_V1,PRIMARY_ARCHITECTURE,GROUP_B_PACKET_IMAGE,CPU_2_PHYSICAL_CORE,2,1,3,PASS,234061824,238383104,254808064,4321280,20746240,1210355712,5,254939136,28610476236
184,47,CPUCOND_003,STAGE16_XGBOOST_TUNED,PRIMARY_ARCHITECTURE,GROUP_A_DUPSAFE70,CPU_1_PHYSICAL_CORE,1,256,5,PASS,179019776,215158784,216281088,36139008,37261312,1210355712,3,220221440,28610476236
185,54,CPUCOND_013,STAGE16_LIGHTGBM_TUNED,PRIMARY_ARCHITECTURE,GROUP_A_DUPSAFE70,CPU_1_PHYSICAL_CORE,1,256,3,PASS,178749440,263962624,264667136,85213184,85917696,1210355712,5,269373440,28610476236
186,19,CPUCOND_045,STAGE20_MASKED_CNN_V1,PRIMARY_ARCHITECTURE,GROUP_B_PACKET_IMAGE,CPU_1_PHYSICAL_CORE,1,8192,1,RESOURCE_LIMIT_OOM,,,,,,,,28614340608,28610476236
187,74,CPUCOND_005,STAGE16_XGBOOST_TUNED,PRIMARY_ARCHITECTURE,GROUP_A_DUPSAFE70,CPU_1_PHYSICAL_CORE,1,8192,3,PASS,185212928,226934784,228052992,41721856,42840064,1210355712,14,228188160,28610476236
188,10,CPUCOND_047,STAGE20_MASKED_CNN_V1,PRIMARY_ARCHITECTURE,GROUP_B_PACKET_IMAGE,CPU_2_PHYSICAL_CORE,2,64,1,PASS,236113920,240394240,524795904,4280320,288681984,1210355712,138,524316672,28610476236
189,41,CPUCOND_036,FT_BALANCED_5_CHECKPOINT_SOFT_VOTING,PRIMARY_ARCHITECTURE,GROUP_A_DUPSAFE70,CPU_2_PHYSICAL_CORE,2,1,4,PASS,367321088,377098240,386076672,9777152,18755584,1210355712,5,386838528,28610476236
190,57,CPUCOND_058,STAGE21_MASKED_VIT_V1,PRIMARY_ARCHITECTURE,GROUP_B_PACKET_IMAGE,CPU_2_PHYSICAL_CORE,2,256,5,PASS,255680512,259964928,608620544,4284416,352940032,1210355712,86,608620544,28610476236
191,12,CPUCOND_038,FT_BALANCED_5_CHECKPOINT_SOFT_VOTING,PRIMARY_ARCHITECTURE,GROUP_A_DUPSAFE70,CPU_2_PHYSICAL_CORE,2,256,3,PASS,367554560,377139200,491839488,9584640,124284928,1210355712,199,491839488,28610476236
192,32,CPUCOND_035,FT_BALANCED_5_CHECKPOINT_SOFT_VOTING,PRIMARY_ARCHITECTURE,GROUP_A_DUPSAFE70,CPU_1_PHYSICAL_CORE,1,8192,4,PASS,373182464,380645376,2636668928,7462912,2263486464,2636357632,12789,2636668928,28610476236
193,19,CPUCOND_045,STAGE20_MASKED_CNN_V1,PRIMARY_ARCHITECTURE,GROUP_B_PACKET_IMAGE,CPU_1_PHYSICAL_CORE,1,8192,5,RESOURCE_LIMIT_OOM,,,,,,,,28610981888,28610476236
194,45,CPUCOND_014,STAGE16_LIGHTGBM_TUNED,PRIMARY_ARCHITECTURE,GROUP_A_DUPSAFE70,CPU_1_PHYSICAL_CORE,1,1024,5,PASS,179961856,264634368,265338880,84672512,85377024,1210355712,12,270045184,28610476236
195,16,CPUCOND_037,FT_BALANCED_5_CHECKPOINT_SOFT_VOTING,PRIMARY_ARCHITECTURE,GROUP_A_DUPSAFE70,CPU_2_PHYSICAL_CORE,2,64,2,PASS,366813184,376479744,432832512,9666560,66019328,1210355712,42,432832512,28610476236
196,77,CPUCOND_074,FT_BALANCED_SINGLE_RESOURCE_REFERENCE,RESOURCE_DECOMPOSITION_REFERENCE,GROUP_A_DUPSAFE70,CPU_1_PHYSICAL_CORE,1,1024,3,PASS,367398912,373477376,713883648,6078464,346484736,1210355712,313,713883648,28610476236
197,2,CPUCOND_041,STAGE20_MASKED_CNN_V1,PRIMARY_ARCHITECTURE,GROUP_B_PACKET_IMAGE,CPU_1_PHYSICAL_CORE,1,1,2,PASS,233680896,238026752,254152704,4345856,20471808,1210355712,5,254218240,28610476236
198,7,CPUCOND_069,ENS_LGBM_XGB_EQUAL,OPERATIONAL_REFERENCE,GROUP_A_DUPSAFE70,CPU_2_PHYSICAL_CORE,2,1024,3,PASS,179531776,294707200,296574976,115175424,117043200,1210355712,10,300109824,28610476236
199,36,CPUCOND_033,FT_BALANCED_5_CHECKPOINT_SOFT_VOTING,PRIMARY_ARCHITECTURE,GROUP_A_DUPSAFE70,CPU_1_PHYSICAL_CORE,1,256,4,PASS,367058944,376709120,519405568,9650176,152346624,1210355712,348,519405568,28610476236
200,14,CPUCOND_064,ENS_LGBM_XGB_EQUAL,OPERATIONAL_REFERENCE,GROUP_A_DUPSAFE70,CPU_1_PHYSICAL_CORE,1,1024,1,PASS,179712000,293011456,294809600,113299456,115097600,1210355712,14,298414080,28610476236
201,32,CPUCOND_035,FT_BALANCED_5_CHECKPOINT_SOFT_VOTING,PRIMARY_ARCHITECTURE,GROUP_A_DUPSAFE70,CPU_1_PHYSICAL_CORE,1,8192,2,PASS,373137408,380674048,2627391488,7536640,2254254080,2627207168,12700,2627391488,28610476236
202,19,CPUCOND_045,STAGE20_MASKED_CNN_V1,PRIMARY_ARCHITECTURE,GROUP_B_PACKET_IMAGE,CPU_1_PHYSICAL_CORE,1,8192,4,RESOURCE_LIMIT_OOM,,,,,,,,28616736768,28610476236
203,77,CPUCOND_074,FT_BALANCED_SINGLE_RESOURCE_REFERENCE,RESOURCE_DECOMPOSITION_REFERENCE,GROUP_A_DUPSAFE70,CPU_1_PHYSICAL_CORE,1,1024,4,PASS,367702016,373788672,714203136,6086656,346501120,1210355712,315,714203136,28610476236
204,5,CPUCOND_052,STAGE21_MASKED_VIT_V1,PRIMARY_ARCHITECTURE,GROUP_B_PACKET_IMAGE,CPU_1_PHYSICAL_CORE,1,64,4,PASS,239820800,244109312,350887936,4288512,111067136,1210355712,34,350887936,28610476236
205,8,CPUCOND_021,STAGE16_CATBOOST_TUNED,PRIMARY_ARCHITECTURE,GROUP_A_DUPSAFE70,CPU_1_PHYSICAL_CORE,1,1,4,PASS,178724864,271519744,273915904,92794880,95191040,1210355712,3,274522112,28610476236
206,7,CPUCOND_069,ENS_LGBM_XGB_EQUAL,OPERATIONAL_REFERENCE,GROUP_A_DUPSAFE70,CPU_2_PHYSICAL_CORE,2,1024,2,PASS,179875840,294977536,296845312,115101696,116969472,1210355712,10,300032000,28610476236
207,50,CPUCOND_023,STAGE16_CATBOOST_TUNED,PRIMARY_ARCHITECTURE,GROUP_A_DUPSAFE70,CPU_1_PHYSICAL_CORE,1,256,4,PASS,179310592,271929344,274755584,92618752,95444992,1210355712,3,275521536,28610476236
208,60,CPUCOND_065,ENS_LGBM_XGB_EQUAL,OPERATIONAL_REFERENCE,GROUP_A_DUPSAFE70,CPU_1_PHYSICAL_CORE,1,8192,3,PASS,185597952,300851200,302657536,115253248,117059584,1210355712,94,306204672,28610476236
209,65,CPUCOND_060,STAGE21_MASKED_VIT_V1,PRIMARY_ARCHITECTURE,GROUP_B_PACKET_IMAGE,CPU_2_PHYSICAL_CORE,2,8192,4,PASS,905891840,910172160,8679235584,4280320,7773343744,8678854656,2906,8679235584,28610476236
210,28,CPUCOND_055,STAGE21_MASKED_VIT_V1,PRIMARY_ARCHITECTURE,GROUP_B_PACKET_IMAGE,CPU_1_PHYSICAL_CORE,1,8192,3,PASS,905277440,909623296,8663064576,4345856,7757787136,8662831104,4995,8663064576,28610476236
