memory_execution_order,source_cpu_execution_order,condition_id,target_id,target_role,comparison_group,hardware_mode,thread_count,batch_size,memory_repetition,status,baseline_rss_bytes,loaded_rss_bytes,peak_rss_bytes,delta_model_rss_bytes,delta_peak_rss_bytes,ru_maxrss_bytes_descriptive,rss_sample_count,parent_observed_peak_rss_bytes,worker_ram_limit_bytes
251,23,CPUCOND_049,STAGE20_MASKED_CNN_V1,PRIMARY_ARCHITECTURE,GROUP_B_PACKET_IMAGE,CPU_2_PHYSICAL_CORE,2,1024,5,PASS,267743232,272019456,4700880896,4276224,4433137664,4709089280,2022,4700893184,28610476236
252,35,CPUCOND_002,STAGE16_XGBOOST_TUNED,PRIMARY_ARCHITECTURE,GROUP_A_DUPSAFE70,CPU_1_PHYSICAL_CORE,1,64,2,PASS,178999296,215162880,216276992,36163584,37277696,1210355712,3,222810112,28610476236
253,36,CPUCOND_033,FT_BALANCED_5_CHECKPOINT_SOFT_VOTING,PRIMARY_ARCHITECTURE,GROUP_A_DUPSAFE70,CPU_1_PHYSICAL_CORE,1,256,1,PASS,367370240,376958976,528224256,9588736,160854016,1210355712,328,528224256,28610476236
254,37,CPUCOND_039,FT_BALANCED_5_CHECKPOINT_SOFT_VOTING,PRIMARY_ARCHITECTURE,GROUP_A_DUPSAFE70,CPU_2_PHYSICAL_CORE,2,1024,5,PASS,367370240,376578048,736444416,9207808,369074176,1210355712,930,736444416,28610476236
255,62,CPUCOND_008,STAGE16_XGBOOST_TUNED,PRIMARY_ARCHITECTURE,GROUP_A_DUPSAFE70,CPU_2_PHYSICAL_CORE,2,256,4,PASS,179007488,215302144,216485888,36294656,37478400,1210355712,3,222953472,28610476236
256,37,CPUCOND_039,FT_BALANCED_5_CHECKPOINT_SOFT_VOTING,PRIMARY_ARCHITECTURE,GROUP_A_DUPSAFE70,CPU_2_PHYSICAL_CORE,2,1024,4,PASS,367931392,377147392,737058816,9216000,369127424,1210355712,895,737058816,28610476236
257,36,CPUCOND_033,FT_BALANCED_5_CHECKPOINT_SOFT_VOTING,PRIMARY_ARCHITECTURE,GROUP_A_DUPSAFE70,CPU_1_PHYSICAL_CORE,1,256,3,PASS,366825472,376483840,504623104,9658368,137797632,1210355712,343,504623104,28610476236
258,77,CPUCOND_074,FT_BALANCED_SINGLE_RESOURCE_REFERENCE,RESOURCE_DECOMPOSITION_REFERENCE,GROUP_A_DUPSAFE70,CPU_1_PHYSICAL_CORE,1,1024,2,PASS,367673344,373755904,714153984,6082560,346480640,1210355712,313,714153984,28610476236
259,27,CPUCOND_012,STAGE16_LIGHTGBM_TUNED,PRIMARY_ARCHITECTURE,GROUP_A_DUPSAFE70,CPU_1_PHYSICAL_CORE,1,64,3,PASS,178733056,264032256,264626176,85299200,85893120,1210355712,3,269443072,28610476236
260,46,CPUCOND_026,STAGE16_CATBOOST_TUNED,PRIMARY_ARCHITECTURE,GROUP_A_DUPSAFE70,CPU_2_PHYSICAL_CORE,2,1,2,PASS,178991104,271851520,274247680,92860416,95256576,1210355712,3,276312064,28610476236
261,17,CPUCOND_050,STAGE20_MASKED_CNN_V1,PRIMARY_ARCHITECTURE,GROUP_B_PACKET_IMAGE,CPU_2_PHYSICAL_CORE,2,8192,2,RESOURCE_LIMIT_OOM,,,,,,,,28616306688,28610476236
