target_id,serialized_model_size_bytes,serialized_model_size_mib,deployment_package_size_bytes,deployment_package_size_mib,serialized_artifact_count,deployment_artifact_count
ENS_LGBM_XGB_EQUAL,3284680,3.1325149536132812,3284680,3.1325149536132812,2,2
FT_BALANCED_5_CHECKPOINT_SOFT_VOTING,9833219,9.37768840789795,9842255,9.386305809020996,5,8
FT_BALANCED_SINGLE_RESOURCE_REFERENCE,1968137,1.8769617080688477,1977173,1.8855791091918945,1,4
STAGE16_CATBOOST_TUNED,458589,0.4373445510864258,458589,0.4373445510864258,1,1
STAGE16_LIGHTGBM_TUNED,2420416,2.30828857421875,2420416,2.30828857421875,1,1
STAGE16_XGBOOST_TUNED,864264,0.8242263793945312,864264,0.8242263793945312,1,1
STAGE20_MASKED_CNN_V1,376879,0.3594198226928711,387321,0.36937808990478516,1,3
STAGE21_MASKED_VIT_V1,378999,0.36144161224365234,394402,0.3761310577392578,1,3
